entry_id,surname,position_order,position_raw,year_first_mentioned,place_mentioned,occupation_categories
L1912-00105,ANTERRIEU,5,"juge président à Beutré, nov. 1895",1895,Beutré,justice_law
L1912-00105,ANTERRIEU,6,"lieutenant-juge à Mytho, 20 fêv. 1896",1896,Mytho,justice_law;military
L1912-00105,ANTERRIEU,7,"juge à Saigon, mars 96",,Saigon,justice_law
L1912-00105,ANTERRIEU,8,"juge président à Vinli-I-long, mai 96",,Vinli-I-long,justice_law
L1912-00105,ANTERRIEU,9,"vice-président du Tribunal mixte à Tunis, 11 juin 1896",1896,Tunis,justice_law
L1912-00105,ANTERRIEU,10,"juge à Tunis, 17 mars 1899",1899,Tunis,justice_law
L1912-00105,ANTERRIEU,11,"jirésiclent du Tribunal mixte, avril 1896. Conseiller à la Cour d'appel de Riom.",1896,,justice_law
L1912-00120,ARÈNE,1,": surnuméraire a Paris, commis à. Paris, rédacteur à. la Direction de la Caisse Nationale d'Epargne à Paris, breveté de l'Ecole Professioiineille Supérieure des Postes iol Télégraphes, inspecteur à. Tunis. Vice-président d'honneur de l'Association Amicale des Employés français de l'Office Postal Tun",,Paris,administration
L1912-00120,ARÈNE,2,a obtenu une Médaille de bronze de l'Association.,,,
L1912-00170,ATGER,1,"pasteur à Avôze (Gard) pendant cinq ans, puis missionnaire en Ocôanie, à Tahiti, pendant sept ans",,Avôze,religion
L1912-00170,ATGER,2,"ensuite pasteur au Vans (Ardèche), Puylaurens (Tarn), Bourges (Cher) et Sauve (Gard). Prit sa retraite en 1897 et se retira en Tunisie",1897,,religion
L1912-00170,ATGER,3,décédé à Bir-M'cherga,,Bir-M'cherga,
L1912-00170,ATGER,4,inhumé à Tunis le 17 déc. 1909.,1909,Tunis,
L1912-00175,AUCOUTURIER,1,dessinateur aux ateliers de construction de Comînemlry-Fourclihambault,,,
L1912-00175,AUCOUTURIER,2,chef mécanicien chemin de fer du Nord,,,transport_maritime
L1912-00175,AUCOUTURIER,3,industriel à Tunis.,,Tunis,industry_crafts
L1912-00188,AUZEPY,1,"de 1883-à 1884, à Villefranche-de-Conflant (Pyr.-Or.), directeur des mines des Ambollas",1883,Villefranche-de-Conflant,mining
L1912-00188,AUZEPY,2,"de 1885 à 1888, à. la Guyane française, comme ingénieur-directeur des gisements d'or de Saint-Elie",1885,,engineering_architecture
L1912-00188,AUZEPY,3,"de 1899 à 1891, chef de service à la Vieille-Montagne (district clu sud-est de la France)",1899,,administration
L1912-00188,AUZEPY,4,"de 1891 à 1895, chef d'exploitation aux mines de zinc des Alallnes (Gard)",1891,,mining
L1912-00188,AUZEPY,5,"de 189C à ce jour, en Tunisie, comme directeur des mines de Bon-Jaber",,,mining
L1912-00188,AUZEPY,6,■ ingénieur aux mines -de Sakiet-Sidi-Yousséf,,,engineering_architecture;mining
L1912-00188,AUZEPY,7,"fondateur et administrateur-directeur' de la Société, des Mines de Touireuf. Ingénieur-chef des travaux pour la. Société d'Études minières de l'Onenza.",,,engineering_architecture;administration;mining
L1912-00207,BACH-HAMBA,1,interprète à la Conservation foncière en 1.897,,,administration
L1912-00207,BACH-HAMBA,2,"ad ministruteur du collège Sadiki clu 1"" février 1898 au 31 janvier 1907",1898,,
L1912-00207,BACH-HAMBA,3,"avocat a lums a partir du i"" février 1907. Ancien membre du Conseil de perfectionnement du collège Sadiki",1907,,justice_law
L1912-00207,BACH-HAMBA,4,membre du Comité de la Khaldounia,,,
L1912-00207,BACH-HAMBA,5,trésorier de l'Association des Anciens Elèves du Collège Alaoui,,,
L1912-00207,BACH-HAMBA,6,membre fondateur clu Cercle Tunisien.,,,
L1912-00211,BADER,1,"attaché au service d'Etat-Ma.- jor comme capitaine, puis commandant au 37' d'infanterie et lieutenant-colonel au 4° tirailleurs.",,,military
L1912-00217,BAILLE,1,instituteur à Alais (Nîmes),,Alais,education_science
L1912-00217,BAILLE,2,"professeur à l'Ecole Normale de Grenoble, à celle de Tunis",,,education_science
L1912-00217,BAILLE,3,"inspecteur cle l'Enseignement primaire à. Tunis, 'trésorier de l'Assistance mutuefle entre les fonctionnaires cle l'Enseignement cle la Régence jusqu'en 1907",1907,,administration
L1912-00217,BAILLE,4,président du Comité local cle l'Orphelinat de l'Enseignement primaire.,,,
L1912-00219,BAILLY,1,démissionnaire de l'armée active après dix ans de services,,,
L1912-00219,BAILLY,2,"démissionnaire de la territoriale ayant atteint la limite d'âge. Propriétaire des domaines cle Drâ-Ettamar, près de Kairouan (110 hect.), et Sidi-Saâd, sur la ligne d'Aïn-Aloularès.Gare.Poste.Eau source abondante. 50 k. de Kairouan. Auteur cle plusieurs brochures ayant pour titres-: «L'Agriculture e",1902,,agriculture
L1912-00219,BAILLY,3,"ancien rôdacteui en chef de «El-Djebel», journal publie à Alger",,Alger,
L1912-00219,BAILLY,4,"rédacteur à «El Hakbar», radical algérien",,,
L1912-00219,BAILLY,5,"membre de la presse coloniale. Plusieurs médailles or, argent bronze pour son bétail",,,
L1912-00219,BAILLY,6,hors concours membre du jury. Fit des céréales,,,
L1912-00219,BAILLY,7,s'occupa surtout de l'élevage du cheval et du mouton,,,
L1912-00219,BAILLY,8,exportation importante sur la France. Décédé en 1909.,1909,,
L1912-00228,BARBAIS,1,"cond u c I, e u r des Ponts el Chausr sées",,,
L1912-00228,BARBAIS,2,ofïîcier du génie el ingénieur civil,,,engineering_architecture
L1912-00228,BARBAIS,3,represcnta.nl de la. Société l'Hygiène Générale et Industrielle (Lille),,,military;industry_crafts
L1912-00228,BARBAIS,4,président de la Société de Gymnastique «L'Orientale»,,,
L1912-00228,BARBAIS,5,"représentant de la Société Considère, Peinard el Lossier, cle Paris : bétons freftés",,,
L1912-00228,BARBAIS,6,"cle la. Société des Pieux «Simplex», annexe de Tunisie",,,
L1912-00228,BARBAIS,7,membre de la Chambre de Commerce de Tunis. T u A v AUX : nombreuses constructions comme officier clu génie,,,
L1912-00228,BARBAIS,8,en Algérie : les bordj d'El-Goléa (Sahara),,,
L1912-00228,BARBAIS,9,à Madagascar : le point d'appui de Diégo-Suurez.,,Madagascar,
L1912-00229,BARBARAT,1,"eleve ingénieur des Télégraphes le 1"" nov. 1878",1878,,engineering_architecture
L1912-00229,BARBARAT,2,"sous-ingénieur, ""1"" nov. 1SS0",,,engineering_architecture
L1912-00229,BARBARAT,3,"inspecteur ingénieur 1"" déc. 18SS",,,engineering_architecture;administration
L1912-00229,BARBARAT,4,"ingénieur en chef dû Service des Câbles sous-marins, 1"" nov. 1899",1899,,engineering_architecture
L1912-00229,BARBARAT,5,"directeur du Matériel et de la Construction an Sous^Secrétariat des Postes et Télégraphes, T"" mai 1900",1900,,
L1912-00229,BARBARAT,6,"Inspecteur général, 16 déc 1902",1902,,military;administration
L1912-00229,BARBARAT,7,"inspecteur général de 1"" cl., 26 juillet 1904",1904,,military;administration
L1912-00229,BARBARAT,8,"directeur cle l'Office des Postes et Télégraphes, à Tunis, 1"" août 1908.",1908,Tunis,
L1912-00231,BARBOT,1,compagnon c h a. rp en lier,,,
L1912-00231,BARBOT,2,sous-officier au 5' régiment du génie (chemins de fer),,,military;transport_maritime
L1912-00231,BARBOT,3,chef de district ■ de la voie à l'Est-Algôrien cle 1890 a 1S93,1890,,
L1912-00231,BARBOT,4,"collaboration, comme conducteur cle travaux, a diverses entreprises importantes à Tunis",,Tunis,
L1912-00231,BARBOT,5,"en 1896, implante pour son compte, à Sfax, l'industrie générale clu bâtiment avec outillage mécanique moderne agréé par l'administra lion. Membre de la Conférence Consultative, pour la. 7* circonscription, de 1905 à. 1909",1896,Sfax,military;politics_native_admin;diplomacy
L1912-00231,BARBOT,6,a présenté,,,
L1912-00231,BARBOT,7,i celle assemblée des rapports sur l'application d nia loi sur les faillites cl liquidations judiciaires,,,
L1912-00231,BARBOT,8,sur l'agrandissement du port de Sfax,,,
L1912-00231,BARBOT,9,sur les tracés el conventions des chemins de fer SousscSfax el Sfax-Bou-Thadi et sur l'adduction de l'eau potable à Sfax,,Sfax,transport_maritime
L1912-00231,BARBOT,10,élu en 1906 membre de la Chambre mixte du Sud,1906,,
L1912-00231,BARBOT,11,"a créé el. encouragé de nombreux, groupements, entre aulres : une section cle la. Fédération générale professionnelle des mécaniciens, chauffeurs et professions connexes",,,military
L1912-00231,BARBOT,12,une section cle travailleurs français en Tunisie,,,
L1912-00231,BARBOT,13,"l'enseignement post-scolaire professionnel gratuit, et enfin l'Amical-Club cle Sfax pour l'expansion intellectuelle cle la jeunesse sfaxienne.",,,
L1912-00235,BARET,1,brigadier de chasseurs d'Afrique,,,
L1912-00235,BARET,2,clerc d'huissier pendant quinze ans en Algérie,,,justice_law
L1912-00235,BARET,3,un an employé au Greffe à Tunis,,Tunis,
L1912-00235,BARET,4,un an secrétaire du Parquet à Tunis,,Tunis,
L1912-00235,BARET,5,"huissier depuis le 3 mars 1907, d'abord à Aïn-Draham el ensuite au Kef.",1907,Aïn-Draham,justice_law
L1912-00239,BAROGHE,1,"principal clerc de notaire et d'avoué, secrétaire au Contrôle civil et vice-consulat de France à Tunis (1892-1896)",1892,Tunis,justice_law;diplomacy
L1912-00239,BAROGHE,2,"Membre du Conseil d'administraton du Syndicat professionnel des Hommes d'Affaires de France et des Colonies, 22, boul. Poissonnière, Paris.",,,
L1912-00247,BASTIDE,1,interne des hôpitaux,,,medicine_health
L1912-00247,BASTIDE,2,médecin des Travaux publics du département d'Alger,,,medicine_health
L1912-00247,BASTIDE,3,envoyé en mission à Tunis en 1877,1877,Tunis,
L1912-00247,BASTIDE,4,médecin de société diverses,,,medicine_health
L1912-00247,BASTIDE,5,directeur du service de vaccination,,,
L1912-00247,BASTIDE,6,"médecin en chef cle l'hôpital Saint-Louis. Membre fondateur et Prés, cle la Société française de Bienfaisance pendant dix ans.",,,medicine_health
L1912-00248,BASTIEN,1,"garde général stagiaire, garde général, inspecteur-adjoint, inspecteur el conservateur. Lieutenant-colonel d'infanterie (hors cadres) dans l'armée territoriale.",,,military;administration
L1912-00270,BEL KHODJA,1,"secrétaire, interprète, comptable,principal et chef de comptabilité. Secrétaire de la Khaldoum'a de 1898 à 1902.",1898,,administration;finance_banking
L1912-00281,BENAZET,1,instituteur à Alahdia,,Alahdia,education_science
L1912-00281,BENAZET,2,instituteur à Bizerte,,Bizerte,education_science
L1912-00281,BENAZET,3,. directeur d'école à Tunis,,Tunis,education_science
L1912-00281,BENAZET,4,ancien secrétaire du cercle bizertin de la Ligue de l'Enseignement,,,
L1912-00281,BENAZET,5,ancien secrétaire de l'Amicale de l'Eniséignement primaire,,,
L1912-00281,BENAZET,6,président de la Société «Les Enfants de l'Aude». Diplôme de la. Société des Conférences populaires de la Ligue de l'Enseignement,,,
L1912-00281,BENAZET,7,' lettre de félicitations du Ministre de l'Instruction publique.,,,
L1912-00287,BENETTI,1,professeur au séminaire et au collège de Nice,,,education_science
L1912-00287,BENETTI,2,professeur à l'internat S'-Joseph à Lyon,,Lyon,education_science
L1912-00287,BENETTI,3,vicaire à Tunis,,Tunis,
L1912-00287,BENETTI,4,"curé à Kairouan, à La Marsa et à Ferrvville.",,Kairouan,religion
L1912-00308,BÉRARD,1,instituteur à Tunis (1S85),,Tunis,education_science
L1912-00308,BÉRARD,2,fondat e u r de l'école de Nabeul (1885),1885,,
L1912-00308,BÉRARD,3,"dir. cle l'école de Sfax (1887-1893), directeur de l'annexe du collège Sadiki (18931904). Premier président de l'Amicale de l'Enseignement primaire",1887,,
L1912-00308,BÉRARD,4,co-auleur d'un cours de devoirs de vacances.,,,
L1912-00309,BERGE,1,avocat à la Cour de Paris (1874),1874,,justice_law
L1912-00309,BERGE,2,juge de paix au Kef (1885),1885,,justice_law
L1912-00309,BERGE,3,juge à Tunis (1886),1886,Tunis,justice_law
L1912-00309,BERGE,4,président à Sousse (1888),1888,Sousse,
L1912-00309,BERGE,5,vice-président à Tunis (1890),1890,Tunis,
L1912-00309,BERGE,6,directeur des Services judiciaires au Gouvernement tunisien (1896),1896,,
L1912-00309,BERGE,7,président du Tribunal mixte (1903),1903,,justice_law
L1912-00309,BERGE,8,président du Tribunal de Tunis (1904). Président de l'Alliance française à Tunis de 1900 à 1910.,1904,Tunis,justice_law
L1912-00310,BERGTOLD,1,"répétiteur à Epinal, Bar-le-Duc, Nancy",,Epinal,
L1912-00310,BERGTOLD,2,répétiteur puis professeur au lycée de Tunis.,,,education_science
L1912-00312,BËRIEL,1,rédacteur au Ministère de la Marine,,,
L1912-00312,BËRIEL,2,"secrétaire de M. Aubry, sénateur cle Conslanline",,,
L1912-00312,BËRIEL,3,"chef du secrétariat particulier de, M. Thomson, ministre 1 de la Alarme",,,
L1912-00312,BËRIEL,4,"chef du Secrétariat particulier cle Al. Alapetite, résident général. V.-prés. clé le Société «La Région Lyonnaise», à Tunis.",,Tunis,military
L1912-00314,BERKELEY,1,"lieutenant d'infanterie, vice-consul à Zanzibar (18 8 5), consul (1891), administrateur cle la Compagnie Anglaise de l'AI'rique Orientale (1891-1892)), commissaire et consul général pour le Prol.ee-- •torat britannique de l'Ouganda (1895 1899).",1891,Zanzibar,military;administration;diplomacy
L1912-00316,BERNE,1,"instituteur à Oyonna.x (Ain), collège Alaoui (Tunis), collège Sadiki (Tunis), lycée Carnot (Tunis).",,Oyonna,education_science
L1912-00317,BEROLSHEIMER,1,Ancien secrétaire cle la C h a m b r e de Commerce italienne de Tunis,,,
L1912-00317,BEROLSHEIMER,2,"représentant de la. maison Jansô, de Paris, pour la recherche des mines et des sources par les radiations des corps minéraux",,,mining
L1912-00317,BEROLSHEIMER,3,correspondant de l'Office International de la Presse,,,
L1912-00317,BEROLSHEIMER,4,rédacteur de (d'Index général des Alines cle Tunisie» (un. supplément mensuel de «l'Index» tiendra l'ouvrage toujours à jour).,,,military
L1912-00319,BERTAINCHAND,1,ingénieur agronome,,,engineering_architecture
L1912-00319,BERTAINCHAND,2,essayeur de la Monnaie à Paris,,Paris,
L1912-00319,BERTAINCHAND,3,"ancien président de l'Association amicale des Ingénieurs agronomes. docteur en médecine (1877): mention cle 1"" cl.",1877,,medicine_health;engineering_architecture
L1912-00319,BERTAINCHAND,4,"capitaine de réserve au 7"" d'artillerie à Bizerte. sousingénieur, de 1SS3 à 1892, dans diverses mines et exploitations du centre et du nord de la France",1892,Bizerte,military;engineering_architecture;mining
L1912-00319,BERTAINCHAND,5,entré dans l'administration en 1892 comme contrôleur des Alines de 4* cl.,1892,,administration
L1912-00319,BERTAINCHAND,6,"contrôleur principal au titre métropolitain le 1"" juillet 1908. Président du Groupe cle l'Afrique du Nord des Anciens Elèves de l'Ecole des Alines d'Alais. honorable de la Faculté de Médecine de Paris (1S78)",1908,,medicine_health;administration
L1912-00319,BERTAINCHAND,7,prix de 1.000 francs de l'Académie de Alédecine (1881),1881,,
L1912-00319,BERTAINCHAND,8,médecin militaire de 1877 à 1890,1877,,medicine_health
L1912-00319,BERTAINCHAND,9,"démissionnaire en 1890 comme médecin major de 1"" cl.",1890,,medicine_health
L1912-00319,BERTAINCHAND,10,médecin-chef du Service Pénitentiaire,,,medicine_health
L1912-00319,BERTAINCHAND,11,médecin du collège Alaoui et du lycée Carnot,,,medicine_health
L1912-00319,BERTAINCHAND,12,"membre cle la Conférence Consultative, élu en 1906",1906,,politics_native_admin;diplomacy
L1912-00319,BERTAINCHAND,13,correspondant honoraire du Ministère de l'Instruction publique,,,
L1912-00319,BERTAINCHAND,14,fondateur et premier président du Cercle tunisien de la Ligue de l'Enseignement (1S91-94),,,
L1912-00319,BERTAINCHAND,15,président d'honneur de la Société tunisienne des Habitations à bon marché,,,
L1912-00319,BERTAINCHAND,16,"membre des Sociélés d'Anthropologie de Paris, de Lyon, de Londres. TRAVAUX publications diverses sur-des sujets médicaux, climatologie, démographiques",,,
L1912-00319,BERTAINCHAND,17,"nombreux ouvrages sur l'anthropologie et sur l'ethnographie de l'Afrique du Nord, et sur la colonisation",,,
L1912-00319,BERTAINCHAND,18,"publication d'un livre sur l'origine et la formation de la langue berbère,etc. A fondé, le 10 nov. 1894-, avec MM. Auguste Pavy et Servonnët, aujourd'hui décédés, l'Institut de Carthage",1894,,
L1912-00319,BERTAINCHAND,19,"président de cette Société en 1894 et 1900: secrétaire général depuis 1902 et, comme tel, dirigeant la «Revue Tunisienne» (17 volumes)",1894,,military;administration
L1912-00319,BERTAINCHAND,20,vice-président d'honneur de l'Institut de Carthage,,,
L1912-00319,BERTAINCHAND,21,médaille de bronze en 1889 à l'Exposition. Universelle (exposition d'anthropologie fiunisienne),1889,,
L1912-00319,BERTAINCHAND,22,"deux médailles d'argent et une de bronze au Concours agricole, de 1895 (lait sérilisé et bétail)",1895,,
L1912-00319,BERTAINCHAND,23,médaille d'or de l'Institut de Carthage (1906).,1906,,
L1912-00320,BERTIN,1,"Maître primaire au lycée Carnot de Tunis et instituteur dans diverses villes cle la Régence (La G oulette. Le Kef, Bizerle, Sfax, etc.)",,,education_science
L1912-00320,BERTIN,2,v.- président du Cercle de Alahdia de la Ligue .de 1 Enseignement,,,
L1912-00320,BERTIN,3,"v.-prés. du Cercle de l'Union Française et v.-prés. de la Section tunisienne de l'Art à l'Ecole,à Mahdia.TRAVAux : création de la Bibliothèque populaire cle Alahdia",,Mahdia,
L1912-00320,BERTIN,4,mention honorable là l'Exposition coloniale de Alarseille pour un travail personnel : «Les principales industries kairouannaises. »,,,
L1912-00322,BERTIN,1,"institutrice à La Rochette (Savoie) et à Bizerte, Gafsa, Kairouan. | SJLINT-RAPHA.EL Q TTIN Q T7INA.",,La Rochette,education_science
L1912-00323,BERTRAND,1,administrateur directeur de la Société des Aiefiers de Constructions mécaniques de Tunisie,,,administration
L1912-00323,BERTRAND,2,administrateur-délégué cle la Compagnie Electrique cle Sousse,,,administration
L1912-00323,BERTRAND,3,administrateur-délégué de la Compagnie Electrique cle Bizerle: administrateur de la Société Générale Electrique Tunisienne,,,military;administration
L1912-00323,BERTRAND,4,ancien secrétaire de la Chambre de Commerce,,,
L1912-00323,BERTRAND,5,'membre cle la Conférence Consultative,,,politics_native_admin;diplomacy
L1912-00323,BERTRAND,6,conseiller clu Commerce extérieur de la France,,,
L1912-00323,BERTRAND,7,plusieurs premiers prix au Concours agricole cle Tunis 1907.,1907,,
L1912-00334,BEYNA,1,Entré à la Compagnie Al aérienne à Paris en novembre 1875,1875,Paris,
L1912-00334,BEYNA,2,à Paris jusqu'en 1878,1878,Paris,
L1912-00334,BEYNA,3,"à Oran, caissier en 1878, chef de bureau en 1881, directeur en 1884",1878,Oran,administration
L1912-00334,BEYNA,4,"à Tunis, directeur en 1901.",1901,Tunis,
L1912-00342,BIGNENS,1,"chef mécanicien, chef de dépôt, inspecteur de la Traction à la Compagnie Bône-Guelma",,,administration
L1912-00342,BIGNENS,2,"travaux en Grèce et en Tunisie. Prés, de l'Epargne Tunisienne",,,
L1912-00342,BIGNENS,3,v.-prés. de la Société cle Bienfaisance,,,
L1912-00342,BIGNENS,4,v.-prés. de la .Ligue dé l'Enseignement,,,
L1912-00342,BIGNENS,5,v.-prés. des Droits de l'Homme,,,
L1912-00342,BIGNENS,6,membre de la Société des Ingénieurs coloniaux. Auteur d'un important projet relatif à 3'exploitalion des forces motrices cle la. Medjerda et à l'utilisation de ses eaux pour l'irrigation de toute une vaste contrée et pour les besoins divers des Services publics en général. La réalisation-de ce proje,,,military;engineering_architecture
L1912-00347,BILLY,1,ancien directeur de la Société française de l'Elevage cle l'Autruche en Algérie (18841886),1884,,
L1912-00347,BILLY,2,ancien sous - directeur de la Bergerie nationale de Moudjebeur en Algérie (1887 à 1890),1887,,
L1912-00347,BILLY,3,membre de la Conférence Consultative,,,politics_native_admin;diplomacy
L1912-00347,BILLY,4,membre de la Chambre d'Agriculture,,,
L1912-00347,BILLY,5,v.-prés. du Syndicat des Viticulteurs,,,agriculture
L1912-00347,BILLY,6,vice-président de l'Association Agricole de la Tunisie,,,
L1912-00347,BILLY,7,directeur de la Caisse régionale de Créditmutuel Agricole,,,
L1912-00347,BILLY,8,président du Conseil d'administration de la Caisse régionale de Crédit mutuel Agricole du Nord d.j. la Régence.,,,
L1912-00360,BISGH,1,"engagé volontaire au 12"" d'ard'artillerie le 15 déc. 1854",1854,,
L1912-00360,BISGH,2,"brigadier, brigadier-fourrier, maréchal des logis fourrier, maréchal des logis chef auctit regimeiu.",,,military
L1912-00360,BISGH,3,"passe au vr a artillerie le 1"". juillet 1875",1875,,
L1912-00360,BISGH,4,"sous-lieutenant au 20° d'artillerie, à Verdun, le 15 janv. 1878",1878,Verdun,military
L1912-00360,BISGH,5,"sous-lieutenant aux compagnies à cheval de la 6"" division de cavalerie",,,military
L1912-00360,BISGH,6,lieutenant au •32° d'artillerie,,,military
L1912-00360,BISGH,7,"capitaine de la Direction d'Epinal, à celle de Vernon, au 7' d'artillerie à Rennes, puis à la direction de Tunis, puis au 36' d'artillerie à Clermont-Ferrand",,Rennes,military
L1912-00360,BISGH,8,"major au 3"" bataillon d'artillerie à pied à Bizerte",,Bizerte,
L1912-00360,BISGH,9,chef d'escadron commandant l'artillerie de l'arrondissement de Tunis. Décédé en 1908.,1908,,military
L1912-00366,BLANC,1,secrétaire particulier clu président du Conseil (1892),1892,,
L1912-00366,BLANC,2,rédacteur au Alinistère de. l'Intérieur (1893),1893,,
L1912-00366,BLANC,3,sous-chef de bureau (1898),1898,,administration
L1912-00366,BLANC,4,inspecteur général adjoint (1899),1899,,military;administration
L1912-00366,BLANC,5,inspecteur général (1905),1905,,military;administration
L1912-00366,BLANC,6,chef du Cabinet du sous-secrétaire d'Etat à l'Intérieur (1806),1806,,
L1912-00366,BLANC,7,chef de Cabinet de la Présidence du Conseil (1906-1908),1906,,
L1912-00366,BLANC,8,secrétaire général adjoint (1908-1909) et secrétaire général clu Gouvernement tunisien (1910).,1908,,military;administration
L1912-00368,BLAVIER,1,"avocat attaché aux. tribunaux de la Seine, janv. 1893",1893,,justice_law
L1912-00368,BLAVIER,2,"suppléant rétribué à Souk-el-Arba,. déc. 1894",1894,Souk-el-Arba,
L1912-00368,BLAVIER,4,"de paix, août 1896",1896,,
L1912-00368,BLAVIER,5,"suppléant, à Tunis, 5 mai 1898",1898,Tunis,
L1912-00368,BLAVIER,6,"juge d'instruction . tempoi raire, 11 juillet 1901",1901,,justice_law
L1912-00368,BLAVIER,7,"juge d'instruction, 30 octi 1903",1903,,justice_law
L1912-00368,BLAVIER,8,"procureur de la République à Beaune, 9-fév. 1904",1904,Beaune,justice_law;religion
L1912-00368,BLAVIER,9,"nommé à Gray,.sur sa demande, le 7 mai. 1908.i",1908,Gray,
L1912-00378,BOIANOWSKI,1,"chancelier aux ambassades impériales d'Allemagne, cle Londres, Berne, Le Caire et Ala.rseille.",,,
L1912-00385,BONNEFOND,1,avocat stagiaire à Bourges. (1869),1869,Bourges,justice_law
L1912-00385,BONNEFOND,2,"substitut à Château-Chinon (1875), a Nevers (1878), à Tours (1881)",1875,Château-Chinon,justice_law
L1912-00385,BONNEFOND,3,"procureur cle la République à Doullens (1884), à Saint-Jean-de-Maurienne (1886), à Sousse (1892)",1884,Doullens,justice_law;religion
L1912-00385,BONNEFOND,4,président du Tribunal civil de Sousse (1897).,1897,,justice_law
L1912-00388,BORDENET,1,maître primaire au collège Alaoui,,,
L1912-00388,BORDENET,2,"instituteur à Bizerte, à Tunis (école de, la rue de Colmar), à Zarzis. Anc. secr. adj. à l'Amicale de l'Enseignement primaire.",,Bizerte,education_science
L1912-00401,BORGEL,1,ingénieur-constructeur chez M.Seyrig à -Paris,,,engineering_architecture;industry_crafts
L1912-00401,BORGEL,2,"ingénieur à la Société anonyme des Constructions el, des Ateliers de Wielbrouk (Bruxelles)",,,engineering_architecture
L1912-00401,BORGEL,3,membre cle la Société clés Ingénieur civils de France,,,engineering_architecture
L1912-00401,BORGEL,4,"secrétaire du groupe des anciens élèves cle l'Ecole centrale cle Tunisie. TRAVAUX"": a contribué à. l'étude de projets cle consIniclion métalliques pour l'Egypte, le Portugal, la Turquie, la Belgique, etc., et notamment pour le viaduc cle Brala, sur la frontière gréco-turque",,,
L1912-00401,BORGEL,5,"' le pont de Connerce à Liège et le pont de Sercig, ces deux derniers construits lors de l'Exposition cle Liège de 1905",1905,Liège,
L1912-00401,BORGEL,6,"s'occupe actuellement, à Tunis, en dehors des constructions civiles et métallurgiques, cle questions minières",,Tunis,
L1912-00401,BORGEL,7,fait des rapports après visite et dirige les travaux de recherches.,,,
L1912-00403,BORROMEI,1,"répéliteur à Orange, Toulon, Nice, Aix, Avignon",,Orange,
L1912-00403,BORROMEI,2,professeur Tunis.,,,education_science
L1912-00405,BOST,1,secrétaire-rédacteur des chemins cle fer de l'Etat,,,
L1912-00405,BOST,2,sergent-major d'infanterie,,,
L1912-00405,BOST,3,négociant exportateur en Algérie,,,commerce
L1912-00405,BOST,4,"anc. très, du Cercle Républicain de Bône (Algérie)",,,
