entry_id,surname,position_order,position_raw,year_first_mentioned,place_mentioned,occupation_categories
L1912-00003,ABDELLI,1,"khalifa de Muleur (1872), khalifa de Souk-el-Khemis (1872), khalifa du Cap-Bon. de Medjez et el de Zaghouan (1874). Oukil depuis 1886. Auteur d'un ouvrage sur « La littérature arabe » (1889).",1872,,justice_law;politics_native_admin
L1912-00011,ABRIBAT,1,officier-interprète de l'armée d'Afrique en Algérie el en Tunisie,,,administration
L1912-00011,ABRIBAT,2,interprète judiciaire el juge de paix suppléant à Sousse,,Sousse,justice_law;administration
L1912-00011,ABRIBAT,3,interprète judiciaire à Tunis,,Tunis,administration
L1912-00011,ABRIBAT,4,ancien membre de la Commission scolaire de Sousse,,,
L1912-00011,ABRIBAT,5,membre de la Commission d'examens pour les diplômes d'arabe et l'emploi d'interprète judiciaire.,,,administration
L1912-00022,AFRIGAN,1,"secrétaire-copistebibliothécaire au Théâtre municipal,copiste au Théâtre municipal d'Alger et à l'ancien Théâtre municipal de Tunis (direction Donchet), agent de contentieux, secrétaire-contrôleur général du Théâtre, régisseur général du Palmarium et du Casino du Belvédère. Collaborateur à plusieurs",,,military;administration
L1912-00034,AIACHI,1,"instituteur à Monaslir (1S93), chargé du cours d'arabe u.u lvcée Carnol t'1.894), secrétaire-interprète à la Direction des Contrôles et de l'Agriculture (:IS!.>5),éliidiant en droit (1896 à. 1898), avocat à Sousse depuis 1S98. Président de la Société de Bienfaisance Musulmane de Sousse",1896,Monaslir,justice_law;education_science;administration
L1912-00034,AIACHI,2,membres du Cercle Tunisien .,,,
L1912-00081,ALIX,1,chargé de l'enseignement des lettres à l'école primaire supérieure de Bizerte et professeur de français et d'arabe à l'école primaire supérieure de Sousse,,,education_science
L1912-00081,ALIX,2,président du Comité régional de l'Amicale de l'Enseignement primaire,,,
L1912-00081,ALIX,3,ancien trésorier du Cercle sousslen de la Ligue de l'Enseignement.,,,
L1912-00083,ALLEMAND,1,préparateur et chef de laboratoire à l'Institut Pasleur de Tunis,,,
L1912-00083,ALLEMAND,2,sous-directeur du laboratoire maritime de Sfax,,,administration
L1912-00083,ALLEMAND,3,"professeur au collège Sadiki de Tunis, professeur au collège de Mauriac (Cantal)",,,education_science
L1912-00083,ALLEMAND,4,membre de l'Institut de Carthage et la Société de Géographie commerciale de Paris.,,,
L1912-00089,AMAT J.-C.) 1856,1,"professeur au collège de M o s t a g anem, vérificateur des Poids et Mesures à . Constantine, vice - président de la Société française de bienfaisance.",,,education_science;administration
L1912-00105,ANTERRIEU,1,"avocat,18S4",,,justice_law
L1912-00105,ANTERRIEU,2,"attaché à. Saigon, 24 nov. 93",,,
L1912-00105,ANTERRIEU,3,"4 juge suppléant, 17 mai 1S95",,,justice_law
L1912-00105,ANTERRIEU,4,"substitut à Saigon, août 1S95",,Saigon,justice_law
