source,target,edge_type,role,weight,tie_source,resolution,page,page_url
NAME:BRUNEL,L1912-00146,affiliation,president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:OLLIER,L1912-00146,affiliation,president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:BENTEJAC,L1912-00146,affiliation,secretary,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:BREUIL,L1912-00146,affiliation,deputy_secretary,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:MARTINI,L1912-00146,affiliation,deputy_treasurer,1,organisation_entry_officer_list,ambiguous_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-00071,L1912-00146,affiliation,president,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:MARCILLE,L1912-00147,affiliation,president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:BROU,L1912-00147,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-02272,L1912-00147,affiliation,secretary,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:COURTADE,L1912-00147,affiliation,board_member,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:L BLANC,L1912-00147,affiliation,board_member,1,organisation_entry_officer_list,ambiguous,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:GIROD,L1912-00147,affiliation,board_member,1,organisation_entry_officer_list,ambiguous_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:HAIOUNI,L1912-00147,affiliation,board_member,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:VERRV,L1912-00147,affiliation,board_member,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-00405,L1912-00147,affiliation,board_member,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:RAPP,L1912-00148,affiliation,secretary,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:SURLEAU,L1912-00148,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:FINNOCCHI,L1912-00148,affiliation,assessor,1,organisation_entry_officer_list,ambiguous_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-01220,L1912-00148,affiliation,past_president,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:GUSTAVE ROLLAND,L1912-00149,affiliation,president,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:COUPIN,L1912-00149,affiliation,secretary,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00319,L1912-00149,affiliation,past_president,1,organisation_entry_officer_list,resolved_fuzzy,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-01683,L1912-00149,affiliation,past_president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:COUPIN J B,L1912-00149,affiliation,past_president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:BARRION,L1912-00149,affiliation,past_president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:NOMBREUX,L1912-00149,affiliation,member,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00576,L1912-00150,affiliation,president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:MATHIEU,L1912-00150,affiliation,president,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:JOLY LOUYS,L1912-00150,affiliation,secretary,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00308,L1912-00150,affiliation,president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:LUBAC,L1912-00151,affiliation,president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-02010,L1912-00151,affiliation,treasurer,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-01274,L1912-00151,affiliation,treasurer,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-01589,L1912-00151,affiliation,president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:VINCENT,L1912-00151,affiliation,president,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:JEAN PELONI,L1912-00152,affiliation,board_member,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:GENEVAY,L1912-00152,affiliation,president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00200,L1912-00152,affiliation,president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:NANI,L1912-00152,affiliation,president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00494,L1912-00152,affiliation,president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:S BOCCARA,L1912-00152,affiliation,president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-02173,L1912-00152,affiliation,secretary_general,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:GUINLE,L1912-00152,affiliation,deputy_secretary,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:BENZIMRA,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:BODINEAU,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:BOULIER,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,ambiguous_fuzzy,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00744,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00977,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,resolved_fuzzy,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-01259,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:MARTZ,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-01647,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:BORSINI,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-01351,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:LAVAUX,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:ENRIQUEZ,L1912-00152,affiliation,councillor,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:RENE LAVAU,L1912-00152,affiliation,president,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:ENRIQUEZ,L1912-00152,affiliation,vice_president,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:JEAN COLLIARD,L1912-00152,affiliation,secretary,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:MAGASIN GENERAL,L1912-00152,affiliation,director,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:PALAIS,L1912-00152,affiliation,director,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:BLOEH,L1912-00152,affiliation,secretary,1,organisation_entry_officer_list,unmatched,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-02075,L1912-00152,affiliation,president,1,organisation_entry_officer_list,resolved,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:V BENSASSON,L1912-00152,affiliation,vice_president,1,organisation_entry_officer_list,ambiguous,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
L1912-00961,L1912-00152,affiliation,secretary,1,organisation_entry_officer_list,resolved_fuzzy,36,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f60.item
NAME:DEPUIS,L1912-00153,affiliation,member,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MEDAILLE,L1912-00153,affiliation,president,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:CASINLERE,L1912-00153,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:JEAN,L1912-00153,affiliation,secretary,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:OBERL,L1912-00153,affiliation,delegate,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MABILLANT,L1912-00153,affiliation,delegate,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MUZART,L1912-00153,affiliation,delegate,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-01425,L1912-00153,affiliation,president,1,organisation_entry_officer_list,resolved,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:KLIAIRAILAH,L1912-00154,affiliation,president,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:AMOR BOUHAGEB,L1912-00154,affiliation,vice_president,1,organisation_entry_officer_list,ambiguous,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:HADI TAHAR,L1912-00154,affiliation,deputy_secretary,1,organisation_entry_officer_list,ambiguous,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:ALI BNCH I IAMBA,L1912-00154,affiliation,member,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MOHAMED,L1912-00154,affiliation,member,1,organisation_entry_officer_list,ambiguous,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:AZIZ HAYOUNNI,L1912-00154,affiliation,member,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:CHADLI OKBI,L1912-00154,affiliation,member,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:RECLIID,L1912-00154,affiliation,member,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MOHAMED BACLI HAMBA,L1912-00154,affiliation,member,1,organisation_entry_officer_list,ambiguous,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MOHAMED CHABINI,L1912-00154,affiliation,member,1,organisation_entry_officer_list,ambiguous,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-00031,L1912-00154,affiliation,member,1,organisation_entry_officer_list,resolved,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-01124,L1912-00155,affiliation,president,1,organisation_entry_officer_list,resolved_fuzzy,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:A BOUTET,L1912-00155,affiliation,vice_president,1,organisation_entry_officer_list,ambiguous_fuzzy,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:F FABRE,L1912-00155,affiliation,secretary,1,organisation_entry_officer_list,ambiguous_fuzzy,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:CLARY,L1912-00155,affiliation,assessor,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:J LECLERC,L1912-00155,affiliation,president,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-00524,L1912-00155,affiliation,president,1,organisation_entry_officer_list,resolved,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:DOUTE,L1912-00156,affiliation,member,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:ROUBAUD,L1912-00156,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:WALCB,L1912-00156,affiliation,assessor,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:ROUBAUD,L1912-00156,affiliation,assessor,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:GILLES,L1912-00157,affiliation,president,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-01708,L1912-00157,affiliation,vice_president,1,organisation_entry_officer_list,resolved,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:MESCLOU,L1912-00157,affiliation,assessor,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:CHARRION,L1912-00157,affiliation,assessor,1,organisation_entry_officer_list,unmatched,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-01124,L1912-00158,affiliation,president,1,organisation_entry_officer_list,resolved,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
L1912-01613,L1912-00158,affiliation,secretary,1,organisation_entry_officer_list,resolved,37,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f61.item
NAME:F J RELIER,L1912-00159,affiliation,president,1,organisation_entry_officer_list,unmatched,38,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f62.item
NAME:BATTESTI,L1912-00159,affiliation,president,1,organisation_entry_officer_list,unmatched,38,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f62.item
L1912-00416,L1912-00159,affiliation,deputy_secretary,1,organisation_entry_officer_list,resolved_fuzzy,38,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f62.item
NAME:J BONAN,L1912-00159,affiliation,assessor,1,organisation_entry_officer_list,ambiguous,38,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f62.item
