source,target,edge_type,role,weight,tie_source,resolution,page,page_url
NAME:JULES BESSIS,L1912-00085,affiliation,president,1,organisation_entry_officer_list,ambiguous,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
L1912-01603,L1912-00085,affiliation,vice_president,1,organisation_entry_officer_list,resolved,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
NAME:A ILALFON,L1912-00085,affiliation,treasurer,1,organisation_entry_officer_list,unmatched,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
NAME:JOSEPH COHEN,L1912-00085,affiliation,secretary,1,organisation_entry_officer_list,ambiguous,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
NAME:I IAVOUN,L1912-00085,affiliation,deputy_treasurer,1,organisation_entry_officer_list,unmatched,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
L1912-00271,L1912-00085,affiliation,deputy_secretary,1,organisation_entry_officer_list,resolved_fuzzy,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
NAME:VICTOR SLAMA,L1912-00085,affiliation,assessor,1,organisation_entry_officer_list,unmatched,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
L1912-02393,L1912-00085,affiliation,assessor,1,organisation_entry_officer_list,resolved,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item
L1912-01430,L1912-00139,affiliation,president,1,organisation_entry_officer_list,resolved,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
L1912-02690,L1912-00139,affiliation,president,1,organisation_entry_officer_list,resolved_fuzzy,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
NAME:GRAZIANI,L1912-00139,affiliation,president,1,organisation_entry_officer_list,unmatched,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
NAME:GARNIER,L1912-00139,affiliation,secretary_general,1,organisation_entry_officer_list,unmatched,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
L1912-02587,L1912-00139,affiliation,president,1,organisation_entry_officer_list,resolved,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
NAME:CONSTANTIN,L1912-00139,affiliation,president,1,organisation_entry_officer_list,unmatched,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
L1912-02205,L1912-00139,affiliation,president,1,organisation_entry_officer_list,resolved_fuzzy,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
L1912-00989,L1912-00139,affiliation,president,1,organisation_entry_officer_list,resolved,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
NAME:HALLOUIN,L1912-00139,affiliation,president,1,organisation_entry_officer_list,unmatched,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
NAME:EDOUARD,L1912-00141,affiliation,board_member,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
L1912-02684,L1912-00141,affiliation,vice_president,1,organisation_entry_officer_list,resolved,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
L1912-00665,L1912-00141,affiliation,secretary_general,1,organisation_entry_officer_list,resolved,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:COSTET,L1912-00141,affiliation,president,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:COURRAI,L1912-00141,affiliation,delegate,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:ROLLAND,L1912-00141,affiliation,secretary,1,organisation_entry_officer_list,ambiguous,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:S TARDY,L1912-00141,affiliation,assessor,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:REBILLET,L1912-00141,affiliation,assessor,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:AYMARD,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:BARRION,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
L1912-00347,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,resolved,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:BLAIVE,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
L1912-00524,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,resolved,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:DELIGNE,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:DUCROQUET,L1912-00141,affiliation,councillor,1,organisation_entry_officer_list,ambiguous,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:BARRION,L1912-00141,affiliation,secretary_general,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:PATRICE,L1912-00141,affiliation,deputy_secretary,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
L1912-01292,L1912-00141,affiliation,secretary_general,1,organisation_entry_officer_list,resolved,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:A LEBUCHER,L1912-00142,affiliation,president,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:G LECOLLIER,L1912-00142,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:P BER,L1912-00142,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:MATTOU,L1912-00142,affiliation,secretary,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:SURLEAU,L1912-00142,affiliation,deputy_secretary,1,organisation_entry_officer_list,unmatched,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item
NAME:SCIALOM,L1912-00143,affiliation,president,1,organisation_entry_officer_list,ambiguous,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:JULES BESSIS,L1912-00143,affiliation,vice_president,1,organisation_entry_officer_list,ambiguous,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:V SITRUK,L1912-00143,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-01467,L1912-00143,affiliation,secretary,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:HOUBANI,L1912-00143,affiliation,commissioner,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-01165,L1912-00143,affiliation,president,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:VICTOR SCIALOM,L1912-00143,affiliation,president,1,organisation_entry_officer_list,ambiguous,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-01292,L1912-00144,affiliation,president,1,organisation_entry_officer_list,resolved_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:SOUIIVEL,L1912-00144,affiliation,secretary,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-00665,L1912-00144,affiliation,assessor,1,organisation_entry_officer_list,resolved_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:RENOUX,L1912-00144,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:TRONCHE,L1912-00144,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-01642,L1912-00145,affiliation,honorary_vice_president,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-00178,L1912-00145,affiliation,president,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:A DUVIALARD,L1912-00145,affiliation,vice_president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-01593,L1912-00145,affiliation,vice_president,1,organisation_entry_officer_list,resolved_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:MATLEI,L1912-00145,affiliation,secretary_general,1,organisation_entry_officer_list,ambiguous_fuzzy,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:GERENTE,L1912-00145,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:E LOUBET,L1912-00145,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:L JOSSE,L1912-00145,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:BREUIL,L1912-00145,affiliation,assessor,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:MANVILLE,L1912-00145,affiliation,president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:BIANCHI,L1912-00145,affiliation,president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:P NORMANT,L1912-00145,affiliation,president,1,organisation_entry_officer_list,unmatched,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
L1912-00791,L1912-00145,affiliation,president,1,organisation_entry_officer_list,resolved,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
NAME:INVERSIN,L1912-00145,affiliation,president,1,organisation_entry_officer_list,ambiguous,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item
