node_id,label,entry_id,has_notice,affil_degree,affil_component_size,affil_in_giant,affil_betweenness,affil_closeness,comem_degree,comem_component_size,comem_in_giant,comem_betweenness,comem_closeness,comem_clustering
L1912-00006,ABD UL WAHAB (Hassen-I-Iusny),L1912-00006,1,2,1215,1,0.003292176599,0.1390925756,10,747,1,0.002680965147,0.2595685456,0.8
L1912-00008,ABEASIS (Moïse),L1912-00008,1,1,2,0,0,1,,,,,,
L1912-00010,ABITA (Joseph),L1912-00010,1,4,1215,1,0.02526421421,0.1323593546,12,747,1,0.02167053217,0.2431551499,0.4545454545
L1912-00011,ABRIBAT (Jules-Bernard),L1912-00011,1,2,3,0,1,1,,,,,,
L1912-00031,AHMED BEN OTHMAN (SI),L1912-00031,1,2,1215,1,0.04638203635,0.1106049563,20,747,1,0.1413282473,0.2190895742,0.4947368421
L1912-00034,AIACHI (),L1912-00034,1,1,2,0,0,1,,,,,,
L1912-00035,AIGROT (Charles),L1912-00035,1,4,6,0,0.9,0.8333333333,1,2,0,0,1,0
L1912-00066,ALAPETITE (Gabriel),L1912-00066,1,1,1215,1,0,0.1355515855,13,747,1,0,0.2061342912,1
L1912-00067,ALBERT (Léon-Auguste),L1912-00067,1,4,1215,1,0.01876965859,0.1401523897,19,747,1,0.013884268,0.2292562999,0.3040935673
L1912-00071,ALESSANDRI (Pierre),L1912-00071,1,2,1215,1,0.001647446458,0.1073386384,6,747,1,0,0.09793882106,1
L1912-00074,Algérienne (L'),L1912-00074,1,1,3,0,0,0.6666666667,1,2,0,0,1,0
L1912-00081,ALIX (Ernest-Adolphe),L1912-00081,1,2,3,0,1,1,,,,,,
L1912-00083,ALLEMAND (Antoine),L1912-00083,1,7,1215,1,0.08495149778,0.1821728691,47,747,1,0.0733269076,0.3322939866,0.506012951
L1912-00089,AMAT J.-C.) 1856 (),L1912-00089,1,2,1215,1,0.0008284214007,0.1554019457,21,747,1,0.0003637158384,0.277839851,0.9095238095
L1912-00094,ANCONA (Ginseppe D'),L1912-00094,1,2,1215,1,0.001647446458,0.1143987938,7,747,1,0,0.197458973,1
L1912-00096,ANDRÉ (Louis),L1912-00096,1,1,1215,1,0,0.1466892218,10,747,1,0,0.2775297619,1
L1912-00098,ANGELOTTI (Albert),L1912-00098,1,1,7,0,0,0.5454545455,5,6,0,0,1,1
L1912-00099,ANGLADE (Louis-Guillaume),L1912-00099,1,1,6,0,0,0.4545454545,2,3,0,0,1,1
L1912-00104,ANSELME (Philippe D'),L1912-00104,1,2,1215,1,0.001647446458,0.1806547619,,,,,,
L1912-00105,ANTERRIEU (Auguste),L1912-00105,1,1,1215,1,0,0.1068097836,2,747,1,0,0.1710616831,1
L1912-00106,ANTOINE (),L1912-00106,1,2,1215,1,0.002348365621,0.1373303167,13,747,1,0.005222622654,0.2583102493,0.4871794872
L1912-00120,ARÈNE (Félicien-César-Calixte),L1912-00120,1,1,1215,1,0,0.1073196605,6,747,1,0,0.09793882106,1
L1912-00129,ARNOUX (Jules),L1912-00129,1,1,3,0,0,0.6666666667,1,2,0,0,1,0
L1912-00130,ARRAGON (Henri),L1912-00130,1,2,1215,1,0.001647446458,0.1773816482,32,747,1,0,0.324912892,1
L1912-00134,ASPERGÉS (Pierre),L1912-00134,1,2,1215,1,0.001647446458,0.1484470531,10,747,1,0,0.256621947,1
L1912-00171,ATHENOSY (Lucien-Henri),L1912-00171,1,1,1215,1,0,0.1773298276,32,747,1,0,0.324912892,1
L1912-00172,ATTIA (G.),L1912-00172,1,6,1215,1,0.05350085947,0.1702187325,35,747,1,0.06888412992,0.3107038734,0.3579831933
L1912-00173,AUBERT (Godefroy),L1912-00173,1,1,1215,1,0,0.1380172806,1,747,1,0,0.2185120094,0
L1912-00174,AUBRY (Paul-Alexandre),L1912-00174,1,2,1215,1,0.004934190422,0.1208200637,7,747,1,0.005354733073,0.2225536993,0.5238095238
L1912-00176,AUDEMARD (Barthélémy-Julien),L1912-00176,1,1,1215,1,0,0.1355515855,13,747,1,0,0.2061342912,1
L1912-00178,AUGIAS (Lôon-Tliéoplijile-AQexandre),L1912-00178,1,2,1215,1,0.02806090356,0.1376417234,14,747,1,0.04970761286,0.1211825861,0.8571428571
L1912-00181,AURANGE (),L1912-00181,1,1,1215,1,0,0.120747961,5,747,1,0,0.2224209899,1
L1912-00186,AUVIN (Pierre),L1912-00186,1,1,2,0,0,1,,,,,,
L1912-00191,Avenir du Prolétariat (L'),L1912-00191,1,3,1215,1,0.003293534757,0.134173298,6,747,1,0,0.2501676727,1
L1912-00193,AVIGDOR (Samuel),L1912-00193,1,1,2,0,0,1,,,,,,
L1912-00200,AZERM (Alarc-Antoine-Joseph-Victor),L1912-00200,1,1,1215,1,0,0.1554019457,26,747,1,0,0.2698986975,1
L1912-00201,AZOUZ BEN HAMDA BEN AISSA (Mohamed),L1912-00201,1,1,1215,1,0,0.1096459538,8,747,1,0,0.2154823801,1
L1912-00203b,BACGOUGHE (Chadly),L1912-00203b,1,1,1215,1,0,0.08198271205,14,747,1,0,0.1565253882,1
L1912-00207,BACH-HAMBA (Ali),L1912-00207,1,3,1215,1,0.0250661788,0.110103392,3,747,1,0.05225183079,0.1369058543,0.3333333333
L1912-00217,BAILLE (Marie-Alexandre-Désiré),L1912-00217,1,3,1215,1,0.003782887454,0.1394120349,15,747,1,0.006006806311,0.2677674085,0.5904761905
L1912-00228,BARBAIS (Georges-Ferdinand),L1912-00228,1,2,1215,1,0.01137618812,0.143498818,13,747,1,0.01149396502,0.2662384011,0.5641025641
L1912-00229,BARBARAT (Aimé-Eugène),L1912-00229,1,1,2,0,0,1,,,,,,
L1912-00231,BARBOT (Hippolyle-Pierre),L1912-00231,1,2,1215,1,0.001488073661,0.1784244562,33,747,1,0.01555696765,0.3270495397,0.9393939394
L1912-00235,BARET (Emmanuel),L1912-00235,1,1,2,0,0,1,,,,,,
L1912-00238,BARNAY (Henri),L1912-00238,1,2,3,0,1,1,,,,,,
L1912-00239,BAROGHE (Jean-Jules-Léon),L1912-00239,1,1,2,0,0,1,,,,,,
L1912-00240,BARON (Paul-Auguste-Jean),L1912-00240,1,2,1215,1,0.0174455387,0.1902225008,16,747,1,0,0.29474516,1
L1912-00244,BARSOTTI (Benoît),L1912-00244,1,1,1215,1,0,0.1203171457,2,747,1,0,0.2176831048,1
L1912-00247,BASTIDE (),L1912-00247,1,2,1215,1,0.001647446458,0.1295624333,11,747,1,0,0.2422077922,1
L1912-00248,BASTIEN (Emilien),L1912-00248,1,1,1215,1,0,0.06183151676,1,747,1,0,0.119321817,0
L1912-00259,BEC (Henri-Auguste),L1912-00259,1,2,1215,1,0.0005288114761,0.152016028,6,747,1,0.005354733073,0.2646328485,0.4666666667
L1912-00262,BECHIR-BEY (Prince),L1912-00262,1,1,1215,1,0,0.1445238095,10,747,1,0,0.2755818249,1
L1912-00267,BELAISCH (Samuel),L1912-00267,1,1,3,0,0,0.6666666667,1,2,0,0,1,0
L1912-00271,BELLAICH (Adolphe),L1912-00271,1,3,1215,1,0.003220541111,0.1228993723,15,747,1,0.00505778535,0.2268856448,0.5428571429
L1912-00273,BELLÏSSEN (Joseph),L1912-00273,1,1,1215,1,0,0.1425886775,9,747,1,0,0.2645390071,1
L1912-00274,BELLOT (Jean-Ernest),L1912-00274,1,3,1215,1,0.003293534757,0.1426556992,9,747,1,0,0.2645390071,1
L1912-00281,BENAZET (Aristide),L1912-00281,1,3,1215,1,0.004618494176,0.1514849014,19,747,1,0.01224307935,0.2541737649,0.485380117
L1912-00306,BENSASSON (Raphaël),L1912-00306,1,1,1215,1,0,0.1098841419,5,747,1,0,0.2103778906,1
L1912-00307,BENSASSON (Umberto),L1912-00307,1,2,1215,1,0.005541132222,0.1141406544,5,747,1,0.005807983232,0.2151095732,0.6
L1912-00308,BÉRARD (Antonïn),L1912-00308,1,2,1215,1,0.008105737559,0.1371751412,7,747,1,0.009341395278,0.2625835973,0.4285714286
