entry_id,surname,forenames,positionality,position_detail,position_basis,confidence,birth_context,community,evidence,birth_year,settled_tunisia_year,occupation_primary,n_decorations,has_legion_honneur,has_nichan_iftikhar,n_chars,n_portraits
L1912-00328,BESSIS,Nessim,native,native_jewish,institutional,high,tunisia,tunisian_jewish,birth_tunisia;jewish_institution,1870,,commerce,1,1,0,1377,0
L1912-00334,BEYNA,Auguste - Gabriel,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1858,,,3,0,1,498,0
L1912-00336,BEZZINA,André,unknown,unknown,,,tunisia,unknown,birth_tunisia,1874,,commerce,0,0,0,58,0
L1912-00340,BIGHE-LATOUR,Gustave - ThibaultFrançois-Nicolas,colonist,metropolitan_colonist,institutional,low,europe,european_italian,birth_france;italian_institution,1858,1909,military,4,1,1,1135,0
L1912-00342,BIGNENS,Lucien-Jules,colonist,metropolitan_colonist,institutional,high,europe,european_other,birth_switzerland;member_of:french_settler_body,1844,1877,administration,1,0,0,1325,1
L1912-00343,BIGORRE,Louis,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1862,,transport_maritime,2,0,1,274,0
L1912-00344,BIGOT,Henri,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1874,1902,education_science,2,0,1,1060,0
L1912-00346,BILLON,François-Joseph,unknown,unknown,,,unrecorded,unknown,,,1814,diplomacy,1,0,0,110,0
L1912-00347,BILLY,Drausin,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1851,,agriculture,0,0,0,944,2
L1912-00360,BISGH,Marie-Lucien-Arsène,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1854,1894,,2,1,1,913,1
L1912-00361,BISMUTH,Joseph,unknown,unknown,,,tunisia,unknown,birth_tunisia,1867,,industry_crafts,2,0,1,225,0
L1912-00365,BLANC,Alarius,unknown,unknown,,,unrecorded,unknown,,,,education_science,2,0,1,543,0
L1912-00366,BLANC,Urbain,colonist,colonist_unspecified,reserved_post,medium,unrecorded,unknown,french_reserved_post,1862,1908,military,2,1,0,732,1
L1912-00367,BLANCHÈRÈ,R. DU COUDRAY DE LA,unknown,unknown,,,unrecorded,unknown,,,,education_science,1,0,0,1596,0
L1912-00368,BLAVIER,Albert,colonist,colonist_unspecified,reserved_post,medium,unrecorded,unknown,french_reserved_post,1866,,justice_law,0,0,0,422,0
L1912-00374,B O E R N E R,Gustave-Adolphe,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1839,,justice_law,0,0,0,316,0
L1912-00376,BOEUF,Félicien,unknown,unknown,,,unrecorded,unknown,,,1898,military,3,0,1,374,0
L1912-00377,BOEUF,,colonist,colony_born_colonist,reserved_post,medium,tunisia,unknown,birth_tunisia;french_reserved_post,1864,,military,5,0,1,489,0
L1912-00378,BOIANOWSKI,,unknown,unknown,,,unrecorded,unknown,,1866,,diplomacy,1,0,1,402,0
L1912-00379,BOIZEL,Auguste,unknown,unknown,,,unrecorded,unknown,,1877,1900,agriculture,2,0,1,185,0
L1912-00380,BONAN,Abraham,native,native_jewish,institutional,high,tunisia,tunisian_jewish,birth_tunisia;jewish_institution;member_of:jewish_body,1878,,medicine_health,1,0,1,1005,0
L1912-00381,BONAN,Jules,native,native_jewish,institutional,high,unrecorded,tunisian_jewish,islamic_school;jewish_institution,1876,,education_science,2,0,1,3807,2
L1912-00384,BONNAND,Jules-Antoine,colonist,metropolitan_colonist,institutional,high,europe,european_french,birth_france;islamic_school,1854,1891,military,2,0,1,291,0
L1912-00385,BONNEFOND,Louis - Alariei- HenriEdouard,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1848,,,1,0,0,542,0
L1912-00386,BONNET,Edmond,unknown,unknown,,,unrecorded,unknown,,,,,0,0,0,311,1
L1912-00387,BONNET,Prosper,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1867,1891,transport_maritime,0,0,0,118,0
L1912-00388,BORDENET,Désiré,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1878,1902,education_science,1,0,0,419,0
L1912-00389,BORDES,Jean,unknown,unknown,,,unrecorded,unknown,,1854,1892,education_science,2,0,1,785,0
L1912-00401,BORGEL,Elie,unknown,unknown,,,tunisia,unknown,birth_tunisia,1880,,engineering_architecture,0,0,0,1038,0
L1912-00403,BORROMEI,Thomas,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1870,1897,education_science,2,0,1,316,0
L1912-00404,BORTINO,Jean-Baptiste,unknown,unknown,,,unrecorded,unknown,,1860,,,1,0,0,289,1
L1912-00405,BOST,Etienne-Augustin,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1858,1890,,2,0,1,891,1
L1912-00406,BOTTESINI,Archimôde,colonist,colonist_unspecified,institutional,high,unrecorded,european_italian,italian_institution;member_of:italian_body,1854,,military,4,1,0,502,0
L1912-00410,BOUBES,Joseph-André,colonist,colonist_unspecified,reserved_post,medium,unrecorded,unknown,french_reserved_post,1880,,justice_law,0,0,0,420,0
L1912-00411,BOUBILA,Jean-Théophile,unknown,unknown,,,unrecorded,unknown,,1706,1889,,1,0,0,1082,0
L1912-00415,BOUCHET,Léopold-Marius,unknown,unknown,,,europe,tunisian_muslim,birth_france;islamic_school;member_of:muslim_body;merged_entry,1860,1899,hospitality_services,2,0,1,989,0
L1912-00416,BOUDET,Raymond - Bernard - PierreLouis,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1867,1898,finance_banking,2,0,1,738,0
L1912-00423,BOUHAGEB,Ahmed,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;islamic_school,1873,,justice_law,0,0,0,235,0
