entry_id,surname,forenames,positionality,position_detail,position_basis,confidence,birth_context,community,evidence,birth_year,settled_tunisia_year,occupation_primary,n_decorations,has_legion_honneur,has_nichan_iftikhar,n_chars,n_portraits
L1912-00001,ABADIE,Jean,unknown,unknown,,,unrecorded,unknown,,1862,,engineering_architecture,1,0,1,430,1
L1912-00003,ABDELLI,Ali,native,native_muslim,institutional,high,tunisia,tunisian_muslim,birth_tunisia;islamic_school;muslim_office,1840,,justice_law,1,0,1,340,0
L1912-00004,ABDELLI,Mohamed,native,native_muslim,institutional,high,tunisia,tunisian_muslim,birth_tunisia;islamic_school;muslim_office,1879,,justice_law,0,0,0,282,1
L1912-00006,ABD UL WAHAB,Hassen-I-Iusny,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;islamic_school;nasab_particle,1883,,administration,2,0,1,609,0
L1912-00007,ABEASIS,Isaac,colonist,metropolitan_colonist,birthplace,high,europe,european_other,birth_egypt,1882,,justice_law,0,0,0,320,0
L1912-00008,ABEASIS,Moïse,colonist,metropolitan_colonist,birthplace,high,europe,european_other,birth_egypt,1856,,justice_law,0,0,0,312,0
L1912-00010,ABITA,Joseph,colonist,metropolitan_colonist,institutional,high,europe,european_italian,birth_italy;member_of:italian_body,1856,,industry_crafts,1,0,1,1263,1
L1912-00011,ABRIBAT,Jules-Bernard,native,native_muslim,institutional,high,algeria,tunisian_muslim,birth_algeria;muslim_office,1858,,administration,4,1,1,1096,1
L1912-00016,ADANSON,Jean-Baptiste,unknown,unknown,,,unrecorded,unknown,,1765,,administration,0,0,0,197,0
L1912-00017,ADDA,Daniel,colonist,colony_born_colonist,birthplace,medium,algeria,european_french,birth_algeria,1865,,medicine_health,1,0,1,466,0
L1912-00018,ADDA,Meyer,colonist,colony_born_colonist,birthplace,medium,algeria,european_french,birth_algeria,1878,,medicine_health,0,0,0,549,0
L1912-00021,ADRAGNA,Giacomo,colonist,metropolitan_colonist,birthplace,high,europe,european_italian,birth_italy,1870,1902,medicine_health,0,0,0,433,0
L1912-00022,AFRIGAN,Charles,unknown,unknown,,,unrecorded,unknown,,1883,1893,administration,1,0,1,523,0
L1912-00028,AGNEL,,unknown,unknown,,,unrecorded,unknown,,1875,1896,administration,1,0,1,106,0
L1912-00031,AHMED BEN OTHMAN,SI,native,native_muslim,institutional,medium,unrecorded,tunisian_muslim,honorific;member_of:muslim_body;nasab_particle,1840,,military,3,1,1,2182,0
L1912-00034,AIACHI,,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;member_of:muslim_body,1873,,justice_law,0,0,0,631,1
L1912-00035,AIGROT,Charles,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1876,1902,industry_crafts,0,0,0,386,0
L1912-00064,Alaoui,Collège,unknown,unknown,,,unrecorded,unknown,,,,education_science,2,0,0,726,0
L1912-00065,Alaoui,Musée,unknown,unknown,,,unrecorded,unknown,,1888,,,1,0,0,834,0
L1912-00066,ALAPETITE,Gabriel,unknown,unknown,,,unrecorded,unknown,,,,,0,0,0,48,0
L1912-00067,ALBERT,Léon-Auguste,colonist,colony_born_colonist,institutional,low,algeria,european_italian,birth_algeria;member_of:french_settler_body;member_of:italian_body;member_of:jewish_body,1860,,,2,0,1,307,0
L1912-00068,ALBERTINI,,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1858,,military,4,1,1,558,1
L1912-00069,ALBERTINI,Paul,unknown,unknown,,,unrecorded,unknown,,1865,1908,,2,0,1,203,0
L1912-00070,ALBOUY,,unknown,unknown,,,unrecorded,unknown,,1863,,military,1,0,0,212,0
L1912-00071,ALESSANDRI,Pierre,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1868,1889,administration,1,0,1,306,1
L1912-00072,ALESSANDRO',,colonist,colonist_unspecified,institutional,high,unrecorded,european_italian,italian_institution,1906,1889,education_science,2,0,0,294,0
L1912-00074,Algérienne,L',unknown,unknown,,,unrecorded,unknown,,1902,,,0,0,0,333,0
L1912-00075,Algérienne,L,unknown,unknown,,,unrecorded,unknown,,1903,,,0,0,0,330,0
L1912-00076,ALI-BEY,,native,native_muslim,name,medium,unrecorded,tunisian_muslim,honorific,,,,0,0,0,146,0
L1912-00077,ALI-BEY,,native,native_muslim,name,medium,unrecorded,tunisian_muslim,honorific,,,,0,0,0,460,0
L1912-00080,ALIS,Joseph-Pierre-François,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1880,1897,education_science,1,0,1,223,0
L1912-00081,ALIX,Ernest-Adolphe,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1880,1902,,1,0,1,565,0
L1912-00082,ALIX,Jacques-Marie-Auguste,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1860,1887,education_science,2,0,1,260,0
L1912-00083,ALLEMAND,Antoine,colonist,metropolitan_colonist,institutional,high,europe,european_french,birth_france;islamic_school,1876,1900,education_science,4,0,1,6193,1
L1912-00089,AMAT J.-C.) 1856,,colonist,colonist_unspecified,institutional,low,unrecorded,european_french,member_of:french_settler_body,,1895,administration,1,0,1,378,0
L1912-00092,AMURATH,,unknown,unknown,,,unrecorded,unknown,,1700,,,0,0,0,97,0
L1912-00093,ANAGNOSTAKI,André,colonist,metropolitan_colonist,birthplace,high,europe,european_other,birth_greece,1865,1890,,1,1,0,346,0
L1912-00094,ANCONA,Ginseppe D',colonist,colonist_unspecified,institutional,medium,unrecorded,european_italian,member_of:italian_body,1867,1900,medicine_health,0,0,0,349,0
L1912-00095,AND RE AU,Georges,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1871,,industry_crafts,0,0,0,219,0
L1912-00096,ANDRÉ,Louis,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1872,1899,education_science,2,0,1,380,0
L1912-00097,ANDREANI,Philippe-Toussaint,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1876,1903,,0,0,0,197,0
L1912-00098,ANGELOTTI,Albert,colonist,colonist_unspecified,institutional,medium,unrecorded,european_italian,member_of:italian_body,1880,1886,justice_law,1,0,1,385,0
L1912-00099,ANGLADE,Louis-Guillaume,colonist,metropolitan_colonist,institutional,high,europe,european_french,birth_france;member_of:muslim_body,1851,1899,engineering_architecture,2,0,1,595,1
L1912-00103,Annual,L',unknown,unknown,,,unrecorded,unknown,,,,administration,0,0,0,228,0
L1912-00104,ANSELME,Philippe D',colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1864,,military,3,1,0,8752,0
L1912-00105,ANTERRIEU,Auguste,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1862,,justice_law,0,0,0,508,0
L1912-00106,ANTOINE,,unknown,unknown,,,unrecorded,unknown,,1857,1890,administration,4,1,1,163,0
L1912-00107,ANTONINI,César,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1870,1894,administration,0,0,0,546,0
L1912-00120,ARÈNE,Félicien-César-Calixte,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1863,,administration,2,0,1,1044,1
L1912-00121,ARGOUD,Léon-Louis,colonist,colonist_unspecified,reserved_post,medium,unrecorded,unknown,french_reserved_post,1869,,justice_law,1,0,1,375,0
L1912-00123,ARMAND,André-Alphonse,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1854,1890,,2,1,1,617,0
L1912-00124,ARMAND,André-Ernest-Emile,colonist,colonist_unspecified,reserved_post,medium,unrecorded,unknown,french_reserved_post,1874,1896,administration,2,0,1,791,0
L1912-00127,ARNOL,Clément,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1853,1883,justice_law,0,0,0,210,0
L1912-00128,ARNOULD,Louis-Victorien-Alexandre,colonist,colony_born_colonist,birthplace,medium,algeria,european_french,birth_algeria,1887,,education_science,0,0,0,848,0
L1912-00129,ARNOUX,Jules,unknown,unknown,,,unrecorded,unknown,,,,commerce,3,0,1,196,0
L1912-00130,ARRAGON,Henri,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1860,1901,medicine_health,5,1,1,3010,1
L1912-00134,ASPERGÉS,Pierre,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1862,,education_science,1,0,1,246,0
L1912-00168,ASTOIN-SIELGE,Joseph-Charles,unknown,unknown,,,unrecorded,unknown,,,,diplomacy,0,0,0,125,0
L1912-00170,ATGER,François-Emile,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1834,,religion,2,0,0,558,0
L1912-00171,ATHENOSY,Lucien-Henri,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1852,1881,medicine_health,1,0,1,384,0
L1912-00172,ATTIA,G.,colonist,colony_born_colonist,institutional,high,tunisia,european_italian,birth_tunisia;italian_institution;member_of:italian_body,1864,,,4,1,0,969,0
L1912-00173,AUBERT,Godefroy,unknown,unknown,,,unrecorded,unknown,,,1899,military,1,0,0,350,0
L1912-00174,AUBRY,Paul-Alexandre,unknown,unknown,,,unrecorded,unknown,,,1897,administration,0,0,0,220,0
L1912-00175,AUCOUTURIER,Etienne,unknown,unknown,,,unrecorded,unknown,,1867,1901,industry_crafts,0,0,0,795,1
L1912-00176,AUDEMARD,Barthélémy-Julien,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1851,1874,commerce,2,0,0,411,0
L1912-00177,AUDINEAU,Louis,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1872,,engineering_architecture,1,0,1,275,0
L1912-00178,AUGIAS,Lôon-Tliéoplijile-AQexandre,native,native_muslim,institutional,low,europe,tunisian_muslim,birth_italy;muslim_office,1880,1890,,1,0,0,921,1
L1912-00180,AUNIS,,unknown,unknown,,,unrecorded,unknown,,1869,,education_science,1,0,1,142,0
L1912-00181,AURANGE,,unknown,unknown,,,unrecorded,unknown,,1879,,military,0,0,0,184,0
L1912-00182,AURBACHER,François,unknown,unknown,,,unrecorded,unknown,,,,commerce,1,0,1,191,0
L1912-00183,AURÈS,Paul,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1873,1892,,3,0,1,552,1
L1912-00184,AUSSENAC,,unknown,unknown,,,unrecorded,unknown,,1874,1906,administration,1,0,0,164,0
L1912-00186,AUVIN,Pierre,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1861,,commerce,1,0,1,462,1
L1912-00188,AUZEPY,Edmond,unknown,unknown,,,unrecorded,unknown,,1861,1896,,1,0,1,1234,0
L1912-00189,Avenir,L',unknown,unknown,,,unrecorded,unknown,,1908,,,0,0,0,896,0
L1912-00190,Avenir du Prolétarait,L',colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1894,,administration,0,0,0,1297,0
L1912-00191,Avenir du Prolétariat,L',native,native_muslim,institutional,high,unrecorded,tunisian_muslim,muslim_office,1900,,military,0,0,0,2903,0
L1912-00192,AVERSO,Pascal,unknown,unknown,,,tunisia,unknown,birth_tunisia,1860,,industry_crafts,1,0,1,433,0
L1912-00193,AVIGDOR,Samuel,native,native_jewish_european_status,institutional,low,europe,tunisian_jewish,birth_ottoman_empire;jewish_institution,1870,,,2,0,1,1200,0
L1912-00200,AZERM,Alarc-Antoine-Joseph-Victor,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1861,,commerce,1,0,1,236,0
L1912-00201,AZOUZ BEN HAMDA BEN AISSA,Mohamed,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;member_of:muslim_body;nasab_particle,1848,,military,2,1,1,979,2
L1912-00204,BACCOUGHE,Salah,native,native_muslim,institutional,high,tunisia,tunisian_muslim,birth_tunisia;islamic_school;muslim_office,1865,,politics_native_admin,4,1,0,355,0
L1912-00207,BACH-HAMBA,Ali,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;islamic_school,1879,,justice_law,2,0,1,653,1
L1912-00210,BADE,,unknown,unknown,,,unrecorded,unknown,,1862,1896,administration,1,0,1,164,0
L1912-00211,BADER,Emile-Georges,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1853,1905,military,3,1,1,442,0
L1912-00217,BAILLE,Marie-Alexandre-Désiré,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1861,1884,education_science,2,0,1,804,2
L1912-00218,BAILLEAÛ,Gaston-Léon,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1882,1900,agriculture,1,0,1,189,0
L1912-00219,BAILLY,Fernancl,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1851,,medicine_health,1,0,1,1024,2
L1912-00220,BALANDE,Caries,colonist,colonist_unspecified,institutional,high,unrecorded,european_italian,italian_institution,,,industry_crafts,3,0,1,207,0
L1912-00221,BALDY,Jules,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1858,1885,justice_law,1,0,0,356,0
L1912-00228,BARBAIS,Georges-Ferdinand,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1861,,engineering_architecture,3,1,1,900,0
L1912-00229,BARBARAT,Aimé-Eugène,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1859,1908,military,1,1,0,1130,2
L1912-00230,BARBIER,Claude,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1874,1903,administration,1,0,1,265,0
L1912-00231,BARBOT,Hippolyle-Pierre,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1866,,industry_crafts,1,0,1,1356,0
L1912-00234,BARÊS,Jean,unknown,unknown,,,unrecorded,unknown,,1865,1893,administration,1,0,1,305,0
L1912-00235,BARET,Emmanuel,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1874,1905,justice_law,0,0,0,360,0
L1912-00237,BARLIER,Justin,colonist,colony_born_colonist,birthplace,medium,algeria,european_french,birth_algeria,1867,1904,commerce,1,0,1,296,0
L1912-00238,BARNAY,Henri,unknown,unknown,,,tunisia,unknown,birth_tunisia,1878,,commerce,1,0,1,530,0
L1912-00239,BAROGHE,Jean-Jules-Léon,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1866,1891,press_letters_arts,1,0,1,594,0
L1912-00240,BARON,Paul-Auguste-Jean,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1856,,engineering_architecture,1,0,1,574,0
L1912-00241,BARRATE,Gustave,unknown,unknown,,,unrecorded,unknown,,,,,0,0,0,279,0
L1912-00243,BARRIOULET,Pierre,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1875,,military,2,0,1,378,0
L1912-00244,BARSOTTI,Benoît,unknown,unknown,,,tunisia,unknown,birth_tunisia,1866,,engineering_architecture,1,0,1,601,1
L1912-00245,BARTHOLOMË,Jules-Albert,unknown,unknown,,,unrecorded,unknown,,1866,1899,,7,1,1,894,0
L1912-00246,BARUË,Gaslon-Henri-Jean-René,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1869,1891,administration,3,0,1,689,2
L1912-00247,BASTIDE,,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1847,1877,medicine_health,2,1,1,928,0
L1912-00248,BASTIEN,Emilien,unknown,unknown,,,unrecorded,unknown,,1848,,administration,4,1,0,610,0
L1912-00250,BATT,Sigvard,colonist,metropolitan_colonist,birthplace,high,europe,european_other,birth_norway,1869,,commerce,3,1,1,579,0
L1912-00252,BATTEROZE,Virgile,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1864,1882,finance_banking,0,0,0,697,0
L1912-00253,BAYLE,Marius,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1859,,administration,2,0,1,254,0
L1912-00254,BAYLE,Joseph,unknown,unknown,,,unrecorded,unknown,,1701,,diplomacy,0,0,0,238,0
L1912-00256,BEAUPIN,Henri,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1844,1897,medicine_health,0,0,0,383,0
L1912-00257,BEAUQUIER,Clodion,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1868,,education_science,1,0,1,511,0
L1912-00258,BEAUSSIER,Bonaventure,unknown,unknown,,,unrecorded,unknown,,,,military,0,0,0,339,0
L1912-00259,BEC,Henri-Auguste,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1871,1902,administration,3,0,1,360,0
L1912-00260,BÉCHARD,Léon,unknown,unknown,,,unrecorded,unknown,,,,military,0,0,0,107,1
L1912-00262,BECHIR-BEY,Prince,native,native_muslim,name,medium,unrecorded,tunisian_muslim,honorific,1880,,military,1,1,0,381,1
L1912-00265,BELAISCH,Isaac,unknown,unknown,,,tunisia,unknown,birth_tunisia,1856,,industry_crafts,0,0,0,103,0
L1912-00266,BELAISCH,Aloïse,native,native_jewish,institutional,high,tunisia,tunisian_jewish,birth_tunisia;jewish_institution,1879,,industry_crafts,0,0,0,152,0
L1912-00267,BELAISCH,Samuel,native,native_jewish,institutional,medium,tunisia,tunisian_jewish,birth_tunisia;member_of:jewish_body,1874,,industry_crafts,0,0,0,213,0
L1912-00268,BEL AJOUZA,Salah,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;islamic_school;nasab_particle,1880,,justice_law,0,0,0,594,0
L1912-00269,BELISAIRE,,unknown,unknown,,,unrecorded,unknown,,,,military,0,0,0,146,0
L1912-00270,BEL KHODJA,Mohamed,native,native_muslim,institutional,medium,tunisia,tunisian_muslim,birth_tunisia;islamic_school;nasab_particle,1869,,,2,1,0,1099,1
L1912-00271,BELLAICH,Adolphe,native,native_jewish,institutional,high,tunisia,tunisian_jewish,birth_tunisia;jewish_institution;member_of:jewish_body,1873,,diplomacy,0,0,0,465,0
L1912-00273,BELLÏSSEN,Joseph,unknown,unknown,,,unrecorded,unknown,,1865,1883,commerce,2,0,1,324,0
L1912-00274,BELLOT,Jean-Ernest,unknown,unknown,,,unrecorded,unknown,,1854,1888,politics_native_admin,5,1,1,1491,1
L1912-00275,BELTRANO,Ignazio,unknown,unknown,,,unrecorded,unknown,,,,commerce,0,0,0,38,0
L1912-00276,BEMBARON,Gino,native,native_jewish,institutional,high,tunisia,tunisian_jewish,birth_tunisia;jewish_institution,1878,,,0,0,0,308,0
L1912-00281,BENAZET,Aristide,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1881,1898,,2,0,1,729,0
L1912-00283,BENCHI,Victor,unknown,unknown,,,tunisia,unknown,birth_tunisia,1873,,transport_maritime,0,0,0,56,0
L1912-00286,BENEDETTI,,colonist,metropolitan_colonist,birthplace,high,europe,european_italian,birth_italy,1872,,education_science,1,0,0,1103,0
L1912-00287,BENETTI,Camille,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1860,1893,religion,0,0,0,517,2
L1912-00301,BEN KHALIFA,Alohamed,native,native_muslim,institutional,high,tunisia,tunisian_muslim,birth_tunisia;islamic_school;muslim_office;nasab_particle,1852,,politics_native_admin,2,1,1,355,0
L1912-00304,BENOIT,François-Xavier,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1854,1885,engineering_architecture,0,0,0,3357,0
L1912-00305,BEN SALAH,Ahmed,native,native_muslim,institutional,medium,unrecorded,tunisian_muslim,islamic_school;nasab_particle,,,education_science,0,0,0,118,0
L1912-00306,BENSASSON,,colonist,colony_born_colonist,institutional,high,tunisia,european_italian,birth_tunisia;italian_institution;member_of:italian_body,1854,,commerce,2,0,1,450,0
L1912-00307,BENSASSON,Umberto,colonist,colonist_unspecified,institutional,high,unrecorded,european_italian,italian_institution;member_of:italian_body,,,military,0,0,0,326,0
L1912-00308,BÉRARD,Antonïn,native,native_muslim,institutional,medium,unrecorded,tunisian_muslim,islamic_school,1862,,,2,0,1,427,1
L1912-00309,BERGE,Stéphane,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1852,1885,justice_law,3,1,1,1084,1
L1912-00310,BERGTOLD,Georges,colonist,colony_born_colonist,birthplace,medium,algeria,european_french,birth_algeria,1876,1901,education_science,1,0,0,296,0
L1912-00311,BERHAULT,Jean,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1870,,military,0,0,0,270,0
L1912-00312,BËRIEL,Philippe,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1877,1907,military,3,0,1,1033,0
L1912-00314,BERKELEY,Ernest- James - Lennox,unknown,unknown,,,unrecorded,unknown,,1857,1899,diplomacy,0,0,0,425,0
L1912-00315,BERNARD,Paul,unknown,unknown,,,unrecorded,unknown,,1867,1896,military,1,0,1,218,0
L1912-00316,BERNE,Jean-Marie,colonist,metropolitan_colonist,institutional,high,europe,european_french,birth_france;islamic_school,1866,1889,education_science,3,0,1,286,1
L1912-00317,BEROLSHEIMER,V.,colonist,metropolitan_colonist,birthplace,high,europe,european_italian,birth_italy,1865,,,0,0,0,567,1
L1912-00318,BERRA,J,unknown,unknown,,,unrecorded,unknown,,1886,,commerce,0,0,0,93,0
L1912-00319,BERTAINCHAND,Ernest,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1864,1887,engineering_architecture,5,1,0,3425,4
L1912-00320,BERTIN,Célestin,colonist,metropolitan_colonist,institutional,high,europe,european_french,birth_france;member_of:french_settler_body,1870,,,2,0,1,713,0
L1912-00321,BERTHON,Louis,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1864,,engineering_architecture,2,0,1,114,0
L1912-00322,BERTIN,,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1872,1900,,0,0,0,272,0
L1912-00323,BERTRAND,Joseph,colonist,metropolitan_colonist,birthplace,high,europe,european_french,birth_france,1868,,industry_crafts,2,0,1,713,1
L1912-00324,BERTRAND,Alarius-Louis-Joseph,unknown,unknown,,,tunisia,unknown,birth_tunisia,1863,,,0,0,0,218,1
L1912-00326,BESSIERE,Victor - Lucien - Etienne,unknown,unknown,,,unrecorded,unknown,,,,justice_law,2,0,1,220,0
L1912-00327,BESSIS,Eugène,native,native_jewish,institutional,high,unrecorded,tunisian_jewish,jewish_institution,,,finance_banking,1,0,1,192,0
