entry_id,surname,institution,institution_kind,degrees
L1912-00243,BARRIOULET,lycée et,secondary_lycee,doctorat_droit
L1912-00244,BARSOTTI,école des Frères,other,
L1912-00245,BARTHOLOMË,Faculté de droit de Paris,university_faculty,licence_droit
L1912-00246,BARUË,Lycée de Brest,secondary_lycee,baccalaureat
L1912-00247,BASTIDE,lycée de Cahors,secondary_lycee,doctorat_medecine;baccalaureat
L1912-00247,BASTIDE,faculté de droit de Toulouse et école de médecine d'Alge,university_faculty,doctorat_medecine;baccalaureat
L1912-00247,BASTIDE,facultés de médecine de Bordeaux et de Paris,university_faculty,doctorat_medecine;baccalaureat
L1912-00248,BASTIEN,lycée de Metz,secondary_lycee,
L1912-00250,BATT,lycée de Flekkefjord,secondary_lycee,
L1912-00250,BATT,Ecole des hautes,other,
L1912-00252,BATTEROZE,collège de Lure,secondary_college,
L1912-00257,BEAUQUIER,Ecole normale,teacher_training,brevet_superieur;certificat
L1912-00259,BEC,Facultés des Lettres de Toulouse et de Montpellier,university_faculty,
L1912-00259,BEC,lycée Carnot,secondary_lycee,
L1912-00259,BEC,collège Alaoui,secondary_college,
L1912-00267,BELAISCH,lycée Carnot,secondary_lycee,
L1912-00268,BEL AJOUZA,collège Sadiki,secondary_college,licence_droit;diplome_superieur
L1912-00268,BEL AJOUZA,grande mosquée,islamic_institution,licence_droit;diplome_superieur
L1912-00268,BEL AJOUZA,Facultés de droit d'Aix-en-Provence et de Paris et Ecole,university_faculty,licence_droit;diplome_superieur
L1912-00268,BEL AJOUZA,Khaldounia,islamic_institution,licence_droit;diplome_superieur
L1912-00270,BEL KHODJA,collège Sadiki,secondary_college,
L1912-00270,BEL KHODJA,grande mosquée,islamic_institution,
L1912-00276,BEMBARON,lycée italien,secondary_lycee,diplome_superieur
L1912-00281,BENAZET,école normale,teacher_training,brevet_superieur;certificat
L1912-00281,BENAZET,école de la,other,brevet_superieur;certificat
L1912-00286,BENEDETTI,lycée italien,secondary_lycee,
L1912-00301,BEN KHALIFA,grande mosquée,islamic_institution,
L1912-00301,BEN KHALIFA,Zitouna,islamic_institution,
L1912-00304,BENOIT,Ecole des Beaux-Arts,other,
L1912-00305,BEN SALAH,collège Sadiki,secondary_college,brevet_superieur
L1912-00305,BEN SALAH,Ecole normale,teacher_training,brevet_superieur
L1912-00308,BÉRARD,Ecole normale,teacher_training,
L1912-00309,BERGE,lycée de Guôref,secondary_lycee,licence_droit
L1912-00310,BERGTOLD,lycée Carnot,secondary_lycee,certificat
L1912-00312,BËRIEL,lycée Ampère,secondary_lycee,diplome_superieur
L1912-00312,BËRIEL,"Faculté des Lettres el Faculté cl es Sciences, à Lvon",university_faculty,diplome_superieur
L1912-00312,BËRIEL,lycée Henri,secondary_lycee,diplome_superieur
L1912-00312,BËRIEL,Ecole des Hautes,other,diplome_superieur
L1912-00316,BERNE,lycée Carnot,secondary_lycee,brevet_superieur
L1912-00317,BEROLSHEIMER,Ecole normale,teacher_training,
L1912-00319,BERTAINCHAND,Collège -,secondary_college,doctorat_medecine;diplome_superieur
L1912-00319,BERTAINCHAND,Institut national agronomique,institute,doctorat_medecine;diplome_superieur
L1912-00319,BERTAINCHAND,Ecole des Mineurs,other,doctorat_medecine;diplome_superieur
L1912-00319,BERTAINCHAND,Faculté des Sciences de Lyon,university_faculty,doctorat_medecine;diplome_superieur
L1912-00320,BERTIN,Ecole normale,teacher_training,brevet_superieur
L1912-00322,BERTIN,Ecole Normale,teacher_training,brevet_superieur
L1912-00334,BEYNA,lycée de Alelz,secondary_lycee,
L1912-00340,BIGHE-LATOUR,lycée de Metz,secondary_lycee,baccalaureat
L1912-00343,BIGORRE,lycée d'Alger,secondary_lycee,
L1912-00344,BIGOT,lycée Lakanal,secondary_lycee,agregation
L1912-00344,BIGOT,lycée Carnot,secondary_lycee,agregation
L1912-00360,BISGH,lycée de Strasbourg,secondary_lycee,
L1912-00365,BLANC,lycée de Marseille,secondary_lycee,
L1912-00367,BLANCHÈRÈ,Ecole Supérieure des,grande_ecole,
L1912-00376,BOEUF,Ecole Coloniale,grande_ecole,
L1912-00380,BONAN,lycée Carnol,secondary_lycee,doctorat_medecine;baccalaureat;diplome_superieur;certificat
L1912-00380,BONAN,Faculté des Sciences et Faculté de A'iédecine de Alontpellie,university_faculty,doctorat_medecine;baccalaureat;diplome_superieur;certificat
L1912-00381,BONAN,collège Saint-Charles,secondary_college,diplome_superieur
L1912-00381,BONAN,lycée Carnot,secondary_lycee,diplome_superieur
L1912-00384,BONNAND,Ecole normale,teacher_training,
L1912-00384,BONNAND,collège Sadiki,secondary_college,
L1912-00385,BONNEFOND,lycée de Bourges,secondary_lycee,licence_droit
L1912-00388,BORDENET,Ecole normale,teacher_training,brevet_superieur;certificat
L1912-00389,BORDES,lycée Carnot,secondary_lycee,diplome_superieur
L1912-00389,BORDES,lycée cle Toulouse,secondary_lycee,diplome_superieur
L1912-00389,BORDES,Ecole de Joinville-le-Pont,other,diplome_superieur
L1912-00401,BORGEL,lycée Carnot,secondary_lycee,baccalaureat
L1912-00401,BORGEL,lycée Saint-Louis,secondary_lycee,baccalaureat
L1912-00401,BORGEL,Ecole centrale,grande_ecole,baccalaureat
L1912-00403,BORROMEI,Lycée Carnot,secondary_lycee,
L1912-00410,BOUBES,lycée cle Toulouse,secondary_lycee,licence_droit
L1912-00411,BOUBILA,collège de Alugnac,secondary_college,baccalaureat
L1912-00415,BOUCHET,collège Sadiki,secondary_college,
L1912-00416,BOUDET,lycée d'Agen,secondary_lycee,
L1912-00423,BOUHAGEB,collège Sadiki,secondary_college,licence_droit
L1912-00423,BOUHAGEB,lycée Lakanal,secondary_lycee,licence_droit
L1912-00423,BOUHAGEB,Faculté de droit cle Paris,university_faculty,licence_droit
L1912-00424,BOUHAGEB,collège Sadiki,secondary_college,
L1912-00424,BOUHAGEB,lycée Carnot,secondary_lycee,
L1912-00424,BOUHAGEB,lycée Lakanal,secondary_lycee,
L1912-00428,BOULAKIA,lycée Carnot,secondary_lycee,doctorat_medecine
L1912-00430,BOULLIER,lycée cle Lyon,secondary_lycee,baccalaureat
L1912-00430,BOULLIER,Faculté de droit de Grenoble,university_faculty,baccalaureat
L1912-00432,BOUNIN,lycée d'Alger,secondary_lycee,licence_droit;baccalaureat;certificat
L1912-00432,BOUNIN,Ecole de droit,other,licence_droit;baccalaureat;certificat
L1912-00441,BOURGADE,collège Saint-Louis,secondary_college,
L1912-00442,BOURGEOIS,Ecole coloniale,grande_ecole,diplome_superieur
L1912-00443,BOURGEON,lycée de Di,secondary_lycee,doctorat_droit
L1912-00443,BOURGEON,"Faculté des lettres cle D i j o n, Faculté de droit de Diio",university_faculty,doctorat_droit
L1912-00448,BOUSSEN,collège Sadiki,secondary_college,
L1912-00448,BOUSSEN,Ecole polytechnique,grande_ecole,
L1912-00450,BOYER DE SAINT-GERVAIS,lycée d'Oran,secondary_lycee,baccalaureat
L1912-00453,BRAQUEYAHE,lycée de Bordeaux,secondary_lycee,agregation
L1912-00453,BRAQUEYAHE,Ecole Coloniale,grande_ecole,agregation
L1912-00454,BREART,Ecole de Saint-Cyr,other,
L1912-00454,BREART,école de Saint-Cyr,other,
L1912-00455,BREFORT,Ecole des Beaux-Arts,other,diplome_superieur
L1912-00455,BREFORT,lycée Carnot,secondary_lycee,diplome_superieur
L1912-00456,BREIEAN,lycée Charlemagne,secondary_lycee,licence_droit;baccalaureat;diplome_superieur
L1912-00456,BREIEAN,collège Rollin,secondary_college,licence_droit;baccalaureat;diplome_superieur
L1912-00456,BREIEAN,Ecole des Langues,other,licence_droit;baccalaureat;diplome_superieur
L1912-00457,BRESSON,Institut de,institute,
L1912-00458,BRIERE,collège de Chartres,secondary_college,certificat
L1912-00460,BRIGNONE,lycée cl,secondary_lycee,diplome_superieur
L1912-00463,BROIDO,Institut cle,institute,diplome_superieur
L1912-00465,BROUTIER DU PAVILLON,lycée d'Orléans,secondary_lycee,
L1912-00466,BRUCH,lycée et,secondary_lycee,doctorat_medecine;baccalaureat
L1912-00466,BRUCH,Ecole de médecine,other,doctorat_medecine;baccalaureat
L1912-00466,BRUCH,lycée Carnot,secondary_lycee,doctorat_medecine;baccalaureat
L1912-00467,BRULE,Ecole normale,teacher_training,certificat
L1912-00470,BRUSSIAU,Collège cle Sélif,secondary_college,diplome_superieur
L1912-00470,BRUSSIAU,lycée de Constantine,secondary_lycee,diplome_superieur
L1912-00470,BRUSSIAU,Ecole des Arts,other,diplome_superieur
L1912-00470,BRUSSIAU,Ecole des A,other,diplome_superieur
L1912-00471,BUGEIA,Ecole des Frères,other,
L1912-00472,BUISSON,lycée Condorcet,secondary_lycee,
L1912-00472,BUISSON,Ecole normale,teacher_training,
L1912-00473,BULLA-RËGIA,collège de Cholet,secondary_college,baccalaureat
L1912-00473,BULLA-RËGIA,Institut de,institute,baccalaureat
L1912-00477,BUSACCA Eugène,lycée de Messine,secondary_lycee,doctorat_medecine;diplome_superieur
L1912-00479,CABANTOUS,collège de Alillau,secondary_college,licence_droit;baccalaureat
L1912-00479,CABANTOUS,"Faculté de Théologie de Montauban, Faculté des Lettres cle T",university_faculty,licence_droit;baccalaureat
L1912-00481,CACHIA,lycée cle Tunis,secondary_lycee,
L1912-00488,CAILLAT,Collège Saint-Louis,secondary_college,
L1912-00493,CALECA,lycée Carnot,secondary_lycee,
L1912-00494,CALO,lycée Italien,secondary_lycee,
L1912-00497,CAMILLERI,école des filles,other,
L1912-00501,CAMPENON,Ecole polytechnique,grande_ecole,
L1912-00502,CAMUSSI,collège de Ribérac,secondary_college,diplome_superieur
L1912-00503,CANAL,lycée d'Alger,secondary_lycee,
L1912-00507,CANTON,collège Saint-Charles,secondary_college,
L1912-00507,CANTON,lycée Carnot,secondary_lycee,
L1912-00507,CANTON,Faculté de Droit d'Alger,university_faculty,
L1912-00512,CAPRIATA,lycée d,secondary_lycee,diplome_superieur
L1912-00515,CARBONIÈRE,collège cle Sarlal,secondary_college,baccalaureat;diplome_superieur
L1912-00515,CARBONIÈRE,lycée de Limoges,secondary_lycee,baccalaureat;diplome_superieur
L1912-00515,CARBONIÈRE,Ecole de Alédecine,other,baccalaureat;diplome_superieur
L1912-00515,CARBONIÈRE,Ecole des Auxiliaires,other,baccalaureat;diplome_superieur
L1912-00516,CARCASONNE,collège de Cuis'on,secondary_college,
L1912-00517,CARDALIAGUET,Faculté de Médecine de Bordeaux,university_faculty,
L1912-00518,CARDOSO,lycée de Livourne,secondary_lycee,
L1912-00519,CARDOSO,lycée de Livourne,secondary_lycee,
L1912-00521,CARNIÈRES,lycée Bonaparte,secondary_lycee,licence_droit
L1912-00529,CARTON,lycée de Lille,secondary_lycee,
L1912-00531,CASELLA,Institut nautique,institute,
L1912-00534,CASSUTO,collège Saint-Charles,secondary_college,doctorat_medecine;baccalaureat
L1912-00534,CASSUTO,lycée Carnot,secondary_lycee,doctorat_medecine;baccalaureat
L1912-00536,CATTAN,collège Saint,secondary_college,doctorat_medecine;baccalaureat
L1912-00536,CATTAN,lycée Carnot,secondary_lycee,doctorat_medecine;baccalaureat
L1912-00537,CATTAN,collège Saint-Charles,secondary_college,
L1912-00538,CATTAN,école de l,other,licence_droit;brevet_superieur;diplome_superieur
L1912-00538,CATTAN,collège Alaoui,secondary_college,licence_droit;brevet_superieur;diplome_superieur
L1912-00538,CATTAN,Faculté de Droit d'Aix,university_faculty,licence_droit;brevet_superieur;diplome_superieur
L1912-00538,CATTAN,Institut cle,institute,licence_droit;brevet_superieur;diplome_superieur
L1912-00538,CATTAN,Institut de,institute,licence_droit;brevet_superieur;diplome_superieur
L1912-00539,CATTAN,Faculté de Droit de Lyon,university_faculty,licence_droit
L1912-00540,CAVALIN,Collège de Guérande,secondary_college,baccalaureat
L1912-00565,CHABERT,Ecole de Médecine,other,
L1912-00570,CHAFFANJON,lycée et,secondary_lycee,baccalaureat
L1912-00570,CHAFFANJON,Ecole normale,teacher_training,baccalaureat
L1912-00572,CHAILLEY,Facultés de Droit de Lille et de Paris,university_faculty,licence_droit;baccalaureat
L1912-00573,CHAIX,Ecole des Arts,other,
L1912-00575,CHALOM,lycée de Tunis,secondary_lycee,doctorat_droit;baccalaureat
L1912-00575,CHALOM,Facultés de Droit d'Aix et de Paris,university_faculty,doctorat_droit;baccalaureat
L1912-00576,CHAMBONCEL,Ecole normale,teacher_training,diplome_superieur;certificat
L1912-00586,CHAMPAVER,collège Alaoui,secondary_college,
L1912-00586,CHAMPAVER,lycée Ca,secondary_lycee,
L1912-00599,CHARRIERE,collège Stanislas,secondary_college,baccalaureat
L1912-00600,CHASSAGNY •,lycée Henri,secondary_lycee,baccalaureat
L1912-00600,CHASSAGNY •,lycée d'Alger,secondary_lycee,baccalaureat
L1912-00600,CHASSAGNY •,lycée de Gafsa,secondary_lycee,baccalaureat
L1912-00600,CHASSAGNY •,lycée Carnot,secondary_lycee,baccalaureat
L1912-00606,CHAUFFIN,Ecole normale,teacher_training,brevet_superieur
L1912-00608,CHAVIGNY,collège de Saumur,secondary_college,baccalaureat
L1912-00608,CHAVIGNY,Faculté des Lettres de Poitiers,university_faculty,baccalaureat
L1912-00618,CHEMAMA,Faculté de Droit d'Aix-en-Provence,university_faculty,licence_droit
L1912-00633,CHERVIN,Ecole Coloniale,grande_ecole,
L1912-00638,CHEYLUS,Ecole Polytechnique,grande_ecole,
L1912-00640,CHICOLI,collège et,secondary_college,
L1912-00641,CHIDIAC,collège de Lazareth,secondary_college,
L1912-00650,CHURCHER,Collège Londres,secondary_college,
L1912-00652,CIRIER,collège de Cambrai,secondary_college,doctorat_droit;baccalaureat;certificat
L1912-00652,CIRIER,Faculté de droit de Paris,university_faculty,doctorat_droit;baccalaureat;certificat
L1912-00652,CIRIER,Collège Sainte-Barbe,secondary_college,doctorat_droit;baccalaureat;certificat
L1912-00653,CITTANOVA,Institut Fleury,institute,
L1912-00653,CITTANOVA,Faculté de droit d'Aix,university_faculty,
L1912-00656,CLÉMENT,Collège de Valence,secondary_college,diplome_superieur
L1912-00656,CLÉMENT,Ecole supérieure de Commerce de Mulhouse,grande_ecole,diplome_superieur
L1912-00657,CLERINO,lycée Ampère,secondary_lycee,baccalaureat
L1912-00657,CLERINO,Institut national agronomique,institute,baccalaureat
L1912-00658,CLERMONT,lycée d'Alger,secondary_lycee,brevet_superieur;diplome_superieur;certificat
L1912-00658,CLERMONT,collège Alaoui,secondary_college,brevet_superieur;diplome_superieur;certificat
L1912-00658,CLERMONT,Ecole des Lettres,other,brevet_superieur;diplome_superieur;certificat
L1912-00658,CLERMONT,lycée Carnot,secondary_lycee,brevet_superieur;diplome_superieur;certificat
L1912-00658,CLERMONT,lycée de Tunis,secondary_lycee,brevet_superieur;diplome_superieur;certificat
L1912-00659,CLERMONT,lycée Carnot,secondary_lycee,
L1912-00660,CLEYET,lycée de Tunis,secondary_lycee,brevet_superieur;certificat
L1912-00661,CLIDAT,lycée de Bordeaux,secondary_lycee,
L1912-00661,CLIDAT,Ecole supérieure de Commerce et d'Industrie de,grande_ecole,
L1912-00665,COANET,lycée de Nancy,secondary_lycee,diplome_superieur
L1912-00665,COANET,école de Rouiba,other,diplome_superieur
L1912-00669,COHEN,lycée Carnot,secondary_lycee,
L1912-00671,COHEN,Ecole de lAinance,other,diplome_superieur
L1912-00672,COHEN,école de Droit,other,
L1912-00672,COHEN,Institut de,institute,
L1912-00676,COLLET,lycée de Pontivy,secondary_lycee,
L1912-00677,COLLIN,Ecole normale,teacher_training,diplome_superieur;certificat
L1912-00679,COLONNA -CESARI,lycée Carnot,secondary_lycee,baccalaureat;certificat
L1912-00679,COLONNA -CESARI,Faculté de droit d'Aix - en - Provence,university_faculty,baccalaureat;certificat
L1912-00681,COLRAT,lycée de Rodez,secondary_lycee,
L1912-00681,COLRAT,collège S',secondary_college,
L1912-00685,COMBET,lycée Carnot,secondary_lycee,
L1912-00694,COMITI,collège d'Ajaccio,secondary_college,baccalaureat
L1912-00719,COMTE,collège Sainte-Barbe,secondary_college,doctorat_medecine
L1912-00719,COMTE,lycée Louis-le,secondary_lycee,doctorat_medecine
L1912-00719,COMTE,"Faculté de médecine de Paris, collège de France",university_faculty,doctorat_medecine
L1912-00720,COMTE,collège Pasteur,secondary_college,doctorat_medecine
L1912-00720,COMTE,lycée Victor,secondary_lycee,doctorat_medecine
L1912-00731,CONVERTI,Collège Gavopoli,secondary_college,
L1912-00731,CONVERTI,lycée Relesio,secondary_lycee,
L1912-00731,CONVERTI,Institut Galilée,institute,
L1912-00731,CONVERTI,Institut Marotte,institute,
L1912-00731,CONVERTI,Faculté de médecine et chirurgie de l'Université de Naples,university_faculty,
L1912-00731,CONVERTI,Institut Marot,institute,
L1912-00736,CORBES,Collège Jules-Simon,secondary_college,baccalaureat
L1912-00737,CORDEIL,lycée de Marseille,secondary_lycee,licence_droit;brevet_superieur
L1912-00737,CORDEIL,Faculté de droit d'Aix,university_faculty,licence_droit;brevet_superieur
L1912-00737,CORDEIL,lycée Carnot,secondary_lycee,licence_droit;brevet_superieur
L1912-00739,CORRAS,Collège Alaoui,secondary_college,
L1912-00740,COSSANGE,Faculté des sciences de Lille,university_faculty,
L1912-00740,COSSANGE,Ecole des Mineurs,other,
L1912-00741,COSSON,collège Saint,secondary_college,
L1912-00743,COUDERG,lycée Carnot,secondary_lycee,baccalaureat
L1912-00744,COUDERC,Collège de Philipeville,secondary_college,
L1912-00745,COULON,lycée d'Aix,secondary_lycee,licence_droit
L1912-00745,COULON,Faculté de droit d'Aix,university_faculty,licence_droit
L1912-00748,COURT,Ecole normale,teacher_training,baccalaureat;brevet_superieur;diplome_superieur;certificat
L1912-00748,COURT,Lycée de Sparte,secondary_lycee,baccalaureat;brevet_superieur;diplome_superieur;certificat
L1912-00750,CRANCIER,collège de Pontarlier,secondary_college,licence_droit
L1912-00750,CRANCIER,Faculté de droit d'Aix,university_faculty,licence_droit
L1912-00752,CRETE,collège Stanislas,secondary_college,
L1912-00762,CUÉNOD,collège et,secondary_college,doctorat_medecine
L1912-00767,DABRIGEON,"Faculté de médecine et de pharmacie de Lyon, 1891-1S94",university_faculty,
L1912-00768,DALIOT,lycée et,secondary_lycee,licence_droit
L1912-00768,DALIOT,Ecole de droit,other,licence_droit
L1912-00770,DALLARD,collège S',secondary_college,licence_droit;baccalaureat
L1912-00770,DALLARD,lycée Saint,secondary_lycee,licence_droit;baccalaureat
L1912-00771,DALLOZ,lycée de Lons-le-Saulnier,secondary_lycee,licence_droit;baccalaureat
L1912-00771,DALLOZ,Faculté de droit de Paris,university_faculty,licence_droit;baccalaureat
L1912-00776,DANINOS,collège de Bône,secondary_college,baccalaureat
L1912-00777,DANOS,collège de Saint-Gaudens,secondary_college,
L1912-00778,DANTON,collège de Sézanne,secondary_college,
L1912-00785,DARGHOUT,Khaldounia,islamic_institution,
L1912-00786,DARMON,Lycée Carnot,secondary_lycee,licence_droit;baccalaureat;diplome_superieur;certificat
L1912-00786,DARMON,école des hautes,other,licence_droit;baccalaureat;diplome_superieur;certificat
L1912-00786,DARMON,faculté de droit de Paris (1903-1908),university_faculty,licence_droit;baccalaureat;diplome_superieur;certificat
L1912-00786,DARMON,Institut de,institute,licence_droit;baccalaureat;diplome_superieur;certificat
L1912-00788,DASCONAGUERRE,Faculté de droit de Bordeaux,university_faculty,baccalaureat
L1912-00791,DAVID,Ecole centrale,grande_ecole,
L1912-00792,DAVOUX,Ecole Normale,teacher_training,brevet_superieur;certificat
L1912-00801,DECKER-DAVID,Collège Rollin,secondary_college,diplome_superieur
L1912-00801,DECKER-DAVID,Institut agronomique,institute,diplome_superieur
L1912-00804,DEFRANCHI,collège de Tarascon,secondary_college,
L1912-00807,DEGOMMIER,lycée Janson,secondary_lycee,licence_droit
L1912-00807,DEGOMMIER,Faculté de Droit de Paris,university_faculty,licence_droit
L1912-00809,DËGUT,lycée d'Aix,secondary_lycee,baccalaureat
L1912-00810,DEHENNAULT,lycée de Douai,secondary_lycee,diplome_superieur
L1912-00810,DEHENNAULT,Ecole des Beaux-Arts,other,diplome_superieur
L1912-00812,DEJEANNE,lycée de Tarbes,secondary_lycee,diplome_superieur
L1912-00814,DELARUE,Ecole Polytechnique,grande_ecole,
L1912-00818,DELIEUX,lycée de Toulouse,secondary_lycee,
L1912-00819,DELMAS,collège d'Auxerre,secondary_college,licence_droit;baccalaureat
L1912-00819,DELMAS,lycée de Sens,secondary_lycee,licence_droit;baccalaureat
L1912-00819,DELMAS,lycée de Toulouse,secondary_lycee,licence_droit;baccalaureat
L1912-00819,DELMAS,collège S'-,secondary_college,licence_droit;baccalaureat
L1912-00819,DELMAS,Faculté de droit de Paris,university_faculty,licence_droit;baccalaureat
L1912-00820,DELMAS,collège Sadiki,secondary_college,
L1912-00821,DELMOLINO,Ecole supérieure des Postes,grande_ecole,
L1912-00823,DELORD,Ecole normale,teacher_training,
L1912-00824,DEMARCQ,collège de Landi'ôcies,secondary_college,baccalaureat
L1912-00824,DEMARCQ,lycée de Valenciennes,secondary_lycee,baccalaureat
L1912-00824,DEMARCQ,lycée Saint-Louis,secondary_lycee,baccalaureat
L1912-00825,DEMAY,collège S'-,secondary_college,licence_droit;baccalaureat;diplome_superieur
L1912-00825,DEMAY,lycée Carnot,secondary_lycee,licence_droit;baccalaureat;diplome_superieur
L1912-00826,DEMELLE,collège de Bazas,secondary_college,
L1912-00826,DEMELLE,Facultés de médecine de Bordeaux et de Montpellier,university_faculty,
L1912-00827,DEMOULIN,Ecole coloniale,grande_ecole,diplome_superieur
L1912-00828,DENCAUSE,lycée de Toulouse,secondary_lycee,baccalaureat
L1912-00829,DENJEAN-NAVAILLES,collège de Béziers,secondary_college,baccalaureat
L1912-00837,DESTRÉES,collège des,secondary_college,
L1912-00837,DESTRÉES,lycée de SaintEtienne,secondary_lycee,
L1912-00837,DESTRÉES,collège de Moslaganem,secondary_college,
L1912-00837,DESTRÉES,collège de Mostaganeni,secondary_college,
L1912-00837,DESTRÉES,collège Sadiki,secondary_college,
L1912-00837,DESTRÉES,Lycée Carnot,secondary_lycee,
L1912-00837,DESTRÉES,"Ecole supérieure DESPORTES (Antoine), 24 nov",grande_ecole,
L1912-00838,DESTREES,collège de Moslaganem,secondary_college,licence_droit;baccalaureat;diplome_superieur
L1912-00838,DESTREES,lycée de Tunis,secondary_lycee,licence_droit;baccalaureat;diplome_superieur
L1912-00838,DESTREES,Lycée Saint-Louis,secondary_lycee,licence_droit;baccalaureat;diplome_superieur
L1912-00838,DESTREES,Ecole des langues,other,licence_droit;baccalaureat;diplome_superieur
L1912-00838,DESTREES,école des sciences,other,licence_droit;baccalaureat;diplome_superieur
L1912-00842,DIACONO,lycée de Tunis,secondary_lycee,baccalaureat
