person_node,person_name,person_entry_id,resolution,organisation_node,organisation_name,role,tie_source,organisation_founded_year,page,page_url,evidence,organisation_name_raw
NAME:JULES BESSIS,Jules Bessis,,ambiguous,L1912-00085,Alliance Sportive,president,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"Président : M. Jules Bessis, banquiers",Alliance Sportive
L1912-01601,B Léger,L1912-01601,resolved,L1912-00085,Alliance Sportive,vice_president,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"vice-présidents : MM. B. Léger, lieutenant des pompiers",Alliance Sportive
NAME:A ILALFON,A Ilalfon,,unmatched,L1912-00085,Alliance Sportive,treasurer,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"trésorier : M. A. Ilalfon, employé à la Municipalité",Alliance Sportive
NAME:JOSEPH COHEN,Joseph Cohen,,ambiguous,L1912-00085,Alliance Sportive,secretary,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"Secrétaire : M. Joseph Cohen, professeur",Alliance Sportive
NAME:I IAVOUN,I-Iavoun,,unmatched,L1912-00085,Alliance Sportive,deputy_treasurer,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"trésorier-adjoint : M. I-Iavoun, employé",Alliance Sportive
L1912-00271,G Bellaïche,L1912-00271,resolved_fuzzy,L1912-00085,Alliance Sportive,deputy_secretary,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"secrétaire-adjoint : M. G. Bellaïche, employé",Alliance Sportive
NAME:VICTOR SLAMA,Victor Slama,,unmatched,L1912-00085,Alliance Sportive,assessor,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"assesseurs : MM. Victor Slama, propriétaire, Arthur Sitbon, employé à la",Alliance Sportive
L1912-02391,Arthur Sitbon,L1912-02391,resolved,L1912-00085,Alliance Sportive,assessor,organisation_entry_officer_list,,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"assesseurs : MM. Victor Slama, propriétaire, Arthur Sitbon, employé à la",Alliance Sportive
L1912-01428,Ferdinand Huard,L1912-01428,resolved,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Médaille d'or à l'Exposition Coloniale de Marseille en 1906. Médaille d'argent à l'Exposition des oeuvres sociales au Grand Palais, à Tunis, en 1905. Prés, gén., M. Ferdinand Huard",Assistance Mutuelle Tunisienne
L1912-02688,Villot-Beauchemin,L1912-02688,resolved_fuzzy,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"vi-prés. gén., M. de Villot-Beauchemin, ingénieur, directeur-adjoint des Travaux de la Ville de Tunis, et M. Graziani, inspecteur des Domaines à la Direction de l'Agriculture, Tuni",Assistance Mutuelle Tunisienne
NAME:GRAZIANI,Graziani,,unmatched,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"vi-prés. gén., M. de Villot-Beauchemin, ingénieur, directeur-adjoint des Travaux de la Ville de Tunis, et M. Graziani, inspecteur des Domaines à la Direction de l'Agriculture, Tuni",Assistance Mutuelle Tunisienne
NAME:GARNIER,Garnier,,unmatched,L1912-00139,Assistance Mutuelle Tunisienne,secretary_general,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"secr. gén., M .Garnier, chef de section au Service Topographique",Assistance Mutuelle Tunisienne
