person_node,person_name,person_entry_id,resolution,organisation_node,organisation_name,role,tie_source,organisation_founded_year,page,page_url,evidence,organisation_name_raw
L1912-02585,Tremsal,L1912-02585,resolved,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Président du groupe A : M. Tremsal, chef de Cabinet du Directeur général de l'Enseignement public à Tunis",Assistance Mutuelle Tunisienne
NAME:CONSTANTIN,Constantin,,unmatched,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Président du groupe C :M. Constantin, ingénieur électricien à Tunis",Assistance Mutuelle Tunisienne
L1912-02203,Roman,L1912-02203,resolved_fuzzy,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Président clu groupe D : M. Roman, propriétaire à Tunis",Assistance Mutuelle Tunisienne
L1912-00989,Duvau,L1912-00989,resolved,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Président clu (groupe E : M. Duvau, directeur de l'Office de Colonisation à Tunis",Assistance Mutuelle Tunisienne
NAME:HALLOUIN,Hallouin,,unmatched,L1912-00139,Assistance Mutuelle Tunisienne,president,organisation_entry_officer_list,1901,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Président du groupe F. : M. Hallouin, inspecteur cle la Compagnie Bône-Guelma.",Assistance Mutuelle Tunisienne
NAME:EDOUARD,Edouard,,unmatched,L1912-00141,Association Agricole de la Tunisie,board_member,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"CONSEIL D'ADMINISTRATION. Prés., M. le comte Edouard cle Warren, domaine d'Echamùnes (Mornag)",Association Agricole de la Tunisie
L1912-02682,Wartelle,L1912-02682,resolved,L1912-00141,Association Agricole de la Tunisie,vice_president,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"v.-prés., MM. Wartelle, à Aïn-Rhelal",Association Agricole de la Tunisie
L1912-00665,Coanet,L1912-00665,resolved,L1912-00141,Association Agricole de la Tunisie,secretary_general,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"secr. gén., M. Coanet, à RasTabia, près Tunis",Association Agricole de la Tunisie
NAME:COSTET,Costet,,unmatched,L1912-00141,Association Agricole de la Tunisie,president,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"COMITÉ DE DIRECTION COMMERCIALE, Présid., M. Costet",Association Agricole de la Tunisie
NAME:COURRAI,Courrai,,unmatched,L1912-00141,Association Agricole de la Tunisie,delegate,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"administ. délégué, M. Courrai",Association Agricole de la Tunisie
NAME:ROLLAND,Rolland,,ambiguous,L1912-00141,Association Agricole de la Tunisie,secretary,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"secr., M. Rolland",Association Agricole de la Tunisie
NAME:S TARDY,S Tardy,,unmatched,L1912-00141,Association Agricole de la Tunisie,assessor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"assesseurs, MM. S. Tardy et Rebillet",Association Agricole de la Tunisie
NAME:REBILLET,Rebillet,,unmatched,L1912-00141,Association Agricole de la Tunisie,assessor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"assesseurs, MM. S. Tardy et Rebillet",Association Agricole de la Tunisie
NAME:AYMARD,Aymard,,unmatched,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
NAME:BARRION,Barrion,,unmatched,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
L1912-00347,Billy,L1912-00347,resolved,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
NAME:BLAIVE,Blaive,,unmatched,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
L1912-00524,Carrier,L1912-00524,resolved,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
NAME:DELIGNE,Deligne,,unmatched,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
NAME:DUCROQUET,Ducroquet,,ambiguous,L1912-00141,Association Agricole de la Tunisie,councillor,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"conseillers consultatifs, MM. Aymard, Barrion, Billy, Blaive, Carrier, Deligne, Ducroquet, Ch",Association Agricole de la Tunisie
NAME:BARRION,Barrion,,unmatched,L1912-00141,Association Agricole de la Tunisie,secretary_general,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"secr. gén., M. Barrion",Association Agricole de la Tunisie
NAME:PATRICE,Patrice,,unmatched,L1912-00141,Association Agricole de la Tunisie,deputy_secretary,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"secr. adj., MM. le comte Patrice de Waren, F. Ducroquet",Association Agricole de la Tunisie
L1912-01291,Gounot,L1912-01291,resolved,L1912-00141,Association Agricole de la Tunisie,secretary_general,organisation_entry_officer_list,1907,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"secr. gén., M. Gounot",Association Agricole de la Tunisie
NAME:A LEBUCHER,A Lebucher,,unmatched,L1912-00142,Association Agricole de Takelsa,president,organisation_entry_officer_list,1908,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"MM. A. Lebucher, prés.",Association Agricole de Takelsa
NAME:G LECOLLIER,G Lecollier,,unmatched,L1912-00142,Association Agricole de Takelsa,vice_president,organisation_entry_officer_list,1908,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"G. Lecollier et P. Ber- nard, v.-prés.",Association Agricole de Takelsa
NAME:P BER,P Ber,,unmatched,L1912-00142,Association Agricole de Takelsa,vice_president,organisation_entry_officer_list,1908,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"G. Lecollier et P. Ber- nard, v.-prés.",Association Agricole de Takelsa
NAME:MATTOU,Mattou,,unmatched,L1912-00142,Association Agricole de Takelsa,secretary,organisation_entry_officer_list,1908,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"Mattou, secr.",Association Agricole de Takelsa
NAME:SURLEAU,Surleau,,unmatched,L1912-00142,Association Agricole de Takelsa,deputy_secretary,organisation_entry_officer_list,1908,34,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f58.item,"Surleau, secr. adj.",Association Agricole de Takelsa
NAME:SCIALOM,Scialom,,ambiguous,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,president,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Prés., M. le D' Scialom",Association Amicale des Anciens Elèves de l'Alliance Israélite
NAME:JULES BESSIS,Jules Bessis,,ambiguous,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,vice_president,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"v.-prés., MM. Jules Bessis et V. Sitruk",Association Amicale des Anciens Elèves de l'Alliance Israélite
NAME:V SITRUK,V Sitruk,,unmatched,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,vice_president,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"v.-prés., MM. Jules Bessis et V. Sitruk",Association Amicale des Anciens Elèves de l'Alliance Israélite
L1912-01465,Isaac Lévy,L1912-01465,resolved,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,secretary,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"secr., M. Isaac Lévy",Association Amicale des Anciens Elèves de l'Alliance Israélite
NAME:HOUBANI,Houbani,,unmatched,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,commissioner,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"commiss., M. Houbani",Association Amicale des Anciens Elèves de l'Alliance Israélite
L1912-01165,Fitoussi,L1912-01165,resolved,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,president,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ane. prés., MM. Fitoussi et Victor Scialom, avocats",Association Amicale des Anciens Elèves de l'Alliance Israélite
NAME:VICTOR SCIALOM,Victor Scialom,,ambiguous,L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,president,organisation_entry_officer_list,1899,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ane. prés., MM. Fitoussi et Victor Scialom, avocats",Association Amicale des Anciens Elèves de l'Alliance Israélite
L1912-01291,Gounol,L1912-01291,resolved_fuzzy,L1912-00144,Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis,president,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"MM. Gounol,.prés.",Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis
NAME:SOUIIVEL,Souiivel,,unmatched,L1912-00144,Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis,secretary,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Souiivel, secr.",Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis
L1912-00665,Cornet,L1912-00665,resolved_fuzzy,L1912-00144,Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis,assessor,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Cornet, Dela.noue, Renoux, Tronche, assess.",Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis
NAME:RENOUX,Renoux,,unmatched,L1912-00144,Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis,assessor,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Cornet, Dela.noue, Renoux, Tronche, assess.",Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis
NAME:TRONCHE,Tronche,,unmatched,L1912-00144,Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis,assessor,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Cornet, Dela.noue, Renoux, Tronche, assess.",Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis
L1912-01640,Loth,L1912-01640,resolved,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,honorary_vice_president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"v.-prés. d'hon., M. Buisson, directeur de l'Enseignement primaire, et M: Loth, directeur du Collège Alaoui",Association Amicale des Anciens Elèves du Collège Alaoui
L1912-00178,L Augias,L1912-00178,resolved,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Prés, actif, M. L. Augias, sous^chef de bureau au Gouvernement tunisien",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:A DUVIALARD,A Duvialard,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,vice_president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"v.-prés.,' M. A. Duvialard, commis des Postes, et M. Larguèche Kh., instituteur",Association Amicale des Anciens Elèves du Collège Alaoui
L1912-01591,Larguèche Kh,L1912-01591,resolved_fuzzy,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,vice_president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"v.-prés.,' M. A. Duvialard, commis des Postes, et M. Larguèche Kh., instituteur",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:MATLEI,Matleï,,ambiguous_fuzzy,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,secretary_general,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"secr. gén., M. Matleï, secr.-adj,, El Hadi ben Ammar, très, gén., M. A. Laporte, représentant de commerce",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:GERENTE,Gérente,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,assessor,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"assess., MM. Gérente, E. Loubet, L. Josse et Breuil",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:E LOUBET,E Loubet,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,assessor,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"assess., MM. Gérente, E. Loubet, L. Josse et Breuil",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:L JOSSE,L Josse,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,assessor,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"assess., MM. Gérente, E. Loubet, L. Josse et Breuil",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:BREUIL,Breuil,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,assessor,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"assess., MM. Gérente, E. Loubet, L. Josse et Breuil",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:MANVILLE,Manville,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ont été successivement présid. en premier, MM. le marquis de Manville, Bianchi et P. Normant, et présidents en second, MM. David, directeur d'école, et Inversin, employé à la Munic",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:BIANCHI,Bianchi,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ont été successivement présid. en premier, MM. le marquis de Manville, Bianchi et P. Normant, et présidents en second, MM. David, directeur d'école, et Inversin, employé à la Munic",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:P NORMANT,P Normant,,unmatched,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ont été successivement présid. en premier, MM. le marquis de Manville, Bianchi et P. Normant, et présidents en second, MM. David, directeur d'école, et Inversin, employé à la Munic",Association Amicale des Anciens Elèves du Collège Alaoui
L1912-00791,David,L1912-00791,resolved,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ont été successivement présid. en premier, MM. le marquis de Manville, Bianchi et P. Normant, et présidents en second, MM. David, directeur d'école, et Inversin, employé à la Munic",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:INVERSIN,Inversin,,ambiguous,L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,president,organisation_entry_officer_list,1892,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Ont été successivement présid. en premier, MM. le marquis de Manville, Bianchi et P. Normant, et présidents en second, MM. David, directeur d'école, et Inversin, employé à la Munic",Association Amicale des Anciens Elèves du Collège Alaoui
NAME:BRUNEL,Brunel,,unmatched,L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,president,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"MM. Maroque, prés., Brunel et Ollier, vice-prés.",Association Amicale des Employés français de l'Office Postal Tunisien
NAME:OLLIER,Ollier,,unmatched,L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,president,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"MM. Maroque, prés., Brunel et Ollier, vice-prés.",Association Amicale des Employés français de l'Office Postal Tunisien
NAME:BENTEJAC,Bentejac,,unmatched,L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,secretary,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Bentejac, secr.",Association Amicale des Employés français de l'Office Postal Tunisien
NAME:BREUIL,Breuil,,unmatched,L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,deputy_secretary,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Breuil, secr.-adj.",Association Amicale des Employés français de l'Office Postal Tunisien
NAME:MARTINI,Martini,,ambiguous_fuzzy,L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,deputy_treasurer,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Martini, trés.-adj.",Association Amicale des Employés français de l'Office Postal Tunisien
L1912-00071,Alessandri,L1912-00071,resolved,L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,president,organisation_entry_officer_list,1904,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Bourrusl, Capot, Dozeville et Fortier, administrateur. — Ont été successivement présidents : MM. Alessandri, 1904-1905",Association Amicale des Employés français de l'Office Postal Tunisien
NAME:MARCILLE,Marcille,,unmatched,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,president,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Prés.,' M. Marcille",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:BROU,Brou,,unmatched,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,vice_president,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"v.-prés., M. Brou",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
L1912-02270,Sarabusi,L1912-02270,resolved,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,secretary,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"secr.,M. Sarabusi",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:COURTADE,Courtade,,unmatched,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,board_member,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:L BLANC,L Blanc,,ambiguous,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,board_member,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:GIROD,Girod,,ambiguous_fuzzy,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,board_member,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:HAIOUNI,Haiouni,,unmatched,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,board_member,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:VERRV,Verrv,,unmatched,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,board_member,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
L1912-00405,Bost,L1912-00405,resolved,L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,board_member,organisation_entry_officer_list,1906,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost",Association Amicale des Fonctionnaires de la Direction de l'Agriculture
NAME:RAPP,Rapp,,unmatched,L1912-00148,Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne,secretary,organisation_entry_officer_list,1909,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,Rapp. secr.,Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne
NAME:SURLEAU,Surleau,,unmatched,L1912-00148,Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne,assessor,organisation_entry_officer_list,1909,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Surleau, Finnocchi, assess",Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne
NAME:FINNOCCHI,Finnocchi,,ambiguous_fuzzy,L1912-00148,Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne,assessor,organisation_entry_officer_list,1909,35,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f59.item,"Surleau, Finnocchi, assess",Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne
