entry_id,headword,sort_key,entry_type,classification_rule,segmentation_rule,page_first,page_last,view_first,view_last,n_chars,n_paragraphs,n_portraits,ocr_confidence,page_url,image_url,text
L1912-00001,ABADIE,ABADIE,person,forenames_and_life_dates,anchor_surname,1,1,25,25,430,3,1,0.8743,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABADIE (Jean), 4 sept. 1862, Blaye (Giorni.lt;). off. du Nichan-Iflikliar, ingénieur civil des Mines. 1S, avenue de Carthage, Tunis. 1"" août 19 01. Ancien chef-adjoint du Service des Mines de la Régence.Ayant obtenu un congé illimité du Ministère des Travaux publics, dirige plusieurs affaires minières à titre d'ingénieur - conseil. A publié, dans « Les Annales des Mines », une élude sur « Les feux clans les mines de houille »."
L1912-00002,ABBAS,ABBAS,place,administrative_unit,anchor_surname,1,1,25,25,170,1,0,0.917,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,ABBAS (ou ABBES). C. c. de Gafsa. Annexe et. caïdal de Tozeur. Village de l'oasis de Tozeur. Situé à 5 kil. de Toxour.Nombreux palmiers .plusieurs sources. 430 habitants.
L1912-00003,ABDELLI,ABDELLI,person,forenames_and_life_dates,anchor_surname,1,1,25,25,340,1,0,0.8711,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABDELLI (Ali), 1S40, Tunis, off. du Nichan-Iflikliar. Oukil près les tribunaux tunisiens. ETUDES : Université de la Grande Mosquée. SUCCESSIVEMENT : khalifa de Muleur (1872), khalifa de Souk-el-Khemis (1872), khalifa du Cap-Bon. de Medjez et el de Zaghouan (1874). Oukil depuis 1886. Auteur d'un ouvrage sur « La littérature arabe » (1889)."
L1912-00004,ABDELLI,ABDELLI,person,forenames_and_life_dates,anchor_surname,1,1,25,25,282,3,1,0.8947,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABDELLI (Mohamed), 1879. Oukil près les iriDunaux tunisiens, 56, r. Sidi-ben-Ârous, Tunis. ETUDES : école coranique Khald'ounia, Université de la Grande Mosquée; diplômé de la Khaldounia en 1901. A, été employé aux Habou's (1901). Oukil depuis 1903. Collaboration à la presse arabe."
L1912-00005,ABD-ES-SELEM,ABDESSELEM,place,administrative_unit,anchor_surname,1,1,25,25,101,1,0,0.92,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABD-ES-SELEM. C. c. de Tunis, caïdat de la banlieue. Propriétaires : Averso, Delsol, Solanet, Watrin."
L1912-00006,ABD UL WAHAB,ABD UL WAHAB,person,forenames_and_life_dates,anchor_surname,1,1,25,25,609,1,0,0.9451,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABD UL WAHAB (Hassen-I-Iusny), G juin 1883, Tunis, off. d'Académie, off. du. Nichan-lft-ikhar. Interprète à la Direction de l'Agriculture, du Commerce et de la Colonisation, 29, rue Abd-ul-Wahab, Tunis. Membre de la Société de Géographie Commerciale de Paris; professeur libre à la Khaldounia; membre de la Société Astronomique de France, de la Société des Etudes Ethnographiques. TRAVAUX : «La Domination musulmane en Sicile». Tunis, 1905; étude présentée au xiv Congrès des Orientalistes, Alger; plusieurs éludes et articles parus dans différents journaux français ou arabes. Lauréat des Jeux Floraux, 1903."
L1912-00007,ABEASIS,ABEASIS,person,forenames_and_life_dates,anchor_surname,1,1,25,25,320,1,0,0.9002,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABEASIS (Isaac), 10 juin 1882, Alexandrie (Egypte). Avocat au Barreau de Tunis, 5, rue Amilcar, Tunis. Août 1SS3. ETUDES : lycée Carnot et Faculté de droit d'Aix-en-Provence; bachelier es lettres; licencié en droit; diplômé au Concours de Droit international privé et public, Faculté d'Aix, juillet 1902 et juillet 1903."
L1912-00008,ABEASIS,ABEASIS,person,forenames_and_life_dates,anchor_surname,1,1,25,25,312,1,0,0.9128,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABEASIS (Moïse),24 août 1856,Alexandrie (Egypte). Avocat au Barreau de Tunis, 5, rue Amilcar, Tunis. Août 1883. ETUDES : en Italie et à Alexandrie. A été avocat au Tribunal mixte d'Alexandrie jusqu'en 1882; ensuite avocat à Tunis; à différentes reprises, secrétaire de la Chambre des avocats-défenseurs de Tunis."
L1912-00009,ABIDA,ABIDA,place,administrative_unit,anchor_surname,1,1,25,25,102,1,0,0.946,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABIDA, C. c. et caïdat du.Kef. Village à 8 k. d'Ebba-Ksour, Propr.: Bouyou, Jouaffre-, de Montgolfier."
L1912-00010,ABITA,ABITA,person,forenames_and_life_dates,anchor_surname,1,2,25,26,1263,2,1,0.9026,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f25.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f25/full/full/0/native.jpg,"ABITA (Joseph), 1"" fév. 1856,Trapani (Sicile),off. du Nichan-Iftikhar.Entrepreneurs de travaux publics et particuliers, 28. rue de Colmar, Tunis. 1-882. A été success 1 entrepreneur à Or an, A1 g e r, Constantine,Le Caire, Calcutta et Tunis. Membre titul airedu Fourneau; des Pauvres; ^secrétaire abonné de la Société des Courses; t. membre honoraire des Sapeurs - Pompiers : ■: membre donateur de la croix-verte; ac- g tioiinaire au Polileama Rossini ; membre de la Société Dante Alighieri; conseiller à la Société italienne de Bienfaisance; membre de la Société italienne de Géographie; membre de la Société des Garibaldiens ; membre de la Chambre de Commerce italienne et de la Stella d'ifalia. TRAVAUX : la municipalité de 'l'unis, la crèche, la justice de paix de Souk-el-Arba, l'église grecque de Tunis, l'église de Nabeul, la bourse du commerce, une trentaine de grandes maisons de rapport, dont les plus importantes sont : rue Es-Sadikia, maison Piquart, maison de la Société Grenobloise, maison Bruno el maison Cohen; rue d'Angleterre, maison Moreno ; avenue .'Iules-Ferry, maison Baron; rue Thiers, trois maisons Abifa; rue de Naples, trois maisons Abita ; trente villas à Tunis, l'hôtel de la « Dépêche Tunisienne » et autres travaux de transformation."
L1912-00011,ABRIBAT,ABRIBAT,person,forenames_and_life_dates,anchor_surname,2,2,26,26,1096,2,1,0.9163,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f26.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f26/full/full/0/native.jpg,"ABRIBAT (Jules-Bernard) ,5 sepl.1858, Blida' (Algérie), chev. de la Légion d'honneur.off.de l'Instruction publique, commandeur du Nichan-Iftikhar, Médaille coloniale avec agrafe «Tunisie». Interprète judiciaire près le Tribunal civil d e Tunis. Quartier SansSouci,Tunis ,14 août 1881. ETUD E s : Collège Saint - Charles de Blida; licencié en droit; officier-interprète de 1"" classe de reserve cie i armée a Airique. SUCCESS' : officier-interprète de l'armée d'Afrique en Algérie el en Tunisie; interprète judiciaire el juge de paix suppléant à Sousse ; interprète judiciaire à Tunis ; ancien membre de la Commission scolaire de Sousse; membre de la Commission d'examens pour les diplômes d'arabe et l'emploi d'interprète judiciaire. TRAVAUX : Traduction el annotation du « Recueil de notions de droit riiusulman du Cheikh Eltouati», 1896; «Essai sur. les contrats de quasi-aliénation et de location perpétuelle auxquels l'institution du habous a donné naissance», 1902; « Quelques notes sur les règles du savoir-vivre dans la bonne société musulmane», 1906. A pris part à l'expédition de Tunisie."
L1912-00012,Abricotier,ABRICOTIER,topic,residual,alphabetical_window,2,2,26,26,335,1,0,0.9492,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f26.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f26/full/full/0/native.jpg,"Abricotier. L'abricotier tunisien est cultivé surtout dans la région du CapBon. Le prix de l'abricot, à la pièce, varie de 4 à 6 fr. le cent et, au poids, vaut de 0 fr. 20 à 0 fr. 30 le kilo. La meilleure variété indigène est le « chechi ». On commence à propager certaines variétés européennes qui donnent des résultats encourageants."
L1912-00013,ACCARA,ACCARA,place,administrative_unit,anchor_surname,2,2,26,26,421,1,0,0.9802,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f26.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f26/full/full/0/native.jpg,"ACCARA. Territoire militaire, ann.de Zarzis, caïdat des Ouerghamma. Une des quatre tribus formant l'importante confédération des Ouerghamma. Cette tribu n'est presque plus nomade et s'adonne à la pêche des éponges pendant cinq mois de l'année el à la culture des céréales le long du littoral et de la frontière, dans d'excellents terrains. La tribu des Accara, dont la population est d'environ 7.000 personnes, est riche."
L1912-00014,Achour,ACHOUR,topic,residual,alphabetical_window,2,3,26,27,2538,5,0,0.9507,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f26.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f26/full/full/0/native.jpg,"Achour (littéralement : impôt du dixième). Impôt sur les cultures de céréales (blé et orge). Cette sorte de dîme, d'institution coranique,est acquittée par les Européens et les indigènes. L'achour est perçu à des taux différents suivant qu'il concerne des cultures faites dans les pays dits d'achour en nature ou de ceux dits d'achour en argent. Dans les pays d'achour en nature, l'imposition est fixé chaque année par décret beylical,suivant les cours des marchés; dans les pays d'achour en argent, elle est de trente francs la môchia uniformément. La méchia. est évaluée à forfait à dix' hectares. La quotité de l'impôt est de quatre hectares par méchia complète de blé ou d'orge. Les Européens et les indigènes cultivant la charrue française sont exonérés des 9/10"" du principal de l'impôt (décret du 31 mai 189S)et des accessoires (décret, du 2S déc. 1900); pour obtenir celte réduction, ils doivent adresser à la Direction des Finances, chaque année, avant le 16 mars, une déclaration spéciale déposée dans les bureaux des Contrôleurs civils.Des commissions nommées par le Directeur des Finances et contrôlées par ses délégués (contrôleurs d'achour) parcourant la Tunisie pour effectuer le recensement des cultures imposables. Des demandes de dégrèvement sont admises si les semailles n'ont pas poussé ou si elles ont poussé ou si elles ont poussé sans produire d'épis; elles doivent alors être formulés dans la. quinzaine qui précède la moisson; ou également si les récoltes ont été détruites par l'incendie,. les pluies torrentielles, la grêle ou les sauterelles; les demandes doivent alors ©tre formulées - dans la quinzaine qui suit l'accident. Des modifications viennent d'être apportées au régime de l'achour : un décret du 31 déc. 1909 unifie le régime fiscal des cultures de céréales. L'impôt achour est maintenant perçu uniformément dans toute la Régence d'après les tarifs actuels de l'achour en nature en principal et en accessoires. Il n'est rien innové aux dispositions du décret du 28 déc. 1900 relativement aux cultures faites à la charrue française. ACatlAVIVA (,ïean-Batiste).1859,Corse. chev. du Mérite agricole. Propriétaire à. Oued-Zergua, 35, rue . Es-Sadikia, Tunis. Membre de la Conférence Consultative (1"" Col., 5' circonscription), élu en 1909. Membre de la Chambre d'Agriculture depuis 189S. « Action Française » (L1), journal radical-socialiste. Mars 1907. Tunis,17,rue de Portugal. Pierre Omessa, directeur statutaire. Prépondérance des intérêts français dans la Régence.A cessé de paraître fin juin 1908."
L1912-00015,Adala,ADALA,topic,residual,alphabetical_window,3,3,27,27,1079,2,0,0.9709,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"Adala. Nom donné aux actes dressés sur papier timbré par les notaires indigènes ou « adoul ». Ces actes portent au bas le paraphe et le nom du ou des notaires instrumentaires. Certains,comme les actes de décès, de naissance, d'établissement de droits de propriété par commune renommée et autres actes de notoriété, ne sont dressés que par un seul notaire et ne porte par suite qu'un paraphe. Ces actes de notoriété doivent être autorisés par le Charâ et porter en tête et au bas l'empreinte du sceau du magistrat de ce tribunal.Les actes mentionnant une transaction commerciale quelconque,vente, achat, donation,prêt, etc., doivent être dressés par deux notaires. Pour ce dernier cas, l'empreinte du sceau du magistrat n'est pas nécessaire, sauf pour les orphelins, mineurs, insensés, prodigues, etc. Les adala sont utiles aux colons européens qui procèdent à des a.cquisitions de terrains ou autres transactions; elles seules peuvent justifier devant les tribunaux de l'authenticité de ces transactions. Leur coût est fixé par le décret, beylical du 26 sfar 1304 (24 nov. 1886)."
L1912-00016,ADANSON,ADANSON,person,forenames_and_life_dates,anchor_surname,3,3,27,27,197,1,0,0.8638,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"ADANSON (Jean-Baptiste), 1765, La Seyde. Débuta dans les consulats en 1775; interprète à Alexandrie en 1776 ; mission au Caire en 1780; drogmanchancelier à. Tunis en 1786. Mort- à Tunis en l'an xn."
L1912-00017,ADDA,ADDA,person,forenames_and_life_dates,anchor_surname,3,3,27,27,466,1,0,0.9301,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"ADDA (Daniel), 4 janvier 1865, Constantine (Algérie),off.du Nichan-Iftikhar. off. d'Acad. D'-médecin, 25, av. de Paris, Tunis. Avril 1896. ETUDES : lycée de Constantine; Faculté de Médecine de Paris et de Bordeaux; médecin-major de 2? classe de réserve. TRAVAUX : a fondé, avec la collaboration de son frère, M. le docteur Adda, l'Institut Electro-Médical de Tunis, sur le modèle des grandes cliniques de Paris. Etude sur « Les paralysies localisées dans l'Urémie »."
L1912-00018,ADDA,ADDA,person,forenames_and_life_dates,anchor_surname,3,3,27,27,549,1,0,0.9383,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"ADDA (Meyer), 31 déc. 1878, Constantine (Algérie). Docteur-médecin, 25, avenue de Paris, Tunis. Février 1907. ETUDES : lycée de Constantine; Facultés de médecine et des sciences de Bordeaux; externe des hôpitaux de Bordeaux; lauréat de la Faculté de Médecine; médecin colonial de l'Université de Bordeaux; médecin sanitaire maritime; médecin aidé-major de 2* classe ; ancien aide de clinique de M. le professeui Bergoiné, de la Faculté de Bordeaux. Dirige avec son frère, M. le docteur D. Adda, l'Institut Electro-Médical de Tunis. Adel. V. notaire."
L1912-00019,ADJIM,ADJIM,place,administrative_unit,anchor_surname,3,3,27,27,426,1,0,0.9768,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"ADJIM. C. c. de Gabès, ann. de Djerba, caïdat de l'Arad. Port (feu vert fixe), à 23 kil. sud-ouest d'Houmt-Souk, sur le chenal mettant en communication le golfe de Gabès et la mer de Bou-Grara. Poste de douanes; école laïque mixte; marché le mercredi. POPUL. :une trentaine d'Européens, dont une dizaine de Français. Les indigènes, presque tous pêcheurs et marins,sont dispersés dans les environs. Fabriques de tissus (laine)."
