entry_id,organisation_name,founded_raw,founded_year,seat_raw,city,n_members_stated,purpose_raw,activities_raw,organisation_kinds,organisation_kind_primary,n_chars,page_first,ocr_confidence
L1912-00084,Alliance Israélite,1878,1878,,Tunis,,,,religious,religious,752,10,0.948
L1912-00085,Alliance Sportive,,,,,,,,chamber_public_body;sport_leisure,chamber_public_body,622,10,0.9175
L1912-00137,Assistance judiciaire,28 sept. 1896,1896,,,,,,,,417,32,0.9552
L1912-00139,Assistance Mutuelle Tunisienne,"1"" juillet 1901",1901,,Tunis,2900,,,mutual_aid,mutual_aid,3793,32,0.9541
L1912-00141,Association Agricole de la Tunisie,4 juillet 1907,1907,,Tunis,,,,mutual_aid;chamber_public_body;learned_society;sport_leisure;agricultural_economic,mutual_aid,3859,34,0.9686
L1912-00142,Association Agricole de Takelsa,23 avril 1908,1908,domicile du président,,,"étude et défense des intérêts communs. Vingtcinq membres à la fondation. MM. A. Lebucher, prés.; G. Lecollier et P. Ber- nard, v.-prés.; Mattou, secr.; Surleau, secr. adj.; A. Amy, très.",,agricultural_economic,agricultural_economic,296,34,0.9266
L1912-00143,Association Amicale des Anciens Elèves de l'Alliance Israélite,1899,1899,,Tunis,,,,professional_union;alumni;religious,professional_union,756,35,0.9486
L1912-00144,Association Amicale des Anciens Elèves de l'Ecole d'Agriculture Coloniale de Tunis,1.904,1904,"2, rue d'Angleterre, Tunis",Tunis,146,"être utile aux anciens élèves de l'Ecole d'Agriculture en facilitifant leur installation comme propriétaires, fermiers ou gérants; contribuer à l'instruction cle ses membres et au maintien des liens cle camaraderie. 146 membres. Médailles de bronze à l'Exposition de Marseille (1906), d'argent à, celles de Nogent-sur-Ma.rne (1.907) el Souk-el-Arba (1910). MM. Gounol,.prés.; Delaporfe, v,-prôs.; Ballleau, très.; Souiivel, secr.; Cornet, Dela.noue, Renoux, Tronche, assess. ; Présidentdes Elèves, secrétaire adjoint. M. Gounot esl, président depuis la. fondation. L'Association a publié des annuaire",,professional_union;learned_society;alumni;agricultural_economic,professional_union,933,35,0.9313
L1912-00145,Association Amicale des Anciens Elèves du Collège Alaoui,1892,1892,domicile du Président,,180,"1* entretenir et développer entre ses adhérents les sentiments de cordialité et les liens cle camaraderie qui ont pris naissance au Collège; 2° exercer un patronage efficace, à la sortie du Collège, sur les élèves qui en auraient besoin, afin de leur rendre plus facile le choix ou leurs débuts dans la carrière adoptée; 3° encourager les élèves du Collège Alaoui par des prix annuels. 180 membres. Prés, d'honn.. M.Alapelite, résident général de la République Française à Tu-, nis, et M. Charléty, directeur général de l'Enseignement en Tunisie; v.-prés. d'hon., M. Buisson, directeur de l'Enseignem",,professional_union;learned_society;sport_leisure;alumni,professional_union,1936,35,0.9548
L1912-00146,Association Amicale des Employés français de l'Office Postal Tunisien,1904,1904,,Tunis,324,"resserrer les liens de camaraderie et développer les sentiments de solidarité qui doivent exister entre les fonctionnaires de la même administration. Membres perpétuels, 8; honoraire, 26; actifs, 288; agrégés, 2. Total : 324 membres. MM. Maroque, prés., Brunel et Ollier, vice-prés.; Bentejac, secr.; Breuil, secr.-adj.; Roecklin, très.; Martini, trés.-adj.; Stefani, arch.; Bourrusl, Capot, Dozeville et Fortier, administrateur. — Ont été successivement présidents : MM. Alessandri, 1904-1905; Filippi, 19051906; Chardavoihe, 1906-1909, et Brunel. 1909-1910.",,professional_union;sport_leisure,professional_union,658,35,0.8828
L1912-00147,Association Amicale des Fonctionnaires de la Direction de l'Agriculture,15 nov. 1906,1906,Direction de l'Agriculture,,104,"1° créer ou développer entre ses membres des sentiments cle solidarité et de camaraderie; 2° travailler à la défense des intérêts moraux, et matériels de tous ses membres. 104 membres. Prés.,' M. Marcille; v.-prés., M. Brou; secr.,M. Sarabusi; très., M. Nurrl; membres du bureau, MM. Courtade, L. Blanc, Girod, Haiouni et Verrv. président en 1907, M. Bost; en 1908, M. Isaac; en 1909, M. Gauvry; en 1910, M. Bost.",,professional_union;sport_leisure,professional_union,592,35,0.9224
L1912-00148,Association Amicale dès Fonctionnaires de l'Administration Centrale de l'Armée Tunisienne,14 mars 1909,1909,"«Tunis-Hôtel», ru ed'Italie",Tunis,15,"défense des intérêts moraux et matériels de smembres de l'Association. 15 membres. MM. Danton, pré.; banos, v.- prés.; Hopp, très.; Rapp. secr.; Surleau, Finnocchi, assess. Ancien président, M. Gamet.",,,,362,35,0.9128
L1912-00149,Association Amicale des Ingénieurs Agronomes,1S79,1879,"à Paris, 16, rue Claude-Bernard (V)",,1500,"entretenir et développer entre les anciens élèves les relations déjà existantes; 2° concourir à l'étude des sciences appliquées à l'agriculture en aidant à publier les travaux de ses membres. L'Association compte 1.500 membres; le groupe de 'Punis 25 : MM. Barrion, Berlaincliant, Chovelon, Clérino, Coupin J.-B., Coupin A., Drappier, Gauvry, Hauser' inanii, Laverdet, Malet, Metzinger, Obert, Rolland, Uzan, de Vaumas, Verry, Vullier etc. Prés., M. Gustave Rolland, vice-président, M. W. de Vaumas; secrétaire, M. Coupin. Anciens présidents : MM. Berlainchand, Malet, Coupin J.-B., Barrion.","publication mensuelle d'un Bulletin ; publication d'une encyclopédie agricole, etc. Nombreux travaux particuliers des membres.",professional_union;learned_society;sport_leisure;alumni;agricultural_economic,professional_union,1031,36,0.9374
