entry_id,organisation_name,founded_raw,founded_year,seat_raw,city,n_members_stated,purpose_raw,activities_raw,organisation_kinds,organisation_kind_primary,n_chars,page_first,ocr_confidence
L1912-00150,Association Amicale des Membres de l'Enseignement Primaire de Tunisie,27 nov. 1904,1904,Hôtel des Sociétés françaises (salle de la Ligue cle l'Enseignement),,606,"1° créer el entretenir entre ses membres un lien réel de sympathie; développer chez eux des sentiments de solidarité et faciliter l'échange cle leurs vues en matière d'éducation et d'enseignement; 2° travailler à la défense des intérêts moraux et matériels de tous ses membres; 3° s'intéresser, avec la plus vive sollicitude, aux instituteurs appelés sous les drapeaux. 606 membres. Médailles cle bronze à l'Exposition coloniale de Marseille en 1906. Présid., M. Chamboncel .! er. nand), v.-prés., M""' Mathieu, v.-prés . M. Débart; secr., MM. Joly, Louys et Candille, M""* Mouroux; très., MM. Alis cl ",,professional_union;learned_society;sport_leisure,professional_union,929,36,0.922
L1912-00151,Association Amicale des Professeurs et Répétiteurs de l'Enseignement Secondaire en Tunisie,11 févr. 190S,1908,,Tunis,40,"1° élude des questions et réformes, pédagogiques; 2° étude des améliorations morales et matérielles concernant la - situation de tous ses membres. 40 membres. M. Lubac, profess. au Lycée Carnot, prés.; M"""" Pouget, maîtresse chargée des cours à l'école Jules-Ferry, et M. Pauthier, professeur au Lycée Carnot, v.-prés., M. Girard, professeur au Lycée Carnot, 1res. Ane. prés. : MM. Langlois Palou et Vincent.",,professional_union,professional_union,539,36,0.9459
L1912-00152,Association Commerciale et Industrielle ae ia nctjenec ue Tunis,,,,Tunis,,,,professional_union;chamber_public_body;agricultural_economic,professional_union,3438,36,0.9368
L1912-00153,Association Coopérative des Colons d'Aïn-el-Asker et de Bir-M'cherga,1900,1900,Bir-M'cherga,,52,,,agricultural_economic,agricultural_economic,763,37,0.9516
L1912-00154,Association des Anciens Elèves du Collège Sadiki,24 déc. 1905,1905,,Tunis,150,"1° créer des liens cle bonne camaraderie et d'affectueuse selidorilé entre les anciens élèves clu Collège Sadiki; 2° leur permettre de s'entr'aider et de se conseiller mutuellement; 3° encourager les élèves du Collège el les aider, à leur sortie, dans la. recherche d'une situation; 4° répandre el vulgariser clans le monde indigène les notions indispensables de sciences modernes. 150 membres actifs (anciens élèves du Collège Sadiki), 100 membres adhérents (toutes autres personnes sans distinction de nafionlité); total : 250 ni e m b r e s. Bureau : MM'. Kliairaîlah. prés.; Amor Bouhageb, v.- pr",,mutual_aid;learned_society;alumni;agricultural_economic,mutual_aid,1556,37,0.9472
L1912-00155,Association des Colons Français de Béja,Janv. 1901,1901,,Béja,,"grouper en commun tous les efforts individuels pour la défense des intérêts généraux de la région. L'Association a pris une part des plus actives au Concours agricole de Béja, patronné diverses manifestations sociales fort intéressantes. Sous la vigoureuse impulsion de MM. Carrier et Faure-Dère, par des banquets, des réunions et grâce au concours de la presse, elle a nettement établi la possibilité certaine cle réussite de la petite colonisation dans le' milieu si favorable de Bèja. De nombreux exemples témoignent en sa faveur à l'heure actuelle. Elle tend maintenant à. favoriser les diverses ",,agricultural_economic,agricultural_economic,1094,37,0.9726
L1912-00156,Association des colons français de lardin-Miliane,1909,1909,,,,,,agricultural_economic,agricultural_economic,290,37,0.9053
L1912-00157,Association des Colons Français de Massicault,16 déc. 1906,1906,,,30,"j favoriser le développement économique de la région de Massicault. 30 membres. MM. Gilles, prés.; Martinier, v.-prés.; Sander,secr.-trés.; Mesclou et Charrion, assesseurs.",,sport_leisure;agricultural_economic,sport_leisure,251,37,0.9416
L1912-00158,Association des Colons Français des Nefza,Octobre 1907,1907,,,28,"solidarité et attirer l'attention publique sur une région de premier ordre, d'un charme tout particulier grâce â ses sources innombrables et à ses forêts remarquables. 28 membres. MM. Faure-Dère, prés.; X..., v.-prés.; Leroy, secr. L'Association des Nefza est en grande majorité composée d'éleveurs. Ce grouI pement, représentant une des régions les plus fertiles et magnifiquement boisée (chênes, frêne, etc.), défend des intérêts spéciaux dans la Tunisie : élevage des poneys, porcs, industrie forestière, etc. La route et le chemin cle fer de TabarcaMateur viendrait grossir les intérêts régionaux",,agricultural_economic,agricultural_economic,782,37,0.9662
L1912-00159,Association des Comptables,5 février 1906,1906,,Tunis,,"relèvement du niveau comptable; diffusion et perfectionnement de la science comptable; renseigner ses adhérents sur les emplois ou travaux, comptables qui parviendraient à sa connaissance; fournir au commerce, à l'industrie, à la finance et aux administrations cle bons comptables dont la moralité et les capacités professionnelles soient irréprochables; entourer l'exercice de la profession comptable de toutes les garanties désirables au point de vue de la capacité, de l'intégrité et cle la moralité des comptables. MM. F.-J. Relier, prés.; Battesti el Scialom, vi-prés.; E.Lumbroso, secr.; E. Bou",cours gratuits cle comptabilité. Conférences professionnelles. Cette Association s'est placée sous le patronage des Chambres cle Commerce française et italienne et cle la Chambre d'Agriculture.,chamber_public_body;national_community,chamber_public_body,976,38,0.9711
L1912-00160,Association des Elèves des Ecoles d'Agriculture en Tunisie,13 juillet 1902,1902,Hôtel des Sociétés françaises,,50,"études intéressant l'agriculture tunisienne. 50 membres. Prés-.,■-M. Wartelle; v.-prés., M. Barrion; secr. gén., M. Boeuf; secr.- adj., M. Laverdet; très., M. Ferraud. Le môme Président dirige la. Société depuis la fondation. 1° sauvegarde des intérêts de ses membres, amélioration matérielle et morale ; 2° secours à accorder aux familles des sociétaires décodés. 95. membres en Tunisie. Prés., M. Roy; v.-prés., M. Chausse; secr., M. Lamorre; très., M. Bouchez: MM. Houette, Layés, Béziers, Poulain, Aussenac, Lanenaud, Bories, Barthélémy, Chevreux, Thunos, Sochet, assess. seurs. 1° étude en commu","publication d'un Bulletin annuel reproduisant exclusivement les travaux des membres de l'Association. Association des Personnels des Travaux publics de France et des Colonies iSection de Tunisie). 1905. indépendamment cle voeux divers tendant à. obtenir une amélioration de la situation matérielle et morale de ses membres, la Section a collaboré avec l'Amicale de Tunisie à la préparation d'un projet de réglementalion générale concernant le personnel des Travaux publics en Tunisie. Ancien président : Aï. Houette. Association du Personnel Français des réseaux tunisiens de la Compagnie des Chemins",mutual_aid;chamber_public_body;learned_society;sport_leisure;agricultural_economic,mutual_aid,2608,38,0.9451
L1912-00161,Associazione délia stampa italiane in Tunisi,mai 1911,1911,,Tunis,,,,,,266,38,0.9414
L1912-00162,Associazione fra gli Antichi Alievi délie Scuole Italiane in Tunisi,1902,1902,,Tunis,,"conserver des sentiments de solidarité entre les élèves des écoles laïques italiennes, venir en aide à ceux qui sont dans la gêne, leur procurer une situation et des secours. Elle a deux institutions filiales : Bourse scolaire et Colonie marine; celle-ci envoie tous les ans 60 enfants chôlifs aux bains cle mer. Bureau: prés, d'honn., M. le comm. Bottesini; prés., Al. Cesàre Trionfo; v.-prés., A1M. le prof. Stefano Caialanotti el Umberto Bensasson; secr., M. F. Bauselli; vice - secrétaire : Maurizio Lumbroso; très., Al. G. cli M. Sauges; conseillers: MAL A. Gagliardo, Alario Vais, Werlemberg, A","elle a décerné à. un ancien maître d'école, Al. R. Luisada, une médaille d'or; une médaille commémorative en l'honneur cle Giuseppe Ayra, ancien professeur à Tunis, fut placée par ses soins dans une des salles clu Collège Italien. Nombre d'adhérents : 350.",learned_society;national_community,learned_society,1051,38,0.9186
L1912-00163,Association générale des Etudiants de Tunisie,21 janv. 1907,1907,,Tunis,,"Grouper les étudiants de Tunisie et leur faciliter leurs études. Les moyens d'action sont : 1° les conférences; 2° les cours professés au siège social; 3° les discussions juridiques; 4° la bibliothèque; 5° le Bulletin qui met au courant les membres de l'A. G. E. T. de ce qui se passe en France. Membres act.: 75. Memb. honor.: 100. Membres d'honn: .15. Memb. fond.: 10. Membres donat.: 10. Prés., M. Léonce Daliot; v.-prés., MAI. Charles Piétra, Edmond Delordç secr.- gén. fond.. M. Théodore Va.lensi; trôs.- gén., Al. Charles Saint-Paul de'Bajet; trés.-adj., M. Edmond Boccara; commiss., MAI. J. Bi",exposition des oeuvres du peintre impressionniste René Pirola; exposition des oeuvres des collaborateurs du «Scorpion»; exposition du peintre Afillou.,learned_society,learned_society,1204,39,0.93
L1912-00164,Association générale du Personnel Français de l'Office postal tunisien,17 juin 1905,1905,,Tunis,581,"créer et entretenir entre ses membres un lien réel de sympathie el développer chez eux des sentiments cle solidarité; étudier dans un sens conforme aux intérêts clu public, cle l'Administration et du personnel toute réforme ou innovation se rattachant nu service postal; travailler à la. doreuse des intérêts moraux et matériels de tons ses membres. 581 membres actifs. MM. Carbonnel, prés.; Lepidi, v.-prés.; Aurange, secr.; Ansidei, secr. adj.; Renaud, très.; Mazoyer, trésorier-a.dj. Ane. prés. : MM. Robert, Aubry, Ga.yral, Aubry et Bltaubô.","rapports et 'éludes sur questions si; rattachant, au Service des Postes et îles Télégraphes; publication dès le début d'un bulletin trimestriel.",sport_leisure,sport_leisure,799,39,0.957
L1912-00165,Associazione Patriottica Italia di Mutua Soccorso fra gli Opérai in Tunisi,1863,1863,,Tunis,400,"l'union el la. fraternité, tout en maintenant et développant les sentiments cle nationalité ainsi que les principes des secours mutuels tant matériels que moraux. La. section des hommes comprend 400 sociétaires inscrits, dont 300 sont actifs, et une section de femmes composée de 120 sociétaires. En 1898, à. l'Exposition de Turin, cette Société a obtenu une médaille d'or pour ses oeuvres cle bienfaisance. Bureau : prés., M. le cav. Uff. Girolamo Vignale; v.-prés., M. Afineo Paolo et Al. Flilippo Losardo; secr., M. Petrucci Alberto; vicesecr., M. Erice Miliani; très., Al. G. Ramella; conseillers",,mutual_aid;sport_leisure,mutual_aid,1207,39,0.9146
L1912-00166,Association sténo graphique unitaire,20 octobre 1897,1897,,Tunis,19,"Vulgariser la sténographie et former des employés sténo-dactylographes pour le commerce et l'industrie. 19 membres. A1A1. Vilatte L.-E., prés.;' Caleca Nonce, v.-prés.; très., Habis Jacques; secr., Lévy David; assesseurs, Semama, Habib Nessim, Touki Ange"". M. Villate est président depuis la fondation du groupe.",a fourni des employés dactylographes à diverses maisons.,,,508,39,0.9467
L1912-00167,Associazione Tunisina délia Stampa Italiana,20 mai 1911,1911,,Tunis,30,,,national_community,national_community,486,39,0.9115
L1912-00223,Banques,,,,,,,,national_community;agricultural_economic,national_community,492,47,0.9788
L1912-00224,Banque de l'Algérie,,,,Tunis,,,,,,199,47,0.9442
L1912-00225,Banque Commerciale Tunisienne,,,,Tunis,,,,,,139,47,0.9473
L1912-00226,Banque Franco-Tunisienne de Prêts mobiliers et Mont-de-Piété de Tunisie,,,,Tunis,,,,,,122,47,0.9735
L1912-00227,Banque de Tunisie,,,,Tunis,,,,,,200,47,0.9364
L1912-00382,BONARDI,17 août 1870,1870,,Tunis,,,,learned_society,learned_society,259,68,0.8903
L1912-00464,BROU,1859,1859,,Tunis,,,,professional_union,professional_union,244,77,0.9497
L1912-00469,BRUNET,16 mai 1877,1877,,Tunis,,,,chamber_public_body;learned_society;agricultural_economic,chamber_public_body,1367,78,0.9472
L1912-00483,Cadets de Gascogne,12 fév. 1899,1899,,Tunis,120,"1° secourir les compatriotes malheureux; 2° donner des renseignements utiles et désintéressés concernant, la Tunisie; 3° entretenir par des réunions amicales l'esprit d'union et, la bonne humeur des méridionaux; 4° créer un fonds de prévoyance et de réserve. 120 membres. Prés, (depuis la fondation), Al. le D' Bastide; v.-prés. A1M. Martin, Delmas, Proust, Faure-Dère et Blat; archiviste, M. B. Duclos; secr, général, Al. le D' Rouquié; secr.-adj., Al. le Dr Vaquier; très., M. Bariteaud; trés.-adj., M. Aspergés; assess., MM. Lasserand',Dubourg,Barthe- rolte, Thuillier, DT Cadiergues, Samaran, Cou",,,,3968,81,0.966
L1912-00490,Caisse Agricole Coopérative d'Aïn-elAsker,9 oct. 1904,1904,,,36,"Prêts agricoles pour une durée de trois mois à cinq ans. Maximum 5.000 fr. Toutes opérations de crédit mutuel agricole. 36 membres. Dix membres fondateurs : MAI. de la Casinière, Houde, Mabilon, Mercier, de Alory, Obert Edouard, Obert Lucien, Rousseaux, Vinvent, Volet. MM. Houde, prés.; de là Casinière, v.-prés. lion""; Mabilon, v.-prés.; Le Vacon, secr.; J. Mabilon, tr. Conseil cle surveillance : MM. Le Vacon, Muzart, Volet. Administrateurs : MM. Houde, 'Mabilon, Jerù. Prêts consentis :1"" 'année, 24.162 fr.; 2"" année, 50.353 fr.; 3* année, 44,369 fr. 15. Fonds de réserve au 31 déc. 1907, 966 f",,chamber_public_body;agricultural_economic,chamber_public_body,867,84,0.9001
L1912-00491,Caisse Régionale de Crédit Mutuel Agricole du Nord de la Régence,10 nov. 1905,1905,,Tunis,482,,,chamber_public_body;learned_society;agricultural_economic,chamber_public_body,2220,84,0.9448
L1912-00548,Cercle Civil Français de Gabès,1897,1897,,Gabès,60,"créer un endroit de réunion pour resserr-îr et entretenir les liens d'amitié qui doivent unir constamment tous les Français; faciliter leurs relations et les ôévelopper, contribuer à leur prospérité en plaçant ou aidant ceux qui viendraient à tomber dans la nécessité, et enfin secourir .es Français malheureux. 60 membres. Prés, d'honn.: M. dé.GourJet, contrôleur ci vil; prés lion., M. Bonette; prés., M. Dabrigeon; v.-prés. M. Albert; secr., M. Malfilâtre; très., M. Laitang; assess., MM. Albertini, Laurent et Maubé.",,sport_leisure,sport_leisure,565,100,0.9321
L1912-00549,Cercle du Casino,,,,Tunis,,,,,,103,100,0.976
L1912-00550,Cercle d'Escrime Français,30 avril 1S99,1899,,Tunis,,"dé\eloppemenl du goût de l'escrime par des leçons, des assauts, des fêtes et tous autres moyens que le Comité directeur trouvera bon de mettre en pratique. en s'inspirant des désirs des sociétaires, des circonstances particulières et de la situalion financière du Cercle. Pi es. d'honn. M. le Résident Général : MM. le baron Fleury, prés.; Dr Lemanski et X..., v.- prés.; Baizeau, secr.; de Combes, secr.- adj.; Beyna, très.; Boissonnas et Geofl'roy-Sainfe-J-Jilaire, commiss. M. le baron Fleury est président depuis sa fondation.",,,,603,100,0.9278
L1912-00552,Cercle International «L'Union»,1895,1895,,Monastir,43,"maintenir l'esniït de concorde entre les diverses nationalités. 43 membres. Prés., M. le D' Sbrana; v.-prés., M. C. Diaeono; secr.-lrés., M. Ugo Debono; commiss., MM. R. Sa.cuto et Mohamed Mubrouk. Ane. prés., MM'.' Gabriel Médina, Victor Sacuto, S. Barush. Dpuis quelque temps ci. y do-ine des conférences mensuelles, sous le patronage du Sous-Comité de la Dante Alighieri.",,,,453,100,0.9082
L1912-00554,Cercle du Progrès,,,,Tunis,,,,,,147,100,0.8907
L1912-00556,Cercle Tunisien,24'janv. 190S,1908,,Tunis,70,"étude des questions économiques intéressant les indigènes. 70 membres. MM. Abcl. Zaouche, prés.; H. Bou Hadjeb, v.-prés.; Haïouni Aziz, secr.; Mohammed Lasrani, très.; Ïîach-Hamba, Hassen Guellaty, Khaïrallah et Abdesselem Zaouche, commiss.",,agricultural_economic,agricultural_economic,304,100,0.9139
L1912-00557,Cercle de l'Union,Janvier 1910,1910,,,,"étude en commun des questions économiques et sociales intéressant la Tunisie et plus particulièrementTes Israélites tunisiens. MM. Smaja, prés.; ,T. Bismuth, très.; J. Attal, secr.; H. Brami, F. Cohen,' S. Tanugi, J. Gabison, F. Sfez, administ.",,religious;agricultural_economic,religious,283,100,0.9401
L1912-00578,Chambre d'Agriculture du Nord,27 mai 1895,1895,,Tunis,15,,,chamber_public_body;agricultural_economic,chamber_public_body,2880,103,0.9439
L1912-00580,Chambre de Commerce Britannique,25 sept. 1899,1899,,Tunis,,,,chamber_public_body,chamber_public_body,322,103,0.9433
L1912-00581,Chambre de Commerce Italienne,21 déc. 18S4,1884,,Tunis,320,"favoriser le commerce entre l'Italie et la Tunisie et le développement industriel et commercial de la Colonie italienne de Tunis. 320 membres. Prés, d'honn., M. le Consul général d'Italie; MM. G. Atlia, prés.; S. Canino et Luigi Rey, v.-prés.; V. Boccara secr.; V. Beroïheimer, sec.-adj.; Di Vittorio, très.; Fiorentino, Alfred Coen, Costantino, Elie Guttières, Faldini, memb. Ane. prés.; MM. Peluffo, Giuseppe Gnecco, Raffaello Moreno, Giacomo Cesana.",,chamber_public_body;sport_leisure;national_community,chamber_public_body,571,103,0.9319
L1912-00582,Chambre de Commerce de Tunis,23 juin 1S85,1885,,Tunis,12,,,chamber_public_body,chamber_public_body,2705,103,0.9371
L1912-00583,Chambre mixte du Centre,1892,1892,,Sousse,12,,,chamber_public_body,chamber_public_body,863,104,0.8989
L1912-00616,Cheikh El-Islam,,,,,,,,,,72,111,0.961
L1912-00617,Cheikh El-Medina,,,,Tunis,,,,chamber_public_body,chamber_public_body,192,111,0.9792
L1912-00664,Club Nautique,,,,Tunis,,,,sport_leisure,sport_leisure,430,119,0.9581
L1912-00686,Comité d'Action Républicaine aux Colonies,Mars 1907,1907,,Béja,,,,,,185,123,0.9246
L1912-00687,Comité d'Action Républicaine aux Colonies,,,,Tunis,,,,,,328,123,0.9643
L1912-00688,Comité d'hivernage de Tunis et de la Tunisie,1902,1902,,Tunis,,"faciliter aux étrangers leur séjour et leurs excursions en mettant gratuitement a. leur disposition tous les renseignements qui peuvent leur être utiles sur Tunis (fournisseurs, logements, villas dans les environs de Tunis et dans les stations climatériques,voitures, monuments, ressources diverses, etc.), et sur les excursions en Tunisie (itinéraires, moyens de transport, hôtels, guides, etc.).",,masonic,masonic,514,123,0.9669
L1912-00689,Comité directeur,,,,,,,,,,366,123,0.9119
L1912-00690,Comité d'initiative du N.-O,,,,Souk-el-Arba,,"Développer le tourisme clans le N.-O tunisien, qui qui renferme les belles el célèbres ruines de Bulla Regia., Chemtou, Thuburnic et Hammam-Ouled-Ali, les sites magnifiques .de la, Kroumirie, du Feïdja et du Rhdrra. Le Comité a. publié une magnifique affiches en couleurs et. un guide illustré; il donne aux personnes qui s'adressent à. son président ou au secrétaire général tous les renseignements nécessaires pour visiter la région. Le Comité s'intéresse, en outre, à tout ce qui peut contribuer au développement el, a. la. prospérité du pays. Bureau : M. le D' Carton, correspondant de l'Institut",,learned_society;sport_leisure,learned_society,860,123,0.9547
L1912-00691,Comité local de l'Orphelinat de l'Enseignement primaire de France,21 fév. 1886,1886,,Tunis,,"Recueillir, élever et instruire les orphelins des deux sexes, enfants des instituteurs de France, jusqu'à l'âge de quinze ans. Membres de l'Orphelinat : 33.060. En Tunisie, en 1907, 425 instituteurs, institutrices ou conjoints. Président en France: M. Mézières, de l'Académie Française, sénateur.En Tunisie : MM.Baille, prés.; Duffau, secr.; Veyrier, très.; Canton, Guillot, Combaz, Khemis, Vaudaine, membres. La Société a secouru dix-sept orphelins en Tunisie; en 1908,- elle a. accordé ses secours à quatorze orphelins, pour une somme annuelle de 1.368 fr. En France, 1.581 orphelins secourus "" en ",,mutual_aid;learned_society,mutual_aid,922,123,0.915
L1912-00693,Comité des Sites et Monuments Pittoresques du Touring-Club de France,juin 1906,1906,,Tunis,,"Sauvegarder de la destruction ou de l'enlaidissement les monuments et. les sites pouvant intéresser les touristes; en faire d'abord l'inventaire complet, accompagné de photographies et de cartes postales. Dix membres d'honneur, trente-quatre membres actifs; sept membres correspondants. MM. le Dr Carton, prés.; Merlin, directeur des Antiquités, et Pauthierprofesseur au lycée Carnot,v.-prés.; Fretin, professeur au lycée Carnot, secr. gén.; Feriouillet, secr.","Restauration de la porte de Bab-Djedid; défense et protection de plusieurs sites et monuments; campagne en faveur d'un gar- dien à mettre à Cartilage; commencé l'oeuvre considérable de l'inventaire des sites et monuments, pour lesquels il est fait appel à tous les amateurs.",learned_society,learned_society,907,123,0.9774
L1912-00701,Compagnie Algérienne,,,,Tunis,,,,,,274,125,0.919
L1912-00702,Compagnie des bateaux à vapeur du Nord,,,à Dunkerque,,,,,,,230,125,0.9554
L1912-00703,Compagnie des Chemins de fer de Bône-Guelma et prolongements,,,"a Paris : 8, rue Lavoisier (VIII"" arr",,,,,chamber_public_body;sport_leisure,chamber_public_body,8555,125,0.921
L1912-00704,Compagnie des Chemins de fer P.-L.- M,,,,,,,,,,132,127,0.9455
L1912-00705,Compagnie Danoise de Navigation à Vapeur «Det Forenede Dampskib Selskab »,,,,Tunis,,,,,,150,127,0.8584
L1912-00706,Compagnie du Gaz et Régie cointéressée des Eaux,,,,Tunis,,,,,,126,127,0.9365
L1912-00707,Compagnie générale de Navigation italienne,,,,Tunis,,,,national_community,national_community,146,127,0.8953
L1912-00708,Compagnie générale Transatlantique,,,,Tunis,,,,,,178,127,0.9364
L1912-00709,Compagnie havraise péninsulaire de Navigation à vapeur,,,"à Paris, 13, rue Grange-Batelière, Agent à Tunis : M",Tunis,,,,,,208,127,0.9513
L1912-00710,Compagnie de Navigation Mixte,,,,Tunis,,,,,,224,127,0.899
L1912-00711,Compagnie de Navigation à Vapeur A,,,,Tunis,,,,,,141,127,0.9483
L1912-00712,Compagnie des Phosphates et du Chemin de fer-de Gafsa,18.00,1800,,Gafsa,,,,learned_society;sport_leisure;national_community,learned_society,6601,127,0.9438
L1912-00713,Compagnie des Ports Tunis-SoùsseSfax,,,", 61, rue de l'Arcade, à Paris",,,,,,,264,128,0.8906
L1912-00714,Compagnie royale hongroise de Navigation maritime,,,,Tunis,,,,,,126,129,0.861
L1912-00715,Compagnie des stations hivernales africaines,1900,1900,"avenue de Cartilage, Tunis",Tunis,,,,chamber_public_body;music_arts,chamber_public_body,454,129,0.9323
L1912-00716,Compagnie des Vapeurs de charge français,,,"4, r",,,,,,,220,129,0.911
L1912-00717,Comptoir National d'Escompte de Paris,,,,Tunis,,,,,,221,129,0.9418
L1912-00721,Conférence Consultative,1891,1891,,Sousse,55,,,professional_union;chamber_public_body;learned_society;religious;agricultural_economic,professional_union,13108,129,0.9422
L1912-00732,Coopératives agricoles locales,,,,,,,,agricultural_economic,agricultural_economic,698,134,0.9124
L1912-00733,Cooperativa italiana di Crédito,16 avril 1900,1900,"rue Es-Sadikia, n° 7",,550,"'La Coopérative a pour but de faciliter les rapports et les échanges entre la Colonie italienne de Tunis et la mère patrie, en procurant le crédit à ses membres par la. mutualité el l'épargne et en favorisant le commerce ila.- lien de Tunis el plus spécialement les classes laborieuses les moins fortunées. 550 membres. Prés., cav. Uff. Guido Ravasini. v.-prés.. cav. Salvatore Calo. cav. Giacomo Fiorenlino; secr., prof. Stefano Ca.lalanolli; conseillers, ca. uff. • Dr Petro Brignone, Elia. Gutliôres, cav. Dr Luigi Mascia, cap. Francesco Mazarella, cav. Salomone Tecteschi. M. le chev. Guido Ravas",,national_community;agricultural_economic,national_community,1212,135,0.9265
L1912-00751,Crédit foncier d'Algérie et de Tunisie,1SS1,1881,,Sousse,,,,,,287,140,0.8961
