entry_id,place_name,controle_civil,caidat,annexe,distance_km,distance_from,population,altitude_m,tribe_mentioned,owners_raw,has_railway_station,has_school,has_post_office,has_market,has_roman_ruins,archaeology_raw,n_chars,page_first,ocr_confidence
L1912-00886,DJEBEL-HALLOUF,Souk-elA,Oulecl-bou-Salem et Chihia,,12,Souk-el-Khemis,,,,"M. Attilo Pès, au Bardo, près de Tunis",0,0,0,1,0,,220,159,0.9298
L1912-00887,DJEBEL-HAMERA,Tala,Frechich,,35,Kasserine,,,,MM. 'large,0,0,0,0,0,,436,159,0.8822
L1912-00888,DJEBEL - HARRABA,Kef caïdat de Tadjerouine,Tadjerouine,,,,,,,,1,0,0,0,0,,348,159,0.9098
L1912-00889,DJEBEL-LANSARINE,Tunis,la banlieue,,,,,,,,0,1,0,0,0,,162,159,0.9548
L1912-00890,DJEBEL-NAHALI,Tunis,la banlieue,,,,,,,•: Ra,0,0,0,0,0,,86,159,0.932
L1912-00892,DJEBEL-REÇAS,Tunis,la banlieue,,,,,,,,0,0,0,0,0,,555,159,0.9006
L1912-00893,DJEBEL-ROZELANE,,Bizerte,,,,,,,,0,0,0,0,0,,66,159,0.9815
L1912-00894,DJEBEL-SERDJ,Kairou&n,Djelass,,75,Pont-duFahs,,,,"M. Dubois de Leslang, Bougival (Seine)",0,0,0,0,0,,277,159,0.8838
L1912-00895,DJEBEL-TOUILA,Kairouan,Djelass,,20,Hadjeb-el-Aïoun el à,,,,"Société anonyme des Mines du Touireuf, 1",1,0,0,0,0,,346,160,0.9234
L1912-00896,DJEBEL-TOUIREUF,Kef,Kef,,,,,,,"Société anonyme des Mines du Touireuf, à Couillef (Belgique), el 11, rue des Escrimeurs, à Anvers (Belgique)",0,0,0,0,0,,287,160,0.9359
L1912-00897,DJEBEL-TROZZA,Kairouan,Djelass,,50,Kairouan,,,,Syndicat des Mines du Djebel-Trozza,0,0,0,0,0,,261,160,0.9349
L1912-00898,DJEBIBINA,,Zaghouan,,,,,,,,0,0,0,0,0,,114,160,0.929
L1912-00899,DJEBEL-EL-KOHOL,Tunis,Zaghouan,,,,,,,"MM. Vwanau'd Sons, Swansea",0,0,0,0,0,,256,160,0.827
L1912-00900,DJEBINIANA ou,,Sfax,,,,2000,,,,0,1,0,0,0,,197,160,0.96
L1912-00901,DJEDEÏDA,Tunis,,,,,,,,"MM. Jousse, Martin, le marquis' de Certaines (2",1,1,0,0,1,,524,160,0.9263
L1912-00903,DJEHIM,Garsa,Djerid,,2,Tozeur,60,,,,0,0,0,0,0,,124,160,0.9375
L1912-00904,DJELASS,Kairouan,,,,,,,,,0,0,0,0,0,,378,160,0.93
L1912-00905,DJELIDA,Béja,Medjez-el-Bab,,,,,,,,1,0,0,0,0,,250,160,0.9467
L1912-00906,DJELIDATT,,Ouerghamma,,8,Fôum-Tafa,,,,,0,0,0,0,0,,98,160,0.938
L1912-00912,DJEMMAL,,Monastir,,20,Monastir,5600,,,,1,1,0,1,0,,457,160,0.9117
L1912-00913,DJEMMEL,Bizerte,Bizerte,,,,,,,,0,0,0,0,0,,79,161,0.9207
L1912-00914,DJEMNA,,Nefzaoua,,15,Kebili,,,,,0,0,0,0,0,,84,161,0.922
L1912-00915,DJENEIEN,,Ourgamma,,200,Fûum-Tataliouine,,,,,0,0,0,0,0,,246,161,0.8844
L1912-00917,DJERADOU,Sousse,Sousse,,19,Enfidaville et à 12 k,1200,,,,0,0,0,0,0,,153,161,0.9115
L1912-00918,DJERBA,Gabès,l'Arad,Contrôle civil,,,40000,,,,0,0,1,1,0,,2614,161,0.9334
L1912-00919,Djerba,,,,,,,,,,0,0,0,1,1,,819,161,0.9643
L1912-00921,Djerid,,Djerid,,,,,,,,0,0,0,0,0,,324,161,0.9652
L1912-00922,DJERISSA,Kef,Tadjerouine,,22,Slata et à 8 kil,,,,,1,1,0,0,0,,536,162,0.9059
L1912-00926,DJMILA,,Zaghouan,,,,,,,,0,0,0,0,0,,127,162,0.9243
L1912-00927,DJOUGGAR,Tunis,Zaghouan,,15,Pont-du-Fàhs,,,,,0,0,0,0,0,,212,162,0.9055
L1912-00932,DOUAMIS,Kef,Teboursouk,,,,,,,,0,0,0,1,1,,743,163,0.9755
L1912-00935,DOUAR-ECH-CHOTT,Tunis,la banlieue,,2,Cartilage,,,,"MM. Machwitz, Costa, Bogo",0,0,0,0,0,,164,163,0.9838
L1912-00938,DOUGGA,Kef,Teboursouk,,,,,,,,0,0,0,1,1,"l'antique «Thugga», ruines célèbres entre toutes I celles de la Tunisie par leur beauté et leur état de conservation. Thugga n'a pas d'histoire, son nom est à peine cité dans quelques auteurs anciens. Un village arabe sélève sur l'emplacement de la ville antique. Ces ruines que de hardis explorateurs étaient venus visites 1 depuis longtemps, sont admirablement situées au sommet d'une colline et dominées par la silhouette gracieuse d'un admirable capitule. En dehors du pittoresque, elles offrent toute une série de documents de premier ordre, Id'autanl plus intéressants qu'on y trouve en quelque sorte le résumé de toute l'archéologie de la Tunisie. Les monuments numides y sont en effet représentés par les restes d'une enceinte flanquée de tours, de grosses pierres. L'architecture berbère l'est par deux nécropoles mégalithiques considérables.",954,163,0.9835
L1912-00941,DOUÏNIS,Souk-el-Arba,Chiha et Ouled-bou-Salem,,7,Souk-el-Khemis,,,,,0,0,0,1,0,,133,164,0.9233
L1912-00942,DOUIRAT,,Om> ghamma,,21,Foum-Tatahouine,,,,,0,0,0,0,0,,71,164,0.8985
L1912-00944,DOUZ,,Nefzaoua,,28,Kebili,,,,,0,0,0,0,0,,211,165,0.979
L1912-00950,Driba,,,,,,,,,,0,0,0,0,0,,292,165,0.9946
L1912-00958,DUBOSVILLE,Tunis,la banlieue,,2,Tunis,,,,"MM. Barcelona, Buhagiar, Jouffray",0,1,0,0,0,,178,166,0.9572
L1912-00993,EBBA-KSOUR,Kef,Kef,,70,Gaffour,,,,,1,0,0,1,0,,309,170,0.881
L1912-00994,ECHAMUNES,Tunis,la banlieue,,,,,,,,0,0,0,0,0,,917,171,0.9814
L1912-00995,ECH-CHAAR,Tunis,la,,,,,,,M. Vassel,0,0,0,0,0,,69,171,0.976
L1912-01003,EL-AALEM,,,,6,Sbikha et centre d'une importan,,,,,0,0,0,0,0,,130,173,0.9728
L1912-01005,EL-AFAREG,Béja,Béja,,7,Béja,,,,"MM. Rosenweig, Latil, Verdelet, Delboulbé, Bonneau, Trachat, Dechoudan",0,0,0,0,0,,157,173,0.9518
L1912-01006,EL-AFRANE,Tunis et caïtet de la banlieue,,,,,,,,"MM. Despéroux, Bidali, etc",0,1,0,0,0,,157,173,0.958
L1912-01007,EL-AGHAIR,Sfax,Sfax,,16,Triaga,,,,,0,0,0,0,0,,70,173,0.92
L1912-01008,EL-AKHOUAT,Kef,Teboursouk,,7,Krib,,,,,1,0,0,1,0,,267,173,0.8373
L1912-01009,EL-ALA,,Djelass,,,,,,,,0,0,0,1,1,,260,174,0.9796
L1912-01010,EL-ALIA,Bizerte,Bizerte,,8,El-Azib et à 14 k,3700,,,,0,0,0,1,1,,278,174,0.9354
L1912-01011,EL-ALIA.C,Sousse,,,,,,,,,0,0,0,0,1,,174,174,0.9728
L1912-01014,EL-AOUANA,Bizerle,Mateur,,,,,,,,0,0,0,0,0,,106,174,0.9733
L1912-01015,EL-AOUARIA,Béja,Béja,,,,,,,,0,0,0,0,0,,94,174,0.9897
L1912-01016,EL-AOURIA,Grombalia et caïdat du Cap-Bon,Cap-Bon,,26,Kelibia,,,,,0,0,0,0,0,,339,174,0.952
L1912-01017,EL-AOUID,Bizerte,Bizerte,,,,,,,M. Gramont,0,0,0,0,0,,58,174,0.9215
L1912-01018,EL-AOUINA,,Cap-Bon,,10,Menzel-bou-Zelfa,,,,MM,0,0,0,0,0,,1010,174,0.8815
L1912-01019,EL-AOUJA,,Zaghouan,,6,Depienne,,,,"M™"" Chevallard (2",1,0,0,0,0,,224,174,0.886
L1912-01021,EL-AROUSSA,Béja,Medjez-el-Bab,,41,Pont-du-Fahs,,,,,1,1,0,1,0,,284,174,0.9086
L1912-01022,EL-ATTAIA,Sfax,Sfax,,,,,,,,0,0,0,0,0,,136,174,0.9848
L1912-01023,EL-AYACHA,Gafsa,Gafsa,,,,900,,,,0,0,0,0,0,,185,174,0.9296
L1912-01024,EL-AZIB,Bizerte,Bizerte,,,,,,,,0,1,0,0,0,,90,174,0.838
L1912-01025,EL-BAHIRA,Sousse,Mahdia,,8,KsourEssaf,,,,,0,0,0,0,0,,83,174,0.9173
L1912-01026,EL-BATHAN,Tunis,Tebourba,,3,Tebourba,,,,,0,0,0,0,1,,457,174,0.9298
L1912-01027,EL-BIBAN,,Ourghamma,,,,,,,,0,0,0,0,0,,296,175,0.9334
