entry_id,place_name,controle_civil,caidat,annexe,distance_km,distance_from,population,altitude_m,tribe_mentioned,owners_raw,has_railway_station,has_school,has_post_office,has_market,has_roman_ruins,archaeology_raw,n_chars,page_first,ocr_confidence
L1912-00399,BORDJ-TOUM,Tunis,la Banlieue,,15,Medjézel-Bab et à 17 k,,,,M. Trouillet el «La Colonisation franco-tunisienne»,1,0,0,0,0,,277,69,0.9047
L1912-00400,BORDJ-TOUTA,Tunis,la Banlieue,,5,Tebourba,,,,,0,0,0,0,0,,208,69,0.9492
L1912-00402,BORGINE,Sousse,Aîonastir,,,,1000,,,,1,1,0,1,0,,1284,69,0.9322
L1912-00407,Bou,,,,,,400,,,,0,0,0,0,0,,416,70,0.9365
L1912-00408,■BOU-ARADA,Béja,Medjez-el-Bah,,25,Pont-du-Fahs et à,,,,,1,1,0,1,0,,379,70,0.9
L1912-00409,BOU-ARKOUB,Grombalia,Cap-Bon,,,,,,,Al,1,0,0,0,0,,260,70,0.9189
L1912-00412,BOU-CHATEUR,,,,,,,,,,0,0,0,0,1,,2254,70,0.9789
L1912-00413,BOU-CHEBKHA,Thala,Fraichich,,,,,,,,0,0,0,0,0,,90,71,0.885
L1912-00414,BOU-CHEMMA,,,,,,450,,,,0,0,0,0,0,,159,71,0.879
L1912-00417,BOU-FATHA,Alactar et caïdat des Oulad-Aya,Oulad-Ayar,,,,,,,,0,0,0,0,1,,102,71,0.9373
L1912-00418,BOU-FIGHA,,,,21,Enfidaville,450,,,,1,1,0,0,0,,265,71,0.8924
L1912-00419,BOU-FTIS,Kef,Teboursouk,,,,,,,,0,0,0,1,0,,201,71,0.9477
L1912-00420,BOU-GHANEM,,,,,,,,,,1,0,0,0,0,,108,71,0.961
L1912-00421,BOU-GRARA,,Ourghamma,,28,Alédenine,,,,,0,0,0,0,1,,1003,71,0.9774
L1912-00422,BOU-HADJAR,Sousse,,,3,Ksar1-lellal,,,,,0,0,0,0,0,,88,72,0.972
L1912-00425,BOU-HAMDA,,Béja,,2,Béja où l'on a découvert un cim,,,,,0,0,0,0,0,,166,72,0.9398
L1912-00431,BOU-MERDAS,,Alahdia,,18,El-Djem,,,,,0,0,0,0,0,,89,73,0.891
L1912-00434,BOURDJINE,Sousse et caïdat cle Monaslir,,,9,Alsaken,,,,,0,0,0,0,0,,96,73,0.9673
L1912-00435,BOURDJINE-MENZEL-KAMEL,Sousse et caïdat de Djemmal,Djemmal,,9,Djemmal,,,,,1,0,0,0,0,,207,73,0.9187
L1912-00436,BOURDJOURANE,Bizerle,Bizerle,,,,,,,,0,0,0,0,0,,58,73,0.956
L1912-00438,BOU-REBIA,,,,,,,,,,1,0,0,0,0,,146,73,0.8902
L1912-00439,BOU-REDOUANE,Souk-elArba,Ouled-bou-Sdlem,,,,,,,,0,0,0,1,0,,99,73,0.932
