entry_id,person,order,order_country,grade,position,context
L1912-00082,ALIX,nichan_iftikhar,Tunisia,commandeur,106,"), 'off. de l'Instruction publique, comm. du Nichan-Iftikhar. Professe"
L1912-00083,ALLEMAND,palmes_academiques,France,officier,77,"-MARTIN, 18 avril 1876, Lyon (Rhône), off. d'Académie, comm. du Ni- i"
L1912-00083,ALLEMAND,nichan_iftikhar,Tunisia,commandeur,102,"yon (Rhône), off. d'Académie, comm. du Ni- i chan-lftikhar. Professeur"
L1912-00083,ALLEMAND,medaille_coloniale,France,,1267,nsport des éponges à grandes dislances. Deux médailles d'or à l'Exposi
L1912-00083,ALLEMAND,ouissam_alaouite,Morocco,,4062,"résorier : M. Purtschet, économe du col lège Alaoui. Bibliothécaire-ar"
L1912-00089,AMAT J.-C.) 1856,nichan_iftikhar,Tunisia,officier,62,"Anduze (Gard), off. de l'înst. publ., c. du Nichan-Iftikhar. Vérifica"
L1912-00093,ANAGNOSTAKI,legion_honneur,France,chevalier,68,"déc. 1865, Athènes (Grèce), chevalier de la Légion d'Honneur. 1, rue"
L1912-00096,ANDRÉ,palmes_academiques,France,officier,42,"ANDRÉ (Louis). 5 nov. 1872. Paris, off. d'Académie, off. du Nichan-"
L1912-00096,ANDRÉ,nichan_iftikhar,Tunisia,officier,60,"5 nov. 1872. Paris, off. d'Académie, off. du Nichan-Iftikhar. Professe"
L1912-00098,ANGELOTTI,nichan_iftikhar,Tunisia,officier,43,"ANGELOTTI (Albert), 20 avril 1880. off. du Nichan-Iftikhar. Avocat a"
L1912-00099,ANGLADE,palmes_academiques,France,officier,65,"aume), 14 nov. 1851. Rodez (Aveyron), off. d'Académie, commandeur clu"
L1912-00099,ANGLADE,nichan_iftikhar,Tunisia,commandeur,90,"z (Aveyron), off. d'Académie, commandeur clu Nich.an-Iflikhar. Ingénie"
L1912-00104,ANSELME,legion_honneur,France,chevalier,64,"'), 30 août 1S64, Voreppe (Isère),chev.de la Légion d'honneur. Chef de"
L1912-00104,ANSELME,palmes_academiques,France,,2391,"depuis 1899, par le Ministère français de l'Instruction publique. Le"
L1912-00104,ANSELME,ouissam_alaouite,Morocco,,4422,"archéologiques de Tunisie sont : 1° Le musée Alaoui, installé au Bardo"
L1912-00106,ANTOINE,legion_honneur,France,chevalier,27,"ANTOINE. 1857, chev. de la Légion d'honneur, Médaill"
L1912-00106,ANTOINE,medaille_militaire,France,chevalier,45,"ANTOINE. 1857, chev. de la Légion d'honneur, Médaille militaire, off."
L1912-00106,ANTOINE,nichan_iftikhar,Tunisia,officier,73,"égion d'honneur, Médaille militaire, off. du Nichan-Iftikhar,Médaille"
L1912-00106,ANTOINE,medaille_coloniale,France,officier,89,"Médaille militaire, off. du Nichan-Iftikhar,Médaille coloniale. Contr"
L1912-00120,ARÈNE,merite_agricole,France,chevalier,107,"e,off. de l'Instruction miblicrae. chev. clu Mérite Agricole, commande"
L1912-00120,ARÈNE,nichan_iftikhar,Tunisia,commandeur,138,"ae. chev. clu Mérite Agricole, commandeur du Nichan - Iftikhar, médail"
L1912-00121,ARGOUD,nichan_iftikhar,Tunisia,officier,102,"ina.y,arr.de SaintMarcellin (Isère), off. du Nichan-Iftikhar. Commis-g"
L1912-00123,ARMAND,legion_honneur,France,chevalier,76,"t 1854, Saint-Montant (Ardèche), chev. de la Légion d'honneur, Médaill"
L1912-00123,ARMAND,nichan_iftikhar,Tunisia,officier,169,"ragon de l'Annam, chev. du Cambodge, off. du Nichan-Iftikhar. Sous-in"
L1912-00124,ARMAND,merite_agricole,France,chevalier,52,"(André-Ernest-Emile), 11 mars 1874, chev. du Mérite Agricole, off. du"
L1912-00124,ARMAND,nichan_iftikhar,Tunisia,officier,77,"mars 1874, chev. du Mérite Agricole, off. du Nichan-Iftikhar, médaille"
L1912-00129,ARNOUX,palmes_academiques,France,officier,26,"ARNOUX (Jules), off. de l'Instruction publique, che"
L1912-00129,ARNOUX,merite_agricole,France,chevalier,57,"s), off. de l'Instruction publique, chev. du Mérite agricole, commande"
L1912-00129,ARNOUX,nichan_iftikhar,Tunisia,commandeur,88,"que, chev. du Mérite agricole, commandeur du Nioban-lftikhar. Négocian"
L1912-00130,ARRAGON,legion_honneur,France,chevalier,62,"20 fév.' 1860, Paris (vu* arr.), chev. de la Légion d'honneur, off. cl"
L1912-00130,ARRAGON,palmes_academiques,France,officier,91,".), chev. de la Légion d'honneur, off. cle l'Instruction publique,chev"
L1912-00130,ARRAGON,merite_agricole,France,chevalier,125,"off. cle l'Instruction publique,chevalier du Mérite Agricole, comm. du"
L1912-00130,ARRAGON,nichan_iftikhar,Tunisia,commandeur,151,"lique,chevalier du Mérite Agricole, comm. du Nichan-Iflikhar, Médaille"
L1912-00130,ARRAGON,medaille_coloniale,France,commandeur,168,"u Mérite Agricole, comm. du Nichan-Iflikhar, Médaille Coloniale avec a"
L1912-00134,ASPERGÉS,nichan_iftikhar,Tunisia,officier,61,"), 12 fév. 1862Toulouse (I-I.-Gar.), off. du Nichan-Iftikhar. Professe"
L1912-00170,ATGER,palmes_academiques,France,officier,65,"e). 1"" mars 1834, Saint-Jean-du-Gard, off. d'Académie. Pasteur de l'Eg"
L1912-00170,ATGER,osmanie,Ottoman Empire,,138,"e réformée de France, ancien missionnaire en Océanie. ETUDES : Faculté"
L1912-00171,ATHENOSY,nichan_iftikhar,Tunisia,officier,61,"-Henri), 1852, Cavaillon (Vaucluse), off. du Nichan-Ifti- khar. Pharma"
L1912-00172,ATTIA,legion_honneur,France,chevalier,46,"TTIA (G.), 4 sept. 1864, Tunis, chev. cle la Légion d'honneur, off. de"
L1912-00172,ATTIA,couronne_italie,Italy,officier,75,"s, chev. cle la Légion d'honneur, off. de la Couronne d'Italie, off. d"
L1912-00172,ATTIA,palmes_academiques,France,officier,101,"onneur, off. de la Couronne d'Italie, off. d'Académie, off. du Niolinn"
L1912-00172,ATTIA,medjidie,Ottoman Empire,officier,155,"off. du NiolinnItikhar, comn a n d e u r du vledjidié. Propriétaire,"
L1912-00173,AUBERT,medaille_militaire,France,,26,"AUBERT (Godefroy), Paris, Médaille militaire; Croix"
L1912-00176,AUDEMARD,palmes_academiques,France,officier,64,"y-Julien), 22 déc. 1851, Trans (Var), off. d'Académie, chev. du Mérite"
L1912-00176,AUDEMARD,merite_agricole,France,chevalier,83,"1851, Trans (Var), off. d'Académie, chev. du Mérite Agricole, off. du"
L1912-00177,AUDINEAU,nichan_iftikhar,Tunisia,officier,50,"EAU (Louis), 15 mars 1872, Bordeaux, off. du Nichan-Iftikhar. Architec"
L1912-00178,AUGIAS,ouissam_alaouite,Morocco,,177,es J u d iciaires Oct. 1890. ETUDES: collège Alaoui cle Tunis; diplôme
L1912-00180,AUNIS,nichan_iftikhar,Tunisia,officier,36,"AUNIS (1869). Off. d'Acad., off. du Nichan-Iftikhar, professe"
L1912-00182,AURBACHER,nichan_iftikhar,Tunisia,officier,37,"AURBACHER (François), Tunis, off. du Nichan-Iftikhar. Négocian"
L1912-00183,AURÈS,palmes_academiques,France,officier,58,"22 février 1873, Valleranges (Gard), off. d'Académie, off. du Nichan-"
L1912-00183,AURÈS,nichan_iftikhar,Tunisia,officier,76,"Valleranges (Gard), off. d'Académie, off. du Nichan-lflikhar. Directeu"
L1912-00183,AURÈS,ouissam_alaouite,Morocco,,142,cteur cle l'Ecole . d'application du collège Alaoui; chargé cle rensei
L1912-00184,AUSSENAC,palmes_academiques,France,officier,23,AUSSENAC. 1874. off. d'Académie. Conducteur des
L1912-00186,AUVIN,nichan_iftikhar,Tunisia,officier,59,", 3 janvier 1861, Ruffec (Charente), off. du Nichan-Iftikhar. Représen"
L1912-00188,AUZEPY,nichan_iftikhar,Tunisia,,76,"Sa.inl-Plorent-s'-Auzonnet (Gard), connu, du Niclian-lffikhur. Directe"
L1912-00192,AVERSO,nichan_iftikhar,Tunisia,officier,45,"AVERSO (Pascal), 6 janv. 1860,Tunis, off. du Nichan-Iftikhar. Entrepre"
L1912-00193,AVIGDOR,merite_agricole,France,chevalier,74,"870, Andrinople (Turquie d'Europe), chev. du Mérite agricole, off. du"
L1912-00193,AVIGDOR,nichan_iftikhar,Tunisia,officier,99,"d'Europe), chev. du Mérite agricole, off. du Nichan-Iftikhar, Directeu"
L1912-00200,AZERM,nichan_iftikhar,Tunisia,officier,78,"r), 23 août 1861, Carcasonne (Aude), off. du Nichan-Iftikhar. Négocian"
L1912-00201,AZOUZ BEN HAMDA BEN AISSA,nichan_iftikhar,Tunisia,,71,"(Mohamed). 184S. Tebourba. Grand coiy don du Nichaii-Iflikhar, comm. d"
L1912-00201,AZOUZ BEN HAMDA BEN AISSA,legion_honneur,France,commandeur,101,"nd coiy don du Nichaii-Iflikhar, comm. de la Légion d'honneur. Général"
L1912-00204,BACCOUGHE,legion_honneur,France,chevalier,54,"(Salah). T"" aoûl .1865, Tunis, chev. cle la Légion d'tion.neur, off."
L1912-00204,BACCOUGHE,palmes_academiques,France,officier,81,"nis, chev. cle la Légion d'tion.neur, off. d'Académie, chev. du Mérite"
L1912-00204,BACCOUGHE,merite_agricole,France,chevalier,100,"égion d'tion.neur, off. d'Académie, chev. du Mérite agricole, connu, d"
L1912-00204,BACCOUGHE,saint_stanislas,Russia,officier,187,", off. clu Dragon de l'Annan), off. de Saint-Stanislas. Caïd de Béja."
L1912-00207,BACH-HAMBA,nichan_iftikhar,Tunisia,officier,39,"BACH-HAMBA (Ali). 1S79, Tunis, off. du Nichan-lflikhar. Avocat a"
L1912-00207,BACH-HAMBA,ouissam_alaouite,Morocco,,608,l'Association des Anciens Elèves du Collège Alaoui; membre fondateur
L1912-00210,BADE,nichan_iftikhar,Tunisia,officier,20,"BADE. 1862, off. du Nichan-Iftikhar. Receveur"
L1912-00211,BADER,legion_honneur,France,officier,70,"avril 1853, Reitwiller (Alsace), off. de la Légion d'honneur; Médaill"
L1912-00211,BADER,medaille_coloniale,France,officier,88,"iller (Alsace), off. de la Légion d'honneur; Médaille Coloniale; off."
L1912-00211,BADER,nichan_iftikhar,Tunisia,commandeur,139,le Coloniale; off. d'Acaueiuie ; command. du Nichan - Iftikhar. Lieute
L1912-00217,BAILLE,palmes_academiques,France,officier,77,"24 juillet 1861, Manduel (Gard), off. cle l'Instruction publique, com"
L1912-00217,BAILLE,nichan_iftikhar,Tunisia,commandeur,108,"), off. cle l'Instruction publique, comm. du Nicban-lltikliar, off. du"
L1912-00218,BAILLEAÛ,nichan_iftikhar,Tunisia,,53,"(Gaston-Léon), 27 juin 1882, Paris, olf. du Nichan-Iftikhar, colon à."
L1912-00219,BAILLY,nichan_iftikhar,Tunisia,officier,55,"rnancl). 4- nov. 1851, Dôle (Jura), off. clu Nichan-Iftikhar; décorati"
L1912-00220,BALANDE,palmes_academiques,France,officier,25,"BALANDE (Caries), off. d'Académie, chev. cle la Co"
L1912-00220,BALANDE,couronne_italie,Italy,chevalier,48,"ANDE (Caries), off. d'Académie, chev. cle la Couronne d'Italie, off. d"
L1912-00220,BALANDE,nichan_iftikhar,Tunisia,officier,75,"mie, chev. cle la Couronne d'Italie, off. du Nichan Iffikhar. Construc"
L1912-00221,BALDY,palmes_academiques,France,officier,60,"13 juillet 1858. SaintPaul (Aveyron), off. d'Académie. Conseiller à la"
L1912-00228,BARBAIS,legion_honneur,France,chevalier,61,"-Ferdinand). 6 août 1861, Paris, chev. de la Légion d'honnenn. off. d'"
L1912-00228,BARBAIS,palmes_academiques,France,officier,86,"Paris, chev. de la Légion d'honnenn. off. d'Académie, off. du Nichan-"
L1912-00228,BARBAIS,nichan_iftikhar,Tunisia,officier,104,"a Légion d'honnenn. off. d'Académie, off. du Nichan- lllikhar. Ingénie"
L1912-00229,BARBARAT,legion_honneur,France,officier,68,"12 mars 1859, Voussac (Allier), off. cle la Légion ■ d'honneur. Direc"
L1912-00230,BARBIER,nichan_iftikhar,Tunisia,officier,49,"IER (Claude). 1874, Talissieu (Ain), off. du Nichan-IIlikhar. Receveur"
L1912-00231,BARBOT,nichan_iftikhar,Tunisia,commandeur,87,"Faverolles-sur-Cher (Loir-et-Cher), comm. du Nichan-Iftikhar. Entrepre"
L1912-00234,BARÊS,nichan_iftikhar,Tunisia,officier,58,"19 fév. 1865, Le Piau. sur-Garonne, off. du Nichan-Iftikhar. Receveur"
L1912-00237,BARLIER,nichan_iftikhar,Tunisia,officier,72,"1867, Oran (Algérie), off. cl'Acad., off. du Nichan-Iftikhar,méd.Aléri"
L1912-00238,BARNAY,nichan_iftikhar,Tunisia,officier,46,"ARNAY (Henri). 26 sept. 1878, Tunis, off. du Nichant-IItikhar. Négocia"
L1912-00239,BAROGHE,nichan_iftikhar,Tunisia,chevalier,75,"ov. 1866, Arnay-le-Duc (Côte-d'Or), chev. du Nichan-Iftikhar. Publicis"
L1912-00240,BARON,nichan_iftikhar,Tunisia,officier,56,"-Auguste-Jean). -23 mars 1S56, Lyon, off. du Nichan-Iftikhar. Ingénieu"
L1912-00243,BARRIOULET,palmes_academiques,France,officier,55,"(Pierre). 22 juillet 1875, Toulouse, off. d'Académie, off. du Nichan-"
L1912-00243,BARRIOULET,nichan_iftikhar,Tunisia,officier,73,"let 1875, Toulouse, off. d'Académie, off. du Nichan-Iftikhar. Sous-che"
L1912-00244,BARSOTTI,nichan_iftikhar,Tunisia,officier,62,". 3 janv. 1866, Tunis. Off. d'Acad., off. du Nichan-Iftikhar, mêd. de"
L1912-00245,BARTHOLOMË,legion_honneur,France,chevalier,151,Commerce et de la Colonisation.' Chev. de la Légion d'honneur; grand c
L1912-00245,BARTHOLOMË,nichan_iftikhar,Tunisia,grand_cordon,185,hev. de la Légion d'honneur; grand cordon du Nichan-lfli- ' khar; off.
L1912-00245,BARTHOLOMË,palmes_academiques,France,officier,212,; grand cordon du Nichan-lfli- ' khar; off.d'Académie; off. de Radama;
L1912-00245,BARTHOLOMË,ordre_radama,France (Madagascar),officier,230,Nichan-lfli- ' khar; off.d'Académie; off. de Radama; off. de l'Etoile
L1912-00245,BARTHOLOMË,etoile_anjouan,France (Comoros),officier,248,r; off.d'Académie; off. de Radama; off. de l'Etoile d'Anjouan; chev. d
L1912-00245,BARTHOLOMË,etoile_noire_benin,France (Benin),chevalier,277,dama; off. de l'Etoile d'Anjouan; chev. de l'Etoile noire de Bénin; ch
L1912-00245,BARTHOLOMË,merite_agricole,France,chevalier,309,; chev. de l'Etoile noire de Bénin; chev. du Mérite agricole ; comm. d
L1912-00246,BARUË,palmes_academiques,France,officier,63,"i-Jean-René), 2 juin 1869. Brest. Officier d'Académie, chev. du Alérit"
L1912-00246,BARUË,merite_agricole,France,chevalier,82,"n 1869. Brest. Officier d'Académie, chev. du Alérite agricole, off. du"
L1912-00246,BARUË,nichan_iftikhar,Tunisia,officier,108,"Académie, chev. du Alérite agricole, off. du Nichan-' Iltikhar. Contrô"
L1912-00247,BASTIDE,legion_honneur,France,chevalier,75,"e). 28 sept. 1847, Cahors (Lot), chev. de la Légion d'honneur, gr. olf"
L1912-00247,BASTIDE,nichan_iftikhar,Tunisia,chevalier,105,"), chev. de la Légion d'honneur, gr. olf. du Nichan-Iftikhar. Docteur"
L1912-00248,BASTIEN,legion_honneur,France,chevalier,56,"ilien), 31 août 1848, (Moselle), chev. de la Légion d'honneur, comm. c"
L1912-00248,BASTIEN,merite_agricole,France,commandeur,84,"le), chev. de la Légion d'honneur, comm. clu Mérite Aericole. off. de"
L1912-00248,BASTIEN,palmes_academiques,France,officier,111,"onneur, comm. clu Mérite Aericole. off. de l'Instruction publique, gr."
L1912-00248,BASTIEN,etoile_noire_benin,France (Benin),chevalier,208,"mm. de 1 ' o r d r e du Cambodge, chev. de l'étoile noire du Bénin. Co"
L1912-00250,BATT,legion_honneur,France,chevalier,64,"ct. 1869, Flekkefjord (Norvège), chev. de la Légion d'honneur, comm. d"
L1912-00250,BATT,nichan_iftikhar,Tunisia,commandeur,91,"ège), chev. de la Légion d'honneur, comm. du Nichan-Iftikhar, chev. de"
L1912-00250,BATT,saint_olaf,Norway,chevalier,144,"ftikhar, chev. de 1"" cl. de l'ordre de Saint-Olaf. Négociant, Tunis. E"
L1912-00253,BAYLE,palmes_academiques,France,officier,56,"us). 16 mars 1859. Annonay (Ardèche). off. d'Académie, comm. clu Nichu"
L1912-00253,BAYLE,nichan_iftikhar,Tunisia,commandeur,76,"nnonay (Ardèche). off. d'Académie, comm. clu Nichun-Iftikhar. Inspecte"
L1912-00257,BEAUQUIER,nichan_iftikhar,Tunisia,officier,81,"aint-Bazille-de-Alontmel (Hérault), off. clu Nicham-lllikhar, institut"
L1912-00259,BEC,palmes_academiques,France,officier,64,". 2 janv. 1871, Urau (Haute-Garonne), off. d'Académie, off. clu Nichan"
L1912-00259,BEC,nichan_iftikhar,Tunisia,officier,83,"u (Haute-Garonne), off. d'Académie, off. clu Nichan-Iftikhar. Sous-dir"
L1912-00259,BEC,ouissam_alaouite,Morocco,,126,"u Nichan-Iftikhar. Sous-directeur du collège Alaoui, 13, rue de Danema"
L1912-00262,BECHIR-BEY,legion_honneur,France,commandeur,55,"(Prince). 1880, La Alarsa. Commandeur de la Légion d'honneur, grand c"
L1912-00270,BEL KHODJA,legion_honneur,France,chevalier,48,"KHODJA (Mohamed). 1869, Tunis, chev. cle la Légion d'honneur, off. de"
L1912-00270,BEL KHODJA,palmes_academiques,France,officier,76,"is, chev. cle la Légion d'honneur, off. de 1'lnslruclion publique, com"
L1912-00273,BELLÏSSEN,palmes_academiques,France,officier,53,"N (Joseph). 17 fév. 1865, Alarseille, off. d'Académie, off. du Nichan-"
L1912-00273,BELLÏSSEN,nichan_iftikhar,Tunisia,officier,71,". 1865, Alarseille, off. d'Académie, off. du Nichan-Iftikhar. Négocian"
L1912-00274,BELLOT,legion_honneur,France,chevalier,74,"1854, L'Argentière (Alpes), chevalier de la Légion d'honneur, ofr. cl"
L1912-00274,BELLOT,palmes_academiques,France,chevalier,103,"chevalier de la Légion d'honneur, ofr. cle l'Instruction publique, che"
L1912-00274,BELLOT,merite_agricole,France,chevalier,138,"fr. cle l'Instruction publique, chevalier du Mérite agricole, comm. au"
L1912-00274,BELLOT,nichan_iftikhar,Tunisia,commandeur,164,"ique, chevalier du Mérite agricole, comm. au Nichan-Iftikhar, off. du"
L1912-00274,BELLOT,medaille_coloniale,France,officier,200,"comm. au Nichan-Iftikhar, off. du Aledidjiô, Médaille Coloniale,agrafe"
L1912-00281,BENAZET,nichan_iftikhar,Tunisia,officier,61,"e). 30 août 1881,Villasavary (Aude), off. du Nichan- Iftikhar. Directe"
L1912-00281,BENAZET,palmes_academiques,France,,708,t;' lettre de félicitations du Ministre de l'Instruction publique.
L1912-00286,BENEDETTI,palmes_academiques,France,,908,"ygiène cle Tunis. Premier Prix de poésie à l'Académie de - la Chanson,"
L1912-00301,BEN KHALIFA,legion_honneur,France,officier,48,"KHALIFA (Alohamed). 1852, Gabès, off. de la Légion d'honneur, gr. off"
L1912-00301,BEN KHALIFA,nichan_iftikhar,Tunisia,grand_officier,78,"ès, off. de la Légion d'honneur, gr. off. du Nichan-Iftikhar. Gouverne"
L1912-00306,BENSASSON,couronne_italie,Italy,chevalier,48,"ENSASSON (Raphaël). 1854, Tunis, chev. de la Couronne d'Italie, off. d"
L1912-00306,BENSASSON,nichan_iftikhar,Tunisia,officier,75,"unis, chev. de la Couronne d'Italie, off. du Nichan-Iftikhar. Négocian"
L1912-00308,BÉRARD,palmes_academiques,France,officier,72,"2. Thoiry (Ferney-Voltaire) (Ain), off. de l'instruction Dubliaue. off"
L1912-00308,BÉRARD,nichan_iftikhar,Tunisia,officier,102,"in), off. de l'instruction Dubliaue. off. du Nichan-Iftikhar. ETUDES :"
L1912-00309,BERGE,legion_honneur,France,chevalier,69,"1852, Romorantin (Loir-et-Cher), chev. de la Légion d'honneur, off. de"
L1912-00309,BERGE,palmes_academiques,France,officier,97,"er), chev. de la Légion d'honneur, off. de l'Instruction publique, ou."
L1912-00309,BERGE,nichan_iftikhar,Tunisia,grand_croix,188,"tsAfaurice- el-Lazare d'Italie, gr. croix du Nichan-Iftikhar. Conseill"
L1912-00310,BERGTOLD,palmes_academiques,France,officier,48,"GTOLD (Georges). 25 nov. 1876, Alger, off. d'Académie, off. du NichanI"
L1912-00312,BËRIEL,palmes_academiques,France,officier,45,"BËRIEL (Philippe). 8 janv.1877, Lyon, off. d'Académie, chev. du mérite"
L1912-00312,BËRIEL,merite_agricole,France,chevalier,64,"8 janv.1877, Lyon, off. d'Académie, chev. du mérite Agricole, gr. off."
L1912-00312,BËRIEL,nichan_iftikhar,Tunisia,grand_officier,93,"démie, chev. du mérite Agricole, gr. off. du Nichan-Iftikhar. Chargé c"
L1912-00315,BERNARD,nichan_iftikhar,Tunisia,officier,49,"ARD (Paul). 1867, off. d'Acadé mie, off. clu Nichan-Iftikhar. Chef di"
L1912-00316,BERNE,palmes_academiques,France,officier,57,"Marie). 5 déc. 1866, Pé rouges (Ain), off. d'Académie, off. du Nichan-"
L1912-00316,BERNE,nichan_iftikhar,Tunisia,officier,75,"6, Pé rouges (Ain), off. d'Académie, off. du Nichan-Iftikhar. Professe"
L1912-00316,BERNE,ouissam_alaouite,Morocco,,225,"ESS' : instituteur à Oyonna.x (Ain), collège Alaoui (Tunis), collège S"
L1912-00319,BERTAINCHAND,legion_honneur,France,chevalier,81,"4, Saint-Armand-les-Eaux (Nord), chev. de la Légion d'honneur, off. cl"
L1912-00319,BERTAINCHAND,merite_agricole,France,officier,108,"ord), chev. de la Légion d'honneur, off. clu Mérite Agricole, off. d'A"
L1912-00319,BERTAINCHAND,palmes_academiques,France,officier,132,"d'honneur, off. clu Mérite Agricole, off. d'Académie, comm. du Nichan"
L1912-00319,BERTAINCHAND,christ_portugal,Portugal,officier,175,"d'Académie, comm. du NichanIftikhar, off, du Christ de Portugal.Ingéni"
L1912-00319,BERTAINCHAND,ouissam_alaouite,Morocco,,2238,du Service Pénitentiaire; médecin du collège Alaoui et du lycée Carnot
L1912-00320,BERTIN,nichan_iftikhar,Tunisia,officier,72,"1870, Entremont-le-Vieux (Savoie), off. clu Nichan-Iftikhar, off. d'A"
L1912-00320,BERTIN,palmes_academiques,France,officier,96,"x (Savoie), off. clu Nichan-Iftikhar, off. d'Académie.Directeur d'écof"
L1912-00321,BERTHON,palmes_academiques,France,officier,68,"v. 1864, Lavaveix-les-Mines (Creuse), off. d'Académie, comm. du Nichan"
L1912-00321,BERTHON,nichan_iftikhar,Tunisia,commandeur,87,"es-Mines (Creuse), off. d'Académie, comm. du Nichan-Iftikhar. Ingénieu"
L1912-00323,BERTRAND,palmes_academiques,France,officier,47,"RTRAND (Joseph). 14 mars 1868, Paris, off. d'Académie, comm. du Nichan"
L1912-00323,BERTRAND,nichan_iftikhar,Tunisia,commandeur,66,"mars 1868, Paris, off. d'Académie, comm. du Nichan-Iftikhar. Incénieu"
L1912-00326,BESSIERE,palmes_academiques,France,officier,49,"IERE (Victor - Lucien - Etienne), off. cle l'Instruction publique, com"
