entry_id,person,order,order_country,grade,position,context
L1912-00001,ABADIE,nichan_iftikhar,Tunisia,officier,57,"), 4 sept. 1862, Blaye (Giorni.lt;). off. du Nichan-Iflikliar, ingénie"
L1912-00003,ABDELLI,nichan_iftikhar,Tunisia,officier,36,"ABDELLI (Ali), 1S40, Tunis, off. du Nichan-Iflikliar. Oukil p"
L1912-00006,ABD UL WAHAB,palmes_academiques,France,officier,58,"(Hassen-I-Iusny), G juin 1883, Tunis, off. d'Académie, off. du. Nichan"
L1912-00006,ABD UL WAHAB,nichan_iftikhar,Tunisia,officier,77,"juin 1883, Tunis, off. d'Académie, off. du. Nichan-lft-ikhar. Interpr"
L1912-00010,ABITA,nichan_iftikhar,Tunisia,officier,54,"seph), 1"" fév. 1856,Trapani (Sicile),off. du Nichan-Iftikhar.Entrepren"
L1912-00011,ABRIBAT,legion_honneur,France,chevalier,68,",5 sepl.1858, Blida' (Algérie), chev. de la Légion d'honneur.off.de l"
L1912-00011,ABRIBAT,palmes_academiques,France,officier,94,"érie), chev. de la Légion d'honneur.off.de l'Instruction publique, com"
L1912-00011,ABRIBAT,nichan_iftikhar,Tunisia,commandeur,130,"off.de l'Instruction publique, commandeur du Nichan-Iftikhar, Médaille"
L1912-00011,ABRIBAT,medaille_coloniale,France,commandeur,147,"ion publique, commandeur du Nichan-Iftikhar, Médaille coloniale avec a"
L1912-00017,ADDA,nichan_iftikhar,Tunisia,officier,60,"4 janvier 1865, Constantine (Algérie),off.du Nichan-Iftikhar. off. d'A"
L1912-00022,AFRIGAN,nichan_iftikhar,Tunisia,officier,61,"), 15 avril 1883, fils de Canadiens, off. du Nichan-Iftikhar. Administ"
L1912-00028,AGNEL,nichan_iftikhar,Tunisia,officier,21,"AGNEL, 1875, off. du Nichan-Iftikhar. Sous-che"
L1912-00031,AHMED BEN OTHMAN,nichan_iftikhar,Tunisia,titulaire,603,"on de Sousse, en 1866; décoré du 4"" ordre du Nichan en 1870. En 1871,"
L1912-00031,AHMED BEN OTHMAN,osmanie,Ottoman Empire,,1238,"lhman élail le gendre du général de division Osman, ancien gouverneur"
L1912-00031,AHMED BEN OTHMAN,legion_honneur,France,chevalier,2004,"Monastir en 1909, fut nommé chevalier de la Légion d'honneur en récom"
L1912-00064,Alaoui,ouissam_alaouite,Morocco,,0,Alaoui (Collège). Etablis
L1912-00064,Alaoui,palmes_academiques,France,,706,"ecteur : M. le professeur Loth, inspecteur d'Académie hors cadre."
L1912-00065,Alaoui,ouissam_alaouite,Morocco,,0,Alaoui (Musée). Le musée
L1912-00067,ALBERT,nichan_iftikhar,Tunisia,officier,51,"(Léon-Auguste), 25 déc.1860, Alger, off. du Nichan-Iftikhar, Médaille"
L1912-00067,ALBERT,medaille_coloniale,France,officier,68,"25 déc.1860, Alger, off. du Nichan-Iftikhar, Médaille coloniale, agraf"
L1912-00068,ALBERTINI,legion_honneur,France,chevalier,76,"15 déc. 1858, Vescovato (Corse), chev. de la Légion d'honneur, Médaill"
L1912-00068,ALBERTINI,medaille_militaire,France,chevalier,94,"ovato (Corse), chev. de la Légion d'honneur, Médaille miltaire, Médail"
L1912-00068,ALBERTINI,medaille_coloniale,France,chevalier,94,"ovato (Corse), chev. de la Légion d'honneur, Médaille miltaire, Médail"
L1912-00068,ALBERTINI,nichan_iftikhar,Tunisia,officier,141,"daille miltaire, Médaille coloniale, off. du Nichan-Iftikhar, Lieutena"
L1912-00069,ALBERTINI,palmes_academiques,France,officier,76,"Casa.glione, OIT. d'Aja.ccio (Corse) off. d'Académie, off. du Nichan-"
L1912-00069,ALBERTINI,nichan_iftikhar,Tunisia,officier,94,"d'Aja.ccio (Corse) off. d'Académie, off. du Nichan-Iftikhar. Commissa"
L1912-00070,ALBOUY,palmes_academiques,France,officier,25,"ALBOUY. 1863. Officier d'Académie, officier du Nic"
L1912-00071,ALESSANDRI,nichan_iftikhar,Tunisia,officier,62,"e). 4 sent 186S. Coggia (Corse), officier du Nichan-Iftikhar, chev. du"
L1912-00072,ALESSANDRO',palmes_academiques,France,officier,77,"1869, Bari-delle-Paglie (Italie), officier d'Académie , chevalier de l"
L1912-00072,ALESSANDRO',couronne_italie,Italy,chevalier,104,"alie), officier d'Académie , chevalier de la Couronne d'Italie, ancien"
L1912-00080,ALIS,nichan_iftikhar,Tunisia,,216,brevet supérieur. Ancien directeur d'école à Pichon.
L1912-00081,ALIX,nichan_iftikhar,Tunisia,officier,84,"vigny-en-Revermont (Saône-et-Loire), off. du Nichan-Iftikhar. Directeu"
L1912-00082,ALIX,palmes_academiques,France,officier,75,"24 septembre 1S60, Tervay (Jura), 'off. de l'Instruction publique, com"
