node_id,label,node_type,subtype,birth_year,n_decorations,has_portrait,entry_length_chars,page,page_url
L1912-00034,AIACHI (),person_with_entry,justice_law,1873,0,1,631,5,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f29.item
L1912-00035,AIGROT (Charles),person_with_entry,industry_crafts,1876,0,0,386,5,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f29.item
L1912-00064,Alaoui (Collège),person_with_entry,education_science,,2,0,726,6,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f30.item
L1912-00065,Alaoui (Musée),person_with_entry,,1888,1,0,834,6,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f30.item
L1912-00066,ALAPETITE (Gabriel),person_with_entry,,,0,0,48,6,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f30.item
L1912-00067,ALBERT (Léon-Auguste),person_with_entry,,1860,2,0,307,7,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f31.item
L1912-00068,ALBERTINI (),person_with_entry,military,1858,4,1,558,7,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f31.item
L1912-00069,ALBERTINI (Paul),person_with_entry,,1865,2,0,203,7,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f31.item
L1912-00070,ALBOUY (),person_with_entry,military,1863,1,0,212,7,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f31.item
L1912-00071,ALESSANDRI (Pierre),person_with_entry,administration,1868,1,1,306,7,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f31.item
L1912-00072,ALESSANDRO' (),person_with_entry,education_science,1906,2,0,294,7,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f31.item
L1912-00074,Algérienne (L'),person_with_entry,,1902,0,0,333,8,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f32.item
L1912-00075,Algérienne (L),person_with_entry,,1903,0,0,330,8,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f32.item
L1912-00076,ALI-BEY (),person_with_entry,,,0,0,146,8,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f32.item
L1912-00077,ALI-BEY (),person_with_entry,,,0,0,460,8,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f32.item
L1912-00080,ALIS (Joseph-Pierre-François),person_with_entry,education_science,1880,1,0,223,9,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f33.item
L1912-00081,ALIX (Ernest-Adolphe),person_with_entry,,1880,1,0,565,9,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f33.item
L1912-00082,ALIX (Jacques-Marie-Auguste),person_with_entry,education_science,1860,2,0,260,9,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f33.item
L1912-00083,ALLEMAND (Antoine),person_with_entry,education_science,1876,4,1,6193,9,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f33.item
L1912-00089,AMAT J.-C.) 1856 (),person_with_entry,administration,,1,0,378,11,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f35.item
L1912-00092,AMURATH (),person_with_entry,,1700,0,0,97,11,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f35.item
L1912-00093,ANAGNOSTAKI (André),person_with_entry,,1865,1,0,346,11,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f35.item
L1912-00094,ANCONA (Ginseppe D'),person_with_entry,medicine_health,1867,0,0,349,11,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f35.item
L1912-00095,AND RE AU (Georges),person_with_entry,industry_crafts,1871,0,0,219,11,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f35.item
L1912-00096,ANDRÉ (Louis),person_with_entry,education_science,1872,2,0,380,11,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f35.item
L1912-00097,ANDREANI (Philippe-Toussaint),person_with_entry,,1876,0,0,197,12,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f36.item
L1912-00098,ANGELOTTI (Albert),person_with_entry,justice_law,1880,1,0,385,12,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f36.item
L1912-00099,ANGLADE (Louis-Guillaume),person_with_entry,engineering_architecture,1851,2,1,595,12,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f36.item
L1912-00103,Annual (L'),person_with_entry,administration,,0,0,228,12,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f36.item
L1912-00104,ANSELME (Philippe D'),person_with_entry,military,1864,3,0,8752,12,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f36.item
L1912-00105,ANTERRIEU (Auguste),person_with_entry,justice_law,1862,0,0,508,14,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f38.item
L1912-00106,ANTOINE (),person_with_entry,administration,1857,4,0,163,14,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f38.item
L1912-00107,ANTONINI (César),person_with_entry,administration,1870,0,0,546,14,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f38.item
L1912-00120,ARÈNE (Félicien-César-Calixte),person_with_entry,administration,1863,2,1,1044,26,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f50.item
L1912-00121,ARGOUD (Léon-Louis),person_with_entry,justice_law,1869,1,0,375,26,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f50.item
L1912-00123,ARMAND (André-Alphonse),person_with_entry,,1854,2,0,617,26,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f50.item
L1912-00124,ARMAND (André-Ernest-Emile),person_with_entry,administration,1874,2,0,791,26,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f50.item
L1912-00127,ARNOL (Clément),person_with_entry,justice_law,1853,0,0,210,31,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f55.item
L1912-00128,ARNOULD (Louis-Victorien-Alexandre),person_with_entry,education_science,1887,0,0,848,31,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f55.item
L1912-00129,ARNOUX (Jules),person_with_entry,commerce,,3,0,196,31,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f55.item
L1912-00130,ARRAGON (Henri),person_with_entry,medicine_health,1860,5,1,3010,31,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f55.item
L1912-00134,ASPERGÉS (Pierre),person_with_entry,education_science,1862,1,0,246,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item
L1912-00168,ASTOIN-SIELGE (Joseph-Charles),person_with_entry,diplomacy,,0,0,125,39,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f63.item
L1912-00170,ATGER (François-Emile),person_with_entry,religion,1834,2,0,558,39,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f63.item
L1912-00171,ATHENOSY (Lucien-Henri),person_with_entry,medicine_health,1852,1,0,384,39,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f63.item
L1912-00172,ATTIA (G.),person_with_entry,,1864,4,0,969,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00173,AUBERT (Godefroy),person_with_entry,military,,1,0,350,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00174,AUBRY (Paul-Alexandre),person_with_entry,administration,,0,0,220,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00175,AUCOUTURIER (Etienne),person_with_entry,industry_crafts,1867,0,1,795,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00176,AUDEMARD (Barthélémy-Julien),person_with_entry,commerce,1851,2,0,411,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00177,AUDINEAU (Louis),person_with_entry,engineering_architecture,1872,1,0,275,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00178,AUGIAS (Lôon-Tliéoplijile-AQexandre),person_with_entry,,1880,1,1,921,40,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f64.item
L1912-00180,AUNIS (),person_with_entry,education_science,1869,1,0,142,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00181,AURANGE (),person_with_entry,military,1879,0,0,184,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00182,AURBACHER (François),person_with_entry,commerce,,1,0,191,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00183,AURÈS (Paul),person_with_entry,,1873,3,1,552,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00184,AUSSENAC (),person_with_entry,administration,1874,1,0,164,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00186,AUVIN (Pierre),person_with_entry,commerce,1861,1,1,462,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00188,AUZEPY (Edmond),person_with_entry,,1861,1,0,1234,41,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f65.item
L1912-00189,Avenir (L'),person_with_entry,,1908,0,0,896,42,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f66.item
L1912-00190,Avenir du Prolétarait (L'),person_with_entry,administration,1894,0,0,1297,42,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f66.item
L1912-00191,Avenir du Prolétariat (L'),person_with_entry,military,1900,0,0,2903,42,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f66.item
L1912-00192,AVERSO (Pascal),person_with_entry,industry_crafts,1860,1,0,433,42,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f66.item
L1912-00193,AVIGDOR (Samuel),person_with_entry,,1870,2,0,1200,43,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f67.item
L1912-00200,AZERM (Alarc-Antoine-Joseph-Victor),person_with_entry,commerce,1861,1,0,236,44,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f68.item
L1912-00201,AZOUZ BEN HAMDA BEN AISSA (Mohamed),person_with_entry,military,1848,2,1,979,44,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f68.item
L1912-00204,BACCOUGHE (Salah),person_with_entry,politics_native_admin,1865,4,0,355,45,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f69.item
L1912-00207,BACH-HAMBA (Ali),person_with_entry,justice_law,1879,2,1,653,45,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f69.item
L1912-00210,BADE (),person_with_entry,administration,1862,1,0,164,46,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f70.item
L1912-00211,BADER (Emile-Georges),person_with_entry,military,1853,3,0,442,46,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f70.item
L1912-00217,BAILLE (Marie-Alexandre-Désiré),person_with_entry,education_science,1861,2,1,804,46,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f70.item
L1912-00218,BAILLEAÛ (Gaston-Léon),person_with_entry,agriculture,1882,1,0,189,47,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f71.item
L1912-00219,BAILLY (Fernancl),person_with_entry,medicine_health,1851,1,1,1024,47,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f71.item
L1912-00220,BALANDE (Caries),person_with_entry,industry_crafts,,3,0,207,47,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f71.item
L1912-00221,BALDY (Jules),person_with_entry,justice_law,1858,1,0,356,47,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f71.item
L1912-00228,BARBAIS (Georges-Ferdinand),person_with_entry,engineering_architecture,1861,3,0,900,48,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f72.item
L1912-00229,BARBARAT (Aimé-Eugène),person_with_entry,military,1859,1,1,1130,48,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f72.item
L1912-00230,BARBIER (Claude),person_with_entry,administration,1874,1,0,265,48,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f72.item
L1912-00231,BARBOT (Hippolyle-Pierre),person_with_entry,industry_crafts,1866,1,0,1356,48,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f72.item
L1912-00234,BARÊS (Jean),person_with_entry,administration,1865,1,0,305,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00235,BARET (Emmanuel),person_with_entry,justice_law,1874,0,0,360,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00237,BARLIER (Justin),person_with_entry,commerce,1867,1,0,296,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00238,BARNAY (Henri),person_with_entry,commerce,1878,1,0,530,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00239,BAROGHE (Jean-Jules-Léon),person_with_entry,press_letters_arts,1866,1,0,594,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00240,BARON (Paul-Auguste-Jean),person_with_entry,engineering_architecture,1856,1,0,574,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00241,BARRATE (Gustave),person_with_entry,,,0,0,279,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00243,BARRIOULET (Pierre),person_with_entry,military,1875,2,0,378,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00244,BARSOTTI (Benoît),person_with_entry,engineering_architecture,1866,1,1,601,49,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f73.item
L1912-00245,BARTHOLOMË (Jules-Albert),person_with_entry,,1866,7,0,894,50,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f74.item
L1912-00246,BARUË (Gaslon-Henri-Jean-René),person_with_entry,administration,1869,3,1,689,50,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f74.item
L1912-00247,BASTIDE (),person_with_entry,medicine_health,1847,2,0,928,50,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f74.item
L1912-00248,BASTIEN (Emilien),person_with_entry,administration,1848,4,0,610,50,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f74.item
L1912-00250,BATT (Sigvard),person_with_entry,commerce,1869,3,0,579,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00252,BATTEROZE (Virgile),person_with_entry,finance_banking,1864,0,0,697,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00253,BAYLE (Marius),person_with_entry,administration,1859,2,0,254,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00254,BAYLE (Joseph),person_with_entry,diplomacy,1701,0,0,238,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00256,BEAUPIN (Henri),person_with_entry,medicine_health,1844,0,0,383,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00257,BEAUQUIER (Clodion),person_with_entry,education_science,1868,1,0,511,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00258,BEAUSSIER (Bonaventure),person_with_entry,military,,0,0,339,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00259,BEC (Henri-Auguste),person_with_entry,administration,1871,3,0,360,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
L1912-00260,BÉCHARD (Léon),person_with_entry,military,,0,1,107,51,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f75.item
