entry_id,surname,forenames,community,community_group,confidence,evidence,competing_categories,birth_year,birth_place,occupation_primary,n_decorations,has_legion_honneur,has_nichan_iftikhar,n_chars,n_portraits,page_first
L1912-00231,BARBOT,Hippolyle-Pierre,european_french,european,high,birth_france,,1866,Faverolles-sur-Cher,industry_crafts,1,0,1,1356,0,48
L1912-00234,BARÊS,Jean,unknown,unknown,,,,1865,Le Piau,administration,1,0,1,305,0,49
L1912-00235,BARET,Emmanuel,european_french,european,high,birth_france,,1874,Marseillan,justice_law,0,0,0,360,0,49
L1912-00237,BARLIER,Justin,european_french,european,medium,birth_algeria,,1867,Oran,commerce,1,0,1,296,0,49
L1912-00238,BARNAY,Henri,unknown,unknown,,birth_tunisia,,1878,Tunis,commerce,1,0,1,530,0,49
L1912-00239,BAROGHE,Jean-Jules-Léon,european_french,european,high,birth_france,,1866,Arnay-le-Duc,press_letters_arts,1,0,1,594,0,49
L1912-00240,BARON,Paul-Auguste-Jean,european_french,european,high,birth_france,,1856,Lyon,engineering_architecture,1,0,1,574,0,49
L1912-00241,BARRATE,Gustave,unknown,unknown,,,,,,,0,0,0,279,0,49
L1912-00243,BARRIOULET,Pierre,european_french,european,high,birth_france,,1875,Toulouse,military,2,0,1,378,0,49
L1912-00244,BARSOTTI,Benoît,unknown,unknown,,birth_tunisia,,1866,Tunis,engineering_architecture,1,0,1,601,1,49
L1912-00245,BARTHOLOMË,Jules-Albert,unknown,unknown,,,,1866,Saclas,,7,1,1,894,0,50
L1912-00246,BARUË,Gaslon-Henri-Jean-René,european_french,european,high,birth_france,,1869,Brest,administration,3,0,1,689,2,50
L1912-00247,BASTIDE,,european_french,european,high,birth_france,,1847,Cahors,medicine_health,2,1,1,928,0,50
L1912-00248,BASTIEN,Emilien,unknown,unknown,,,,1848,,administration,4,1,0,610,0,50
L1912-00250,BATT,Sigvard,european_other,european,high,birth_norway,,1869,Flekkefjord,commerce,3,1,1,579,0,51
L1912-00252,BATTEROZE,Virgile,european_french,european,high,birth_france,,1864,Bevenge,finance_banking,0,0,0,697,0,51
L1912-00253,BAYLE,Marius,european_french,european,high,birth_france,,1859,Annonay,administration,2,0,1,254,0,51
L1912-00254,BAYLE,Joseph,unknown,unknown,,,,1701,,diplomacy,0,0,0,238,0,51
L1912-00256,BEAUPIN,Henri,european_french,european,high,birth_france,,1844,Bonny-sur-Loire,medicine_health,0,0,0,383,0,51
L1912-00257,BEAUQUIER,Clodion,european_french,european,high,birth_france,,1868,Saint-Bazille-de-Alontmel,education_science,1,0,1,511,0,51
L1912-00258,BEAUSSIER,Bonaventure,unknown,unknown,,,,,,military,0,0,0,339,0,51
L1912-00259,BEC,Henri-Auguste,european_french,european,high,birth_france,,1871,Urau,administration,3,0,1,360,0,51
L1912-00260,BÉCHARD,Léon,unknown,unknown,,,,,,military,0,0,0,107,1,51
L1912-00262,BECHIR-BEY,Prince,tunisian_muslim,tunisian,medium,honorific,,1880,La Alarsa,military,1,1,0,381,1,52
L1912-00265,BELAISCH,Isaac,unknown,unknown,,birth_tunisia,,1856,Tunis,industry_crafts,0,0,0,103,0,52
L1912-00266,BELAISCH,Aloïse,tunisian_jewish,tunisian,high,jewish_institution;birth_tunisia,,1879,Tunis,industry_crafts,0,0,0,152,0,52
L1912-00267,BELAISCH,Samuel,tunisian_jewish,tunisian,medium,member_of:jewish_body;birth_tunisia,,1874,Tunis,industry_crafts,0,0,0,213,0,52
L1912-00268,BEL AJOUZA,Salah,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia;nasab_particle,,1880,Sousse,justice_law,0,0,0,594,0,52
L1912-00269,BELISAIRE,,unknown,unknown,,,,,,military,0,0,0,146,0,52
L1912-00270,BEL KHODJA,Mohamed,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia;nasab_particle,,1869,Tunis,,2,1,0,1099,1,52
L1912-00271,BELLAICH,Adolphe,tunisian_jewish,tunisian,high,jewish_institution;member_of:jewish_body;birth_tunisia,,1873,Tunis,diplomacy,0,0,0,465,0,53
L1912-00273,BELLÏSSEN,Joseph,unknown,unknown,,,,1865,Alarseille,commerce,2,0,1,324,0,53
L1912-00274,BELLOT,Jean-Ernest,unknown,unknown,,,,1854,L'Argentière,politics_native_admin,5,1,1,1491,1,53
L1912-00275,BELTRANO,Ignazio,unknown,unknown,,,,,,commerce,0,0,0,38,0,53
L1912-00276,BEMBARON,Gino,tunisian_jewish,tunisian,high,jewish_institution;birth_tunisia,,1878,Tunis,,0,0,0,308,0,53
L1912-00281,BENAZET,Aristide,european_french,european,high,birth_france,,1881,Villasavary,,2,0,1,729,0,53
L1912-00283,BENCHI,Victor,unknown,unknown,,birth_tunisia,,1873,Sfax,transport_maritime,0,0,0,56,0,54
L1912-00286,BENEDETTI,,european_italian,european,high,birth_italy,,1872,Turin,education_science,1,0,0,1103,0,54
L1912-00287,BENETTI,Camille,european_french,european,high,birth_france,,1860,Viggianella,religion,0,0,0,517,2,54
L1912-00301,BEN KHALIFA,Alohamed,tunisian_muslim,tunisian,high,muslim_office;islamic_school;birth_tunisia;nasab_particle,,1852,Gabès,politics_native_admin,2,1,1,355,0,55
L1912-00304,BENOIT,François-Xavier,european_french,european,high,birth_france,,1854,A'Iaurat,engineering_architecture,0,0,0,3357,0,55
L1912-00305,BEN SALAH,Ahmed,tunisian_muslim,tunisian,medium,islamic_school;nasab_particle,,,,education_science,0,0,0,118,0,55
L1912-00306,BENSASSON,,european_italian,european,high,italian_institution;member_of:italian_body;birth_tunisia,,1854,Tunis,commerce,2,0,1,450,0,55
L1912-00307,BENSASSON,Umberto,european_italian,european,high,italian_institution;member_of:italian_body,,,,military,0,0,0,326,0,55
L1912-00308,BÉRARD,Antonïn,tunisian_muslim,tunisian,medium,islamic_school,,1862,,,2,0,1,427,1,56
L1912-00309,BERGE,Stéphane,european_french,european,high,birth_france,,1852,Romorantin,justice_law,3,1,1,1084,1,56
L1912-00310,BERGTOLD,Georges,european_french,european,medium,birth_algeria,,1876,Alger,education_science,1,0,0,296,0,56
L1912-00311,BERHAULT,Jean,european_french,european,high,birth_france,,1870,SaintAlalo,military,0,0,0,270,0,56
L1912-00312,BËRIEL,Philippe,european_french,european,high,birth_france,,1877,Lyon,military,3,0,1,1033,0,56
L1912-00314,BERKELEY,Ernest- James - Lennox,unknown,unknown,,,,1857,,diplomacy,0,0,0,425,0,57
L1912-00315,BERNARD,Paul,unknown,unknown,,,,1867,,military,1,0,1,218,0,57
L1912-00316,BERNE,Jean-Marie,european_french,european,high,islamic_school;birth_france,tunisian_muslim,1866,Pé rouges,education_science,3,0,1,286,1,57
L1912-00317,BEROLSHEIMER,V.,european_italian,european,high,birth_italy,,1865,Livourne,,0,0,0,567,1,57
L1912-00318,BERRA,J,unknown,unknown,,,,1886,Direcl,commerce,0,0,0,93,0,57
L1912-00319,BERTAINCHAND,Ernest,european_french,european,high,birth_france,,1864,Saint-Armand-les-Eaux,engineering_architecture,5,1,0,3425,4,57
L1912-00320,BERTIN,Célestin,european_french,european,high,member_of:french_settler_body;birth_france,,1870,Entremont-le-Vieux,,2,0,1,713,0,58
L1912-00321,BERTHON,Louis,european_french,european,high,birth_france,,1864,Lavaveix-les-Mines,engineering_architecture,2,0,1,114,0,58
L1912-00322,BERTIN,,european_french,european,high,birth_france,,1872,Entremont-le-Vieux,,0,0,0,272,0,58
L1912-00323,BERTRAND,Joseph,european_french,european,high,birth_france,,1868,Paris,industry_crafts,2,0,1,713,1,59
L1912-00324,BERTRAND,Alarius-Louis-Joseph,unknown,unknown,,birth_tunisia,,1863,Tunis,,0,0,0,218,1,59
L1912-00326,BESSIERE,Victor - Lucien - Etienne,unknown,unknown,,,,,,justice_law,2,0,1,220,0,59
L1912-00327,BESSIS,Eugène,tunisian_jewish,tunisian,high,jewish_institution,,,,finance_banking,1,0,1,192,0,59
L1912-00328,BESSIS,Nessim,tunisian_jewish,tunisian,high,jewish_institution;birth_tunisia,,1870,Sousse,commerce,1,1,0,1377,0,59
L1912-00334,BEYNA,Auguste - Gabriel,european_french,european,high,birth_france,,1858,Metz,,3,0,1,498,0,60
L1912-00336,BEZZINA,André,unknown,unknown,,birth_tunisia,,1874,Sousse,commerce,0,0,0,58,0,60
L1912-00340,BIGHE-LATOUR,Gustave - ThibaultFrançois-Nicolas,european_italian,european,low,italian_institution;birth_france,european_italian;european_french,1858,Versailles,military,4,1,1,1135,0,61
L1912-00342,BIGNENS,Lucien-Jules,european_other,european,high,member_of:french_settler_body;birth_switzerland,,1844,Vaulion,administration,1,0,0,1325,1,61
L1912-00343,BIGORRE,Louis,european_french,european,high,birth_france,,1862,Toulouse,transport_maritime,2,0,1,274,0,61
L1912-00344,BIGOT,Henri,european_french,european,high,birth_france,,1874,Brienon,education_science,2,0,1,1060,0,62
L1912-00346,BILLON,François-Joseph,unknown,unknown,,,,,,diplomacy,1,0,0,110,0,62
L1912-00347,BILLY,Drausin,european_french,european,high,birth_france,,1851,Fontaines-Fourche,agriculture,0,0,0,944,2,62
L1912-00360,BISGH,Marie-Lucien-Arsène,european_french,european,high,birth_france,,1854,Strasbourg,,2,1,1,913,1,63
L1912-00361,BISMUTH,Joseph,unknown,unknown,,birth_tunisia,,1867,Tunis,industry_crafts,2,0,1,225,0,63
L1912-00365,BLANC,Alarius,unknown,unknown,,,,,,education_science,2,0,1,543,0,65
L1912-00366,BLANC,Urbain,unknown,unknown,,,,1862,,military,2,1,0,732,1,65
L1912-00367,BLANCHÈRÈ,R. DU COUDRAY DE LA,unknown,unknown,,,,,,education_science,1,0,0,1596,0,65
L1912-00368,BLAVIER,Albert,unknown,unknown,,,,1866,Douai,justice_law,0,0,0,422,0,65
L1912-00374,B O E R N E R,Gustave-Adolphe,european_french,european,high,birth_france,,1839,Strasbourg,justice_law,0,0,0,316,0,66
L1912-00376,BOEUF,Félicien,unknown,unknown,,,,,,military,3,0,1,374,0,66
L1912-00377,BOEUF,,unknown,unknown,,birth_tunisia,,1864,Tunis,military,5,0,1,489,0,66
L1912-00378,BOIANOWSKI,,unknown,unknown,,,,1866,Berlin,diplomacy,1,0,1,402,0,66
L1912-00379,BOIZEL,Auguste,unknown,unknown,,,,1877,Epernay,agriculture,2,0,1,185,0,67
L1912-00380,BONAN,Abraham,tunisian_jewish,tunisian,high,jewish_institution;member_of:jewish_body;birth_tunisia,,1878,Tunis,medicine_health,1,0,1,1005,0,67
L1912-00381,BONAN,Jules,tunisian_jewish,tunisian,high,islamic_school;jewish_institution,tunisian_muslim,1876,,education_science,2,0,1,3807,2,67
L1912-00384,BONNAND,Jules-Antoine,european_french,european,high,islamic_school;birth_france,tunisian_muslim,1854,Saint-Didier-sur-Riverie,military,2,0,1,291,0,68
L1912-00385,BONNEFOND,Louis - Alariei- HenriEdouard,european_french,european,high,birth_france,,1848,Saulzais-le-Poslier,,1,0,0,542,0,68
L1912-00386,BONNET,Edmond,unknown,unknown,,,,,,,0,0,0,311,1,68
L1912-00387,BONNET,Prosper,european_french,european,high,birth_france,,1867,Tarascon,transport_maritime,0,0,0,118,0,68
L1912-00388,BORDENET,Désiré,european_french,european,high,birth_france,,1878,Tenay,education_science,1,0,0,419,0,68
L1912-00389,BORDES,Jean,unknown,unknown,,,,1854,Lacasse,education_science,2,0,1,785,0,68
L1912-00401,BORGEL,Elie,unknown,unknown,,birth_tunisia,,1880,Tunis: Ingénieur civil,engineering_architecture,0,0,0,1038,0,69
L1912-00403,BORROMEI,Thomas,european_french,european,high,birth_france,,1870,Novale,education_science,2,0,1,316,0,69
L1912-00404,BORTINO,Jean-Baptiste,unknown,unknown,,,,1860,,,1,0,0,289,1,69
L1912-00405,BOST,Etienne-Augustin,european_french,european,high,birth_france,,1858,Sainl-Nazaire,,2,0,1,891,1,70
L1912-00406,BOTTESINI,Archimôde,european_italian,european,high,italian_institution;member_of:italian_body,,1854,,military,4,1,0,502,0,70
L1912-00410,BOUBES,Joseph-André,unknown,unknown,,,,1880,Ctignaux,justice_law,0,0,0,420,0,70
L1912-00411,BOUBILA,Jean-Théophile,unknown,unknown,,,,1706,,,1,0,0,1082,0,70
L1912-00415,BOUCHET,Léopold-Marius,tunisian_muslim,tunisian,medium,islamic_school;member_of:muslim_body;birth_france,european_french,1860,Marseille,hospitality_services,2,0,1,989,0,71
L1912-00416,BOUDET,Raymond - Bernard - PierreLouis,european_french,european,high,birth_france,,1867,Caslelmoron-surLol,finance_banking,2,0,1,738,0,71
L1912-00423,BOUHAGEB,Ahmed,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia,,1873,Tunis,justice_law,0,0,0,235,0,72
L1912-00424,BOUHAGEB,Housseïn,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia,,1872,Tunis,,1,0,0,755,0,72
L1912-00428,BOULAKIA,Joseph,unknown,unknown,,birth_tunisia,,1881,Tunis,medicine_health,0,0,0,154,0,72
L1912-00430,BOULLIER,Jules-Emile,european_french,european,high,birth_france,,1873,Lyon,,2,0,1,735,1,72
L1912-00432,BOUNIN,Edoiiard-Emile-Ph'ilibert,european_french,european,medium,birth_algeria,,1859,Bône,justice_law,2,0,1,1166,0,73
L1912-00437,BOURDOT,,unknown,unknown,,,,1865,,administration,2,0,1,207,0,73
L1912-00441,BOURGADE,François,unknown,unknown,,,,1806,Ordonné prêtre en 1832,justice_law,2,1,1,2599,0,73
L1912-00442,BOURGEOIS,Alphonse,unknown,unknown,,,,1865,SaintJean-sur Veyle,administration,1,0,1,1366,0,74
L1912-00443,BOURGEON,Philibert,european_italian,european,low,italian_institution;birth_france,european_italian;european_french,1859,Dijon,justice_law,6,1,1,1450,1,74
L1912-00444,BOURGET,Eloi,unknown,unknown,,,,,,,3,0,1,1139,0,74
L1912-00448,BOUSSEN,Manoubi,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia,,1867,Tunis,,4,1,1,1874,0,75
L1912-00449,BOUYAG,René,european_french,european,medium,birth_algeria,,1859,Oran,,2,0,1,116,0,75
L1912-00450,BOYER DE SAINT-GERVAIS,Jacques,unknown,unknown,,,,,,diplomacy,0,0,0,369,1,75
L1912-00451,BOYER,Jean,unknown,unknown,,,,,,politics_native_admin,0,0,0,162,0,75
L1912-00452,BRANDENBURG,Godefrov,unknown,unknown,,,,1850,La,,1,0,0,284,0,75
L1912-00453,BRAQUEYAHE,Jules-Pie-Louis,european_french,european,high,birth_france,,1865,Thiais,,2,0,1,2567,2,75
L1912-00454,BREART,Jules-Aimé,european_french,european,high,birth_france,,1826,Grenoble,military,1,1,0,868,0,76
L1912-00455,BREFORT,Anlonin,unknown,unknown,,,,,,education_science,2,0,1,246,0,76
L1912-00456,BREIEAN,Paul - Auguste - René,european_french,european,high,birth_france,,1884,Paris,,0,0,0,346,0,76
L1912-00457,BRESSON,Henri,unknown,unknown,,,,1838,,,3,1,1,391,0,76
L1912-00458,BRIERE,Emile,european_french,european,high,birth_france,,1861,Chartres,diplomacy,3,1,1,721,0,76
L1912-00460,BRIGNONE,Pierre,european_italian,european,high,italian_institution;member_of:italian_body,,1852,Pantellaria,,2,0,1,946,1,77
L1912-00461,BRISSE,Joseph-Ernest,european_french,european,high,birth_france,,1854,Amanty,military,2,1,1,1015,0,77
L1912-00462,BROC,,unknown,unknown,,,,,,medicine_health,0,0,0,181,0,77
L1912-00463,BROIDO,,european_other,european,high,birth_russia,,1868,Russie,medicine_health,0,0,0,872,0,77
L1912-00465,BROUTIER DU PAVILLON,Jules-Eugène,european_french,european,high,birth_france,,1854,Paris,engineering_architecture,3,0,1,529,0,77
L1912-00466,BRUCH,Alfred,european_french,european,medium,birth_algeria,,1867,Alger,medicine_health,1,0,0,957,1,77
L1912-00467,BRULE,Léa,unknown,unknown,,,,,,,2,0,1,417,0,78
L1912-00468,BRUN,Marins,unknown,unknown,,,,,,education_science,0,0,0,184,0,78
L1912-00470,BRUSSIAU,Albert,european_french,european,medium,birth_algeria,,1871,Philippevile,commerce,0,0,0,794,0,78
L1912-00471,BUGEIA,Lorenzo,unknown,unknown,,birth_tunisia,,1858,Tunis,,0,0,0,163,0,78
L1912-00472,BUISSON,Benjamin-Paul,european_french,european,high,birth_france,,1846,Paris,administration,3,1,1,2027,1,78
L1912-00473,BULLA-RËGIA,,european_french,european,low,member_of:french_settler_body,,,,religion,2,0,1,1705,1,79
