entry_id,surname,forenames,community,community_group,confidence,evidence,competing_categories,birth_year,birth_place,occupation_primary,n_decorations,has_legion_honneur,has_nichan_iftikhar,n_chars,n_portraits,page_first
L1912-00001,ABADIE,Jean,unknown,unknown,,,,1862,Blaye,engineering_architecture,1,0,1,430,1,1
L1912-00003,ABDELLI,Ali,tunisian_muslim,tunisian,high,muslim_office;islamic_school;birth_tunisia,,1840,Tunis,justice_law,1,0,1,340,0,1
L1912-00004,ABDELLI,Mohamed,tunisian_muslim,tunisian,high,muslim_office;islamic_school;birth_tunisia,,1879,Oukil près les iriDunaux tunisiens,justice_law,0,0,0,282,1,1
L1912-00006,ABD UL WAHAB,Hassen-I-Iusny,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia;nasab_particle,,1883,Tunis,administration,2,0,1,609,0,1
L1912-00007,ABEASIS,Isaac,european_other,european,high,birth_egypt,,1882,Alexandrie,justice_law,0,0,0,320,0,1
L1912-00008,ABEASIS,Moïse,european_other,european,high,birth_egypt,,1856,Alexandrie,justice_law,0,0,0,312,0,1
L1912-00010,ABITA,Joseph,european_italian,european,high,member_of:italian_body;birth_italy,,1856,Trapani,industry_crafts,1,0,1,1263,1,1
L1912-00011,ABRIBAT,Jules-Bernard,tunisian_muslim,tunisian,high,muslim_office;birth_algeria,european_french,1858,Blida',administration,4,1,1,1096,1,2
L1912-00016,ADANSON,Jean-Baptiste,unknown,unknown,,,,1765,La Seyde,administration,0,0,0,197,0,3
L1912-00017,ADDA,Daniel,european_french,european,medium,birth_algeria,,1865,Constantine,medicine_health,1,0,1,466,0,3
L1912-00018,ADDA,Meyer,european_french,european,medium,birth_algeria,,1878,Constantine,medicine_health,0,0,0,549,0,3
L1912-00021,ADRAGNA,Giacomo,european_italian,european,high,birth_italy,,1870,Alcamo,medicine_health,0,0,0,433,0,3
L1912-00022,AFRIGAN,Charles,unknown,unknown,,,,1883,,administration,1,0,1,523,0,3
L1912-00028,AGNEL,,unknown,unknown,,,,1875,,administration,1,0,1,106,0,4
L1912-00031,AHMED BEN OTHMAN,SI,tunisian_muslim,tunisian,medium,member_of:muslim_body;nasab_particle;honorific,,1840,,military,3,1,1,2182,0,4
L1912-00034,AIACHI,,tunisian_muslim,tunisian,medium,member_of:muslim_body;birth_tunisia,,1873,Sousse,justice_law,0,0,0,631,1,5
L1912-00035,AIGROT,Charles,european_french,european,high,birth_france,,1876,Chamblay,industry_crafts,0,0,0,386,0,5
L1912-00064,Alaoui,Collège,unknown,unknown,,,,,,education_science,2,0,0,726,0,6
L1912-00065,Alaoui,Musée,unknown,unknown,,,,1888,,,1,0,0,834,0,6
L1912-00066,ALAPETITE,Gabriel,unknown,unknown,,,,,,,0,0,0,48,0,6
L1912-00067,ALBERT,Léon-Auguste,european_italian,european,low,member_of:italian_body;member_of:jewish_body;member_of:french_settler_body;birth_algeria,european_italian;tunisian_jewish;european_french,1860,Alger,,2,0,1,307,0,7
L1912-00068,ALBERTINI,,european_french,european,high,birth_france,,1858,Vescovato,military,4,1,1,558,1,7
L1912-00069,ALBERTINI,Paul,unknown,unknown,,,,1865,Casa,,2,0,1,203,0,7
L1912-00070,ALBOUY,,unknown,unknown,,,,1863,,military,1,0,0,212,0,7
L1912-00071,ALESSANDRI,Pierre,european_french,european,high,birth_france,,1868,Coggia,administration,1,0,1,306,1,7
L1912-00072,ALESSANDRO',,european_italian,european,high,italian_institution,,1906,,education_science,2,0,0,294,0,7
L1912-00074,Algérienne,L',unknown,unknown,,,,1902,But : amical et mutuel,,0,0,0,333,0,8
L1912-00075,Algérienne,L,unknown,unknown,,,,1903,Local à la Brasserie Maxéville,,0,0,0,330,0,8
L1912-00076,ALI-BEY,,tunisian_muslim,tunisian,medium,honorific,,,,,0,0,0,146,0,8
L1912-00077,ALI-BEY,,tunisian_muslim,tunisian,medium,honorific,,,,,0,0,0,460,0,8
L1912-00080,ALIS,Joseph-Pierre-François,european_french,european,high,birth_france,,1880,Sigean,education_science,1,0,1,223,0,9
L1912-00081,ALIX,Ernest-Adolphe,european_french,european,high,birth_france,,1880,Savigny-en-Revermont,,1,0,1,565,0,9
L1912-00082,ALIX,Jacques-Marie-Auguste,european_french,european,high,birth_france,,1860,Tervay,education_science,2,0,1,260,0,9
L1912-00083,ALLEMAND,Antoine,european_french,european,high,islamic_school;birth_france,tunisian_muslim,1876,Lyon,education_science,4,0,1,6193,1,9
L1912-00089,AMAT J.-C.) 1856,,european_french,european,low,member_of:french_settler_body,,,,administration,1,0,1,378,0,11
L1912-00092,AMURATH,,unknown,unknown,,,,1700,,,0,0,0,97,0,11
L1912-00093,ANAGNOSTAKI,André,european_other,european,high,birth_greece,,1865,Athènes,,1,1,0,346,0,11
L1912-00094,ANCONA,Ginseppe D',european_italian,european,medium,member_of:italian_body,,1867,Pa,medicine_health,0,0,0,349,0,11
L1912-00095,AND RE AU,Georges,european_french,european,high,birth_france,,1871,Toulouse,industry_crafts,0,0,0,219,0,11
L1912-00096,ANDRÉ,Louis,european_french,european,high,birth_france,,1872,Paris,education_science,2,0,1,380,0,11
L1912-00097,ANDREANI,Philippe-Toussaint,european_french,european,high,birth_france,,1876,Vico,,0,0,0,197,0,12
L1912-00098,ANGELOTTI,Albert,european_italian,european,medium,member_of:italian_body,,1880,,justice_law,1,0,1,385,0,12
L1912-00099,ANGLADE,Louis-Guillaume,european_french,european,high,member_of:muslim_body;birth_france,tunisian_muslim,1851,Rodez,engineering_architecture,2,0,1,595,1,12
L1912-00103,Annual,L',unknown,unknown,,,,,,administration,0,0,0,228,0,12
L1912-00104,ANSELME,Philippe D',european_french,european,high,birth_france,,1864,Voreppe,military,3,1,0,8752,0,12
L1912-00105,ANTERRIEU,Auguste,european_french,european,high,birth_france,,1862,Gigean,justice_law,0,0,0,508,0,14
L1912-00106,ANTOINE,,unknown,unknown,,,,1857,,administration,4,1,1,163,0,14
L1912-00107,ANTONINI,César,european_french,european,high,birth_france,,1870,Caggia,administration,0,0,0,546,0,14
L1912-00120,ARÈNE,Félicien-César-Calixte,european_french,european,high,birth_france,,1863,Aix-en-Provence,administration,2,0,1,1044,1,26
L1912-00121,ARGOUD,Léon-Louis,unknown,unknown,,,,1869,L'Al ben c,justice_law,1,0,1,375,0,26
L1912-00123,ARMAND,André-Alphonse,european_french,european,high,birth_france,,1854,Saint-Montant,,2,1,1,617,0,26
L1912-00124,ARMAND,André-Ernest-Emile,unknown,unknown,,,,1874,,administration,2,0,1,791,0,26
L1912-00127,ARNOL,Clément,european_french,european,high,birth_france,,1853,Domène,justice_law,0,0,0,210,0,31
L1912-00128,ARNOULD,Louis-Victorien-Alexandre,european_french,european,medium,birth_algeria,,1887,Philippeville,education_science,0,0,0,848,0,31
L1912-00129,ARNOUX,Jules,unknown,unknown,,,,,,commerce,3,0,1,196,0,31
L1912-00130,ARRAGON,Henri,european_french,european,high,birth_france,,1860,Paris,medicine_health,5,1,1,3010,1,31
L1912-00134,ASPERGÉS,Pierre,european_french,european,high,birth_france,,1862,Toulouse,education_science,1,0,1,246,0,32
L1912-00168,ASTOIN-SIELGE,Joseph-Charles,unknown,unknown,,,,,,diplomacy,0,0,0,125,0,39
L1912-00170,ATGER,François-Emile,european_french,european,high,birth_france,,1834,Saint-Jean-du-Gard,religion,2,0,0,558,0,39
L1912-00171,ATHENOSY,Lucien-Henri,european_french,european,high,birth_france,,1852,Cavaillon,medicine_health,1,0,1,384,0,39
L1912-00172,ATTIA,G.,european_italian,european,high,italian_institution;member_of:italian_body;birth_tunisia,,1864,Tunis,,4,1,0,969,0,40
L1912-00173,AUBERT,Godefroy,unknown,unknown,,,,,,military,1,0,0,350,0,40
L1912-00174,AUBRY,Paul-Alexandre,unknown,unknown,,,,,,administration,0,0,0,220,0,40
L1912-00175,AUCOUTURIER,Etienne,unknown,unknown,,,,1867,,industry_crafts,0,0,0,795,1,40
L1912-00176,AUDEMARD,Barthélémy-Julien,european_french,european,high,birth_france,,1851,Trans,commerce,2,0,0,411,0,40
L1912-00177,AUDINEAU,Louis,european_french,european,high,birth_france,,1872,Bordeaux,engineering_architecture,1,0,1,275,0,40
L1912-00178,AUGIAS,Lôon-Tliéoplijile-AQexandre,tunisian_muslim,tunisian,low,muslim_office;birth_italy,tunisian_muslim;european_italian,1880,Alilan,,1,0,0,921,1,40
L1912-00180,AUNIS,,unknown,unknown,,,,1869,,education_science,1,0,1,142,0,41
L1912-00181,AURANGE,,unknown,unknown,,,,1879,,military,0,0,0,184,0,41
L1912-00182,AURBACHER,François,unknown,unknown,,,,,,commerce,1,0,1,191,0,41
L1912-00183,AURÈS,Paul,european_french,european,high,birth_france,,1873,Valleranges,,3,0,1,552,1,41
L1912-00184,AUSSENAC,,unknown,unknown,,,,1874,,administration,1,0,0,164,0,41
L1912-00186,AUVIN,Pierre,european_french,european,high,birth_france,,1861,Ruffec,commerce,1,0,1,462,1,41
L1912-00188,AUZEPY,Edmond,unknown,unknown,,,,1861,Sa,,1,0,1,1234,0,41
L1912-00189,Avenir,L',unknown,unknown,,,,1908,Bur,,0,0,0,896,0,42
L1912-00190,Avenir du Prolétarait,L',european_french,european,high,birth_france,,1894,Siège social à Paris,administration,0,0,0,1297,0,42
L1912-00191,Avenir du Prolétariat,L',tunisian_muslim,tunisian,high,muslim_office,,1900,,military,0,0,0,2903,0,42
L1912-00192,AVERSO,Pascal,unknown,unknown,,birth_tunisia,,1860,Tunis,industry_crafts,1,0,1,433,0,42
L1912-00193,AVIGDOR,Samuel,tunisian_jewish,tunisian,low,jewish_institution;birth_ottoman_empire,tunisian_jewish;european_other,1870,Andrinople,,2,0,1,1200,0,43
L1912-00200,AZERM,Alarc-Antoine-Joseph-Victor,european_french,european,high,birth_france,,1861,Carcasonne,commerce,1,0,1,236,0,44
L1912-00201,AZOUZ BEN HAMDA BEN AISSA,Mohamed,tunisian_muslim,tunisian,medium,member_of:muslim_body;birth_tunisia;nasab_particle,,1848,Tebourba,military,2,1,1,979,2,44
L1912-00204,BACCOUGHE,Salah,tunisian_muslim,tunisian,high,muslim_office;islamic_school;birth_tunisia,,1865,Tunis,politics_native_admin,4,1,0,355,0,45
L1912-00207,BACH-HAMBA,Ali,tunisian_muslim,tunisian,medium,islamic_school;birth_tunisia,,1879,Tunis,justice_law,2,0,1,653,1,45
L1912-00210,BADE,,unknown,unknown,,,,1862,,administration,1,0,1,164,0,46
L1912-00211,BADER,Emile-Georges,european_french,european,high,birth_france,,1853,Reitwiller,military,3,1,1,442,0,46
L1912-00217,BAILLE,Marie-Alexandre-Désiré,european_french,european,high,birth_france,,1861,Manduel,education_science,2,0,1,804,2,46
L1912-00218,BAILLEAÛ,Gaston-Léon,european_french,european,high,birth_france,,1882,Paris,agriculture,1,0,1,189,0,47
L1912-00219,BAILLY,Fernancl,european_french,european,high,birth_france,,1851,Dôle,medicine_health,1,0,1,1024,2,47
L1912-00220,BALANDE,Caries,european_italian,european,high,italian_institution,,,,industry_crafts,3,0,1,207,0,47
L1912-00221,BALDY,Jules,european_french,european,high,birth_france,,1858,SaintPaul,justice_law,1,0,0,356,0,47
L1912-00228,BARBAIS,Georges-Ferdinand,european_french,european,high,birth_france,,1861,Paris,engineering_architecture,3,1,1,900,0,48
L1912-00229,BARBARAT,Aimé-Eugène,european_french,european,high,birth_france,,1859,Voussac,military,1,1,0,1130,2,48
L1912-00230,BARBIER,Claude,european_french,european,high,birth_france,,1874,Talissieu,administration,1,0,1,265,0,48
