entry_id,surname,forenames,gender,gender_confidence,gender_evidence,community,community_group,birth_year,occupation_primary,n_decorations,n_chars,n_portraits,page_first
L1912-00001,ABADIE,Jean,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1862,engineering_architecture,1,430,1,1
L1912-00003,ABDELLI,Ali,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1840,justice_law,1,340,0,1
L1912-00004,ABDELLI,Mohamed,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1879,justice_law,0,282,1,1
L1912-00006,ABD UL WAHAB,Hassen-I-Iusny,MALE,medium,masculine_forename,tunisian_muslim,tunisian,1883,administration,2,609,0,1
L1912-00007,ABEASIS,Isaac,MALE,medium,masculine_occupation;masculine_forename,european_other,european,1882,justice_law,0,320,0,1
L1912-00008,ABEASIS,Moïse,MALE,medium,masculine_occupation;masculine_forename,european_other,european,1856,justice_law,0,312,0,1
L1912-00010,ABITA,Joseph,MALE,medium,masculine_forename,european_italian,european,1856,industry_crafts,1,1263,1,1
L1912-00011,ABRIBAT,Jules-Bernard,MALE,medium,masculine_forename,tunisian_muslim,tunisian,1858,administration,4,1096,1,2
L1912-00016,ADANSON,Jean-Baptiste,MALE,medium,masculine_forename,unknown,unknown,1765,administration,0,197,0,3
L1912-00017,ADDA,Daniel,MALE,medium,masculine_forename,european_french,european,1865,medicine_health,1,466,0,3
L1912-00018,ADDA,Meyer,MALE,medium,masculine_forename,european_french,european,1878,medicine_health,0,549,0,3
L1912-00021,ADRAGNA,Giacomo,MALE,medium,masculine_forename,european_italian,european,1870,medicine_health,0,433,0,3
L1912-00022,AFRIGAN,Charles,MALE,medium,masculine_forename,unknown,unknown,1883,administration,1,523,0,3
L1912-00028,AGNEL,,UNKNOWN,,,unknown,unknown,1875,administration,1,106,0,4
L1912-00031,AHMED BEN OTHMAN,SI,MALE,medium,masculine_occupation,tunisian_muslim,tunisian,1840,military,3,2182,0,4
L1912-00034,AIACHI,,MALE,medium,masculine_occupation,tunisian_muslim,tunisian,1873,justice_law,0,631,1,5
L1912-00035,AIGROT,Charles,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1876,industry_crafts,0,386,0,5
L1912-00064,Alaoui,Collège,UNKNOWN,,,tunisian_muslim,tunisian,,education_science,2,726,0,6
L1912-00065,Alaoui,Musée,UNKNOWN,,,unknown,unknown,1888,,1,834,0,6
L1912-00066,ALAPETITE,Gabriel,MALE,medium,masculine_forename,unknown,unknown,,,0,48,0,6
L1912-00067,ALBERT,Léon-Auguste,MALE,medium,masculine_forename,european_italian,european,1860,,2,307,0,7
L1912-00068,ALBERTINI,,UNKNOWN,,,european_french,european,1858,military,4,558,1,7
L1912-00069,ALBERTINI,Paul,MALE,medium,masculine_forename,unknown,unknown,1865,,2,203,0,7
L1912-00070,ALBOUY,,UNKNOWN,,,unknown,unknown,1863,military,1,212,0,7
L1912-00071,ALESSANDRI,Pierre,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1868,administration,1,306,1,7
L1912-00072,ALESSANDRO',,MALE,medium,masculine_occupation,european_italian,european,1906,education_science,2,294,0,7
L1912-00074,Algérienne,L',UNKNOWN,,,unknown,unknown,1902,,0,333,0,8
L1912-00075,Algérienne,L,UNKNOWN,,,unknown,unknown,1903,,0,330,0,8
L1912-00076,ALI-BEY,,UNKNOWN,,,tunisian_muslim,tunisian,,,0,146,0,8
L1912-00077,ALI-BEY,,UNKNOWN,,,tunisian_muslim,tunisian,,,0,460,0,8
L1912-00080,ALIS,Joseph-Pierre-François,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1880,education_science,1,223,0,9
L1912-00081,ALIX,Ernest-Adolphe,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1880,,1,565,0,9
L1912-00082,ALIX,Jacques-Marie-Auguste,MALE,medium,masculine_forename,european_french,european,1860,education_science,2,260,0,9
L1912-00083,ALLEMAND,Antoine,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1876,education_science,4,6193,1,9
L1912-00089,AMAT J.-C.) 1856,,UNKNOWN,,,european_french,european,,administration,1,378,0,11
L1912-00092,AMURATH,,UNKNOWN,,,unknown,unknown,1700,,0,97,0,11
L1912-00093,ANAGNOSTAKI,André,MALE,medium,masculine_forename,european_other,european,1865,,1,346,0,11
L1912-00094,ANCONA,Ginseppe D',UNKNOWN,,,european_italian,european,1867,medicine_health,0,349,0,11
L1912-00095,AND RE AU,Georges,MALE,medium,masculine_forename,european_french,european,1871,industry_crafts,0,219,0,11
L1912-00096,ANDRÉ,Louis,MALE,medium,masculine_forename,european_french,european,1872,education_science,2,380,0,11
L1912-00097,ANDREANI,Philippe-Toussaint,MALE,medium,masculine_forename,european_french,european,1876,,0,197,0,12
L1912-00098,ANGELOTTI,Albert,MALE,medium,masculine_occupation;masculine_forename,european_italian,european,1880,justice_law,1,385,0,12
L1912-00099,ANGLADE,Louis-Guillaume,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1851,engineering_architecture,2,595,1,12
L1912-00103,Annual,L',UNKNOWN,,,unknown,unknown,,administration,0,228,0,12
L1912-00104,ANSELME,Philippe D',MALE,medium,masculine_forename,european_french,european,1864,military,3,8752,0,12
L1912-00105,ANTERRIEU,Auguste,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1862,justice_law,0,508,0,14
L1912-00106,ANTOINE,,UNKNOWN,,,unknown,unknown,1857,administration,4,163,0,14
L1912-00107,ANTONINI,César,MALE,medium,masculine_forename,european_french,european,1870,administration,0,546,0,14
L1912-00120,ARÈNE,Félicien-César-Calixte,MALE,medium,masculine_forename,european_french,european,1863,administration,2,1044,1,26
L1912-00121,ARGOUD,Léon-Louis,MALE,medium,masculine_forename,unknown,unknown,1869,justice_law,1,375,0,26
L1912-00123,ARMAND,André-Alphonse,MALE,medium,masculine_forename,european_french,european,1854,,2,617,0,26
L1912-00124,ARMAND,André-Ernest-Emile,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1874,administration,2,791,0,26
