entry_id,surname,forenames,gender,gender_confidence,gender_evidence,community,community_group,birth_year,occupation_primary,n_decorations,n_chars,n_portraits,page_first
L1912-00127,ARNOL,Clément,MALE,medium,masculine_forename,european_french,european,1853,justice_law,0,210,0,31
L1912-00128,ARNOULD,Louis-Victorien-Alexandre,MALE,medium,masculine_forename,european_french,european,1887,education_science,0,848,0,31
L1912-00129,ARNOUX,Jules,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,commerce,3,196,0,31
L1912-00130,ARRAGON,Henri,MALE,medium,masculine_forename,european_french,european,1860,medicine_health,5,3010,1,31
L1912-00134,ASPERGÉS,Pierre,MALE,medium,masculine_forename,european_french,european,1862,education_science,1,246,0,32
L1912-00168,ASTOIN-SIELGE,Joseph-Charles,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,diplomacy,0,125,0,39
L1912-00170,ATGER,François-Emile,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1834,religion,2,558,0,39
L1912-00171,ATHENOSY,Lucien-Henri,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1852,medicine_health,1,384,0,39
L1912-00172,ATTIA,G.,UNKNOWN,,,european_italian,european,1864,,4,969,0,40
L1912-00173,AUBERT,Godefroy,MALE,medium,masculine_forename,unknown,unknown,,military,1,350,0,40
L1912-00174,AUBRY,Paul-Alexandre,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,administration,0,220,0,40
L1912-00175,AUCOUTURIER,Etienne,MALE,medium,masculine_forename,unknown,unknown,1867,industry_crafts,0,795,1,40
L1912-00176,AUDEMARD,Barthélémy-Julien,MALE,medium,masculine_forename,european_french,european,1851,commerce,2,411,0,40
L1912-00177,AUDINEAU,Louis,MALE,medium,masculine_forename,european_french,european,1872,engineering_architecture,1,275,0,40
L1912-00178,AUGIAS,Lôon-Tliéoplijile-AQexandre,UNKNOWN,,,tunisian_muslim,tunisian,1880,,1,921,1,40
L1912-00180,AUNIS,,UNKNOWN,,,unknown,unknown,1869,education_science,1,142,0,41
L1912-00181,AURANGE,,UNKNOWN,,,unknown,unknown,1879,military,0,184,0,41
L1912-00182,AURBACHER,François,MALE,medium,masculine_forename,unknown,unknown,,commerce,1,191,0,41
L1912-00183,AURÈS,Paul,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1873,,3,552,1,41
L1912-00184,AUSSENAC,,UNKNOWN,,,unknown,unknown,1874,administration,1,164,0,41
L1912-00186,AUVIN,Pierre,MALE,medium,masculine_forename,european_french,european,1861,commerce,1,462,1,41
L1912-00188,AUZEPY,Edmond,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1861,,1,1234,0,41
L1912-00189,Avenir,L',UNKNOWN,,,unknown,unknown,1908,,0,896,0,42
L1912-00190,Avenir du Prolétarait,L',MALE,medium,masculine_occupation,european_french,european,1894,administration,0,1297,0,42
L1912-00191,Avenir du Prolétariat,L',UNKNOWN,,,tunisian_muslim,tunisian,1900,military,0,2903,0,42
L1912-00192,AVERSO,Pascal,MALE,medium,masculine_forename,unknown,unknown,1860,industry_crafts,1,433,0,42
L1912-00193,AVIGDOR,Samuel,MALE,medium,masculine_occupation;masculine_forename,tunisian_jewish,tunisian,1870,,2,1200,0,43
L1912-00200,AZERM,Alarc-Antoine-Joseph-Victor,MALE,medium,masculine_forename,european_french,european,1861,commerce,1,236,0,44
L1912-00201,AZOUZ BEN HAMDA BEN AISSA,Mohamed,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1848,military,2,979,2,44
L1912-00204,BACCOUGHE,Salah,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1865,politics_native_admin,4,355,0,45
L1912-00207,BACH-HAMBA,Ali,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1879,justice_law,2,653,1,45
L1912-00210,BADE,,UNKNOWN,,,unknown,unknown,1862,administration,1,164,0,46
L1912-00211,BADER,Emile-Georges,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1853,military,3,442,0,46
L1912-00217,BAILLE,Marie-Alexandre-Désiré,MALE,medium,masculine_forename,european_french,european,1861,education_science,2,804,2,46
L1912-00218,BAILLEAÛ,Gaston-Léon,MALE,medium,masculine_forename,european_french,european,1882,agriculture,1,189,0,47
L1912-00219,BAILLY,Fernancl,UNKNOWN,,,european_french,european,1851,medicine_health,1,1024,2,47
L1912-00220,BALANDE,Caries,UNKNOWN,,,european_italian,european,,industry_crafts,3,207,0,47
L1912-00221,BALDY,Jules,MALE,medium,masculine_forename,european_french,european,1858,justice_law,1,356,0,47
L1912-00228,BARBAIS,Georges-Ferdinand,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1861,engineering_architecture,3,900,0,48
L1912-00229,BARBARAT,Aimé-Eugène,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1859,military,1,1130,2,48
L1912-00230,BARBIER,Claude,MALE,medium,masculine_forename,european_french,european,1874,administration,1,265,0,48
L1912-00231,BARBOT,Hippolyle-Pierre,MALE,medium,masculine_forename,european_french,european,1866,industry_crafts,1,1356,0,48
L1912-00234,BARÊS,Jean,MALE,medium,masculine_forename,unknown,unknown,1865,administration,1,305,0,49
L1912-00235,BARET,Emmanuel,MALE,medium,masculine_forename,european_french,european,1874,justice_law,0,360,0,49
L1912-00237,BARLIER,Justin,MALE,medium,masculine_forename,european_french,european,1867,commerce,1,296,0,49
L1912-00238,BARNAY,Henri,MALE,medium,masculine_forename,unknown,unknown,1878,commerce,1,530,0,49
L1912-00239,BAROGHE,Jean-Jules-Léon,MALE,medium,masculine_forename,european_french,european,1866,press_letters_arts,1,594,0,49
L1912-00240,BARON,Paul-Auguste-Jean,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1856,engineering_architecture,1,574,0,49
L1912-00241,BARRATE,Gustave,MALE,medium,masculine_forename,unknown,unknown,,,0,279,0,49
L1912-00243,BARRIOULET,Pierre,MALE,medium,masculine_forename,european_french,european,1875,military,2,378,0,49
L1912-00244,BARSOTTI,Benoît,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1866,engineering_architecture,1,601,1,49
L1912-00245,BARTHOLOMË,Jules-Albert,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1866,,7,894,0,50
L1912-00246,BARUË,Gaslon-Henri-Jean-René,MALE,medium,masculine_forename,european_french,european,1869,administration,3,689,2,50
L1912-00247,BASTIDE,,MALE,medium,masculine_occupation,european_french,european,1847,medicine_health,2,928,0,50
L1912-00248,BASTIEN,Emilien,MALE,medium,masculine_forename,unknown,unknown,1848,administration,4,610,0,50
L1912-00250,BATT,Sigvard,UNKNOWN,,,european_other,european,1869,commerce,3,579,0,51
L1912-00252,BATTEROZE,Virgile,MALE,medium,masculine_forename,european_french,european,1864,finance_banking,0,697,0,51
L1912-00253,BAYLE,Marius,MALE,medium,masculine_forename,european_french,european,1859,administration,2,254,0,51
L1912-00254,BAYLE,Joseph,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1701,diplomacy,0,238,0,51
L1912-00256,BEAUPIN,Henri,MALE,medium,masculine_forename,european_french,european,1844,medicine_health,0,383,0,51
L1912-00257,BEAUQUIER,Clodion,MALE,medium,masculine_occupation,european_french,european,1868,education_science,1,511,0,51
L1912-00258,BEAUSSIER,Bonaventure,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,military,0,339,0,51
L1912-00259,BEC,Henri-Auguste,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1871,administration,3,360,0,51
L1912-00260,BÉCHARD,Léon,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,military,0,107,1,51
L1912-00262,BECHIR-BEY,Prince,UNKNOWN,,,tunisian_muslim,tunisian,1880,military,1,381,1,52
L1912-00265,BELAISCH,Isaac,MALE,medium,masculine_forename,unknown,unknown,1856,industry_crafts,0,103,0,52
L1912-00266,BELAISCH,Aloïse,UNKNOWN,,,tunisian_jewish,tunisian,1879,industry_crafts,0,152,0,52
L1912-00267,BELAISCH,Samuel,MALE,medium,masculine_forename,tunisian_jewish,tunisian,1874,industry_crafts,0,213,0,52
L1912-00268,BEL AJOUZA,Salah,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1880,justice_law,0,594,0,52
L1912-00269,BELISAIRE,,MALE,medium,masculine_occupation,unknown,unknown,,military,0,146,0,52
L1912-00270,BEL KHODJA,Mohamed,MALE,medium,masculine_forename,tunisian_muslim,tunisian,1869,,2,1099,1,52
L1912-00271,BELLAICH,Adolphe,MALE,medium,masculine_forename,tunisian_jewish,tunisian,1873,diplomacy,0,465,0,53
L1912-00273,BELLÏSSEN,Joseph,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1865,commerce,2,324,0,53
L1912-00274,BELLOT,Jean-Ernest,MALE,medium,masculine_forename,unknown,unknown,1854,politics_native_admin,5,1491,1,53
L1912-00275,BELTRANO,Ignazio,UNKNOWN,,,unknown,unknown,,commerce,0,38,0,53
L1912-00276,BEMBARON,Gino,MALE,medium,masculine_forename,tunisian_jewish,tunisian,1878,,0,308,0,53
L1912-00281,BENAZET,Aristide,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1881,,2,729,0,53
L1912-00283,BENCHI,Victor,MALE,medium,masculine_forename,unknown,unknown,1873,transport_maritime,0,56,0,54
L1912-00286,BENEDETTI,,UNKNOWN,,,european_italian,european,1872,education_science,1,1103,0,54
L1912-00287,BENETTI,Camille,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1860,religion,0,517,2,54
L1912-00301,BEN KHALIFA,Alohamed,MALE,medium,masculine_occupation,tunisian_muslim,tunisian,1852,politics_native_admin,2,355,0,55
L1912-00304,BENOIT,François-Xavier,MALE,medium,masculine_forename,european_french,european,1854,engineering_architecture,0,3357,0,55
L1912-00305,BEN SALAH,Ahmed,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,,education_science,0,118,0,55
L1912-00306,BENSASSON,,UNKNOWN,,,european_italian,european,1854,commerce,2,450,0,55
L1912-00307,BENSASSON,Umberto,MALE,medium,masculine_forename,european_italian,european,,military,0,326,0,55
L1912-00308,BÉRARD,Antonïn,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1862,,2,427,1,56
L1912-00309,BERGE,Stéphane,MALE,medium,masculine_forename,european_french,european,1852,justice_law,3,1084,1,56
L1912-00310,BERGTOLD,Georges,MALE,medium,masculine_forename,european_french,european,1876,education_science,1,296,0,56
L1912-00311,BERHAULT,Jean,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1870,military,0,270,0,56
L1912-00312,BËRIEL,Philippe,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1877,military,3,1033,0,56
L1912-00314,BERKELEY,Ernest- James - Lennox,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1857,diplomacy,0,425,0,57
L1912-00315,BERNARD,Paul,MALE,medium,masculine_forename,unknown,unknown,1867,military,1,218,0,57
L1912-00316,BERNE,Jean-Marie,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1866,education_science,3,286,1,57
L1912-00317,BEROLSHEIMER,V.,UNKNOWN,,,european_italian,european,1865,,0,567,1,57
L1912-00318,BERRA,J,UNKNOWN,,,unknown,unknown,1886,commerce,0,93,0,57
L1912-00319,BERTAINCHAND,Ernest,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1864,engineering_architecture,5,3425,4,57
L1912-00320,BERTIN,Célestin,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1870,,2,713,0,58
L1912-00321,BERTHON,Louis,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1864,engineering_architecture,2,114,0,58
L1912-00322,BERTIN,,FEMALE,high,civil_title;feminine_occupation,european_french,european,1872,,0,272,0,58
L1912-00323,BERTRAND,Joseph,MALE,medium,masculine_forename,european_french,european,1868,industry_crafts,2,713,1,59
L1912-00324,BERTRAND,Alarius-Louis-Joseph,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1863,,0,218,1,59
L1912-00326,BESSIERE,Victor - Lucien - Etienne,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,justice_law,2,220,0,59
L1912-00327,BESSIS,Eugène,MALE,medium,masculine_occupation;masculine_forename,tunisian_jewish,tunisian,,finance_banking,1,192,0,59
L1912-00328,BESSIS,Nessim,MALE,medium,masculine_forename,tunisian_jewish,tunisian,1870,commerce,1,1377,0,59
L1912-00334,BEYNA,Auguste - Gabriel,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1858,,3,498,0,60
L1912-00336,BEZZINA,André,MALE,medium,masculine_forename,unknown,unknown,1874,commerce,0,58,0,60
L1912-00340,BIGHE-LATOUR,Gustave - ThibaultFrançois-Nicolas,MALE,medium,masculine_forename,european_italian,european,1858,military,4,1135,0,61
L1912-00342,BIGNENS,Lucien-Jules,MALE,medium,masculine_forename,european_other,european,1844,administration,1,1325,1,61
L1912-00343,BIGORRE,Louis,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1862,transport_maritime,2,274,0,61
L1912-00344,BIGOT,Henri,MALE,medium,masculine_forename,european_french,european,1874,education_science,2,1060,0,62
L1912-00346,BILLON,François-Joseph,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,diplomacy,1,110,0,62
L1912-00347,BILLY,Drausin,MALE,medium,masculine_occupation,european_french,european,1851,agriculture,0,944,2,62
L1912-00360,BISGH,Marie-Lucien-Arsène,MALE,medium,masculine_forename,european_french,european,1854,,2,913,1,63
L1912-00361,BISMUTH,Joseph,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1867,industry_crafts,2,225,0,63
L1912-00365,BLANC,Alarius,UNKNOWN,,,unknown,unknown,,education_science,2,543,0,65
L1912-00366,BLANC,Urbain,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1862,military,2,732,1,65
L1912-00367,BLANCHÈRÈ,R. DU COUDRAY DE LA,MALE,medium,masculine_occupation,unknown,unknown,,education_science,1,1596,0,65
L1912-00368,BLAVIER,Albert,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1866,justice_law,0,422,0,65
L1912-00374,B O E R N E R,Gustave-Adolphe,MALE,medium,masculine_forename,european_french,european,1839,justice_law,0,316,0,66
L1912-00376,BOEUF,Félicien,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,military,3,374,0,66
L1912-00377,BOEUF,,UNKNOWN,,,unknown,unknown,1864,military,5,489,0,66
L1912-00378,BOIANOWSKI,,UNKNOWN,,,unknown,unknown,1866,diplomacy,1,402,0,66
L1912-00379,BOIZEL,Auguste,MALE,medium,masculine_forename,unknown,unknown,1877,agriculture,2,185,0,67
L1912-00380,BONAN,Abraham,MALE,medium,masculine_forename,tunisian_jewish,tunisian,1878,medicine_health,1,1005,0,67
L1912-00381,BONAN,Jules,MALE,medium,masculine_forename,tunisian_muslim,tunisian,1876,education_science,2,3807,2,67
L1912-00384,BONNAND,Jules-Antoine,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1854,military,2,291,0,68
L1912-00385,BONNEFOND,Louis - Alariei- HenriEdouard,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1848,,1,542,0,68
L1912-00386,BONNET,Edmond,MALE,medium,masculine_forename,unknown,unknown,,,0,311,1,68
L1912-00387,BONNET,Prosper,MALE,medium,masculine_forename,european_french,european,1867,transport_maritime,0,118,0,68
L1912-00388,BORDENET,Désiré,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1878,education_science,1,419,0,68
L1912-00389,BORDES,Jean,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1854,education_science,2,785,0,68
L1912-00401,BORGEL,Elie,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1880,engineering_architecture,0,1038,0,69
L1912-00403,BORROMEI,Thomas,MALE,medium,masculine_forename,european_french,european,1870,education_science,2,316,0,69
L1912-00404,BORTINO,Jean-Baptiste,MALE,medium,masculine_forename,unknown,unknown,1860,,1,289,1,69
L1912-00405,BOST,Etienne-Augustin,MALE,medium,masculine_forename,european_french,european,1858,,2,891,1,70
L1912-00406,BOTTESINI,Archimôde,UNKNOWN,,,european_italian,european,1854,military,4,502,0,70
L1912-00410,BOUBES,Joseph-André,MALE,medium,masculine_forename,unknown,unknown,1880,justice_law,0,420,0,70
L1912-00411,BOUBILA,Jean-Théophile,MALE,medium,masculine_forename,unknown,unknown,1706,,1,1082,0,70
L1912-00415,BOUCHET,Léopold-Marius,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1860,hospitality_services,2,989,0,71
L1912-00416,BOUDET,Raymond - Bernard - PierreLouis,MALE,medium,masculine_forename,european_french,european,1867,finance_banking,2,738,0,71
L1912-00423,BOUHAGEB,Ahmed,MALE,medium,masculine_occupation;masculine_forename,tunisian_muslim,tunisian,1873,justice_law,0,235,0,72
L1912-00424,BOUHAGEB,Housseïn,UNKNOWN,,,tunisian_muslim,tunisian,1872,,1,755,0,72
L1912-00428,BOULAKIA,Joseph,MALE,medium,masculine_forename,unknown,unknown,1881,medicine_health,0,154,0,72
L1912-00430,BOULLIER,Jules-Emile,MALE,medium,masculine_forename,european_french,european,1873,,2,735,1,72
L1912-00432,BOUNIN,Edoiiard-Emile-Ph'ilibert,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1859,justice_law,2,1166,0,73
L1912-00437,BOURDOT,,UNKNOWN,,,unknown,unknown,1865,administration,2,207,0,73
L1912-00441,BOURGADE,François,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1806,justice_law,2,2599,0,73
L1912-00442,BOURGEOIS,Alphonse,MALE,medium,masculine_forename,unknown,unknown,1865,administration,1,1366,0,74
L1912-00443,BOURGEON,Philibert,MALE,medium,masculine_forename,european_italian,european,1859,justice_law,6,1450,1,74
L1912-00444,BOURGET,Eloi,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,,3,1139,0,74
L1912-00448,BOUSSEN,Manoubi,MALE,medium,masculine_forename,tunisian_muslim,tunisian,1867,,4,1874,0,75
L1912-00449,BOUYAG,René,MALE,medium,masculine_forename,european_french,european,1859,,2,116,0,75
L1912-00450,BOYER DE SAINT-GERVAIS,Jacques,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,,diplomacy,0,369,1,75
L1912-00451,BOYER,Jean,MALE,medium,masculine_forename,unknown,unknown,,politics_native_admin,0,162,0,75
L1912-00452,BRANDENBURG,Godefrov,UNKNOWN,,,unknown,unknown,1850,,1,284,0,75
L1912-00453,BRAQUEYAHE,Jules-Pie-Louis,MALE,medium,masculine_forename,european_french,european,1865,,2,2567,2,75
L1912-00454,BREART,Jules-Aimé,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1826,military,1,868,0,76
L1912-00455,BREFORT,Anlonin,UNKNOWN,,,tunisian_muslim,tunisian,,education_science,2,246,0,76
L1912-00456,BREIEAN,Paul - Auguste - René,MALE,medium,masculine_forename,european_french,european,1884,,0,346,0,76
L1912-00457,BRESSON,Henri,MALE,medium,masculine_occupation;masculine_forename,unknown,unknown,1838,,3,391,0,76
L1912-00458,BRIERE,Emile,MALE,medium,masculine_forename,european_french,european,1861,diplomacy,3,721,0,76
L1912-00460,BRIGNONE,Pierre,MALE,medium,masculine_forename,european_italian,european,1852,,2,946,1,77
L1912-00461,BRISSE,Joseph-Ernest,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1854,military,2,1015,0,77
L1912-00462,BROC,,UNKNOWN,,,unknown,unknown,,medicine_health,0,181,0,77
L1912-00463,BROIDO,,FEMALE,high,civil_title,european_other,european,1868,medicine_health,0,872,0,77
L1912-00465,BROUTIER DU PAVILLON,Jules-Eugène,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1854,engineering_architecture,3,529,0,77
L1912-00466,BRUCH,Alfred,MALE,medium,masculine_forename,european_french,european,1867,medicine_health,1,957,1,77
L1912-00467,BRULE,Léa,FEMALE,high,feminine_occupation;feminine_forename,unknown,unknown,,,2,417,0,78
L1912-00468,BRUN,Marins,MALE,medium,masculine_occupation,unknown,unknown,,education_science,0,184,0,78
L1912-00470,BRUSSIAU,Albert,MALE,medium,masculine_forename,european_french,european,1871,commerce,0,794,0,78
L1912-00471,BUGEIA,Lorenzo,MALE,medium,masculine_forename,tunisian_muslim,tunisian,1858,,0,163,0,78
L1912-00472,BUISSON,Benjamin-Paul,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1846,administration,3,2027,1,78
L1912-00473,BULLA-RËGIA,,MALE,medium,masculine_occupation,european_french,european,,religion,2,1705,1,79
L1912-00475,BURSAUX,,MALE,medium,masculine_occupation,unknown,unknown,1866,military,1,224,0,79
L1912-00477,BUSACCA Eugène,,MALE,medium,masculine_occupation,european_italian,european,1857,medicine_health,0,980,1,80
L1912-00478,BUSUTTIL,Alphonse,MALE,medium,masculine_forename,unknown,unknown,1866,commerce,0,448,1,80
L1912-00479,CABANTOUS,Jules,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1871,religion,2,1266,0,81
L1912-00481,CACHIA,P.,UNKNOWN,,,unknown,unknown,,commerce,0,102,0,81
L1912-00487,CAILAR,Roger DU,MALE,medium,masculine_forename,european_french,european,1876,administration,1,151,0,84
L1912-00488,CAILLAT,Philippe,MALE,medium,masculine_occupation;masculine_forename,european_french,european,1826,engineering_architecture,2,1801,0,84
L1912-00489,CAILLOUX,Maurice - Marie - Bernard,MALE,medium,masculine_forename,unknown,unknown,1881,agriculture,1,475,1,84
L1912-00492,CALAMIDA,François,MALE,medium,masculine_forename,european_italian,european,1875,medicine_health,0,281,0,86
L1912-00493,CALECA,N.,UNKNOWN,,,unknown,unknown,,commerce,0,111,0,86
